delta_keV,v_lab_kms,N_SHM,N_stream_pure,N_f0.01,N_f0.05,N_f0.2,boost_f0.01,boost_f0.05,boost_f0.2
425,675,0,2.8891e-13,2.8891e-15,1.4446e-14,5.7783e-14,inf,inf,inf
425,700,0,3.5336e-09,3.5336e-11,1.7668e-10,7.0673e-10,inf,inf,inf
425,725,0,9.4003e-06,9.4003e-08,4.7002e-07,1.8801e-06,inf,inf,inf
425,750,0,0.0058262,5.8262e-05,0.00029131,0.0011652,inf,inf,inf
425,775,0,0.87973,0.0087973,0.043987,0.17595,inf,inf,inf
425,800,0,35.681,0.35681,1.7841,7.1362,inf,inf,inf
425,825,0,503.31,5.0331,25.166,100.66,inf,inf,inf
425,850,0,3933.2,39.332,196.66,786.64,inf,inf,inf
425,875,0,20167,201.67,1008.3,4033.3,inf,inf,inf
425,900,0,61622,616.22,3081.1,12324,inf,inf,inf
425,925,0,1.2174e+05,1217.4,6087.2,24349,inf,inf,inf
425,950,0,1.7967e+05,1796.7,8983.7,35935,inf,inf,inf
425,975,0,2.2039e+05,2203.9,11019,44078,inf,inf,inf
425,1000,0,2.4065e+05,2406.5,12033,48130,inf,inf,inf
430,600,0,0,0,0,0,inf,inf,inf
430,625,0,0,0,0,0,inf,inf,inf
430,650,0,0,0,0,0,inf,inf,inf
430,675,0,2.4248e-14,2.4248e-16,1.2124e-15,4.8496e-15,inf,inf,inf
430,700,0,4.8754e-10,4.8754e-12,2.4377e-11,9.7507e-11,inf,inf,inf
430,725,0,1.7901e-06,1.7901e-08,8.9506e-08,3.5803e-07,inf,inf,inf
430,750,0,0.0015243,1.5243e-05,7.6213e-05,0.00030485,inf,inf,inf
430,775,0,0.31289,0.0031289,0.015645,0.062579,inf,inf,inf
430,800,0,16.725,0.16725,0.83623,3.3449,inf,inf,inf
430,825,0,283.73,2.8373,14.186,56.746,inf,inf,inf
430,850,0,2370.9,23.709,118.55,474.19,inf,inf,inf
430,875,0,13375,133.75,668.77,2675.1,inf,inf,inf
430,900,0,46465,464.65,2323.2,9293,inf,inf,inf
430,925,0,1.017e+05,1017,5084.9,20340,inf,inf,inf
430,950,0,1.6103e+05,1610.3,8051.7,32207,inf,inf,inf
430,975,0,2.0721e+05,2072.1,10360,41441,inf,inf,inf
430,1000,0,2.3363e+05,2336.3,11682,46727,inf,inf,inf
435,600,0,0,0,0,0,inf,inf,inf
