variant,k,s,S1c,p10,p50,p90,halfwidth,upper,lower,drawn_p10,drawn_p50,drawn_p90,drawn_halfwidth,drawn_upper,drawn_lower,asym_model,asym_drawn
k=0.35 NEST skew,0.35,1.0,400,4.511105900874641,4.582928476174957,4.665774467381964,0.07733428325366143,0.08284599120700697,0.07182257530031588,4.4920427014968505,4.596142292994932,4.698517739487003,0.10323751899507627,0.1023754464920712,0.10409959149808135,1.153481212008874,0.9834375430181979
k=0.35 NEST skew,0.35,1.0,450,4.570384154632617,4.648329645345531,4.735902419300275,0.08275913233382903,0.08757277395474361,0.07794549071291446,4.551120166979303,4.661208471619821,4.772681429642206,0.11078063133145122,0.111472958022385,0.11008830464051744,1.123513023701242,1.012577661054814
k=0.35 NEST skew,0.35,1.0,500,4.631774450560934,4.715749694564957,4.807704877915922,0.08796521367749399,0.09195518335096509,0.0839752440040229,4.617101540714544,4.73375165615276,4.849009331837001,0.11595389556122848,0.11525767568424072,0.11665011543821624,1.0950272838333153,0.9880631086497894
k=0.35 NEST skew,0.35,1.0,540,4.682409335800111,4.770650724758432,4.865354432964288,0.09147254858208864,0.09470370820585661,0.08824138895832068,4.666872541827879,4.7889961275947,4.909901394571213,0.12151442637166676,0.1209052669765125,0.12212358576682103,1.073234559471727,0.9900238861915277
k=0.35 NEST skew,0.35,1.0,600,4.759489310398216,4.852749003090202,4.949758909446928,0.09513479952435588,0.09700990635672557,0.0932596926919862,4.746016227291908,4.871079037028247,4.995002333180317,0.12449305294420432,0.12392329615206954,0.1250628097363391,1.0402125887024463,0.9908884696683857
k=0.75 NEST skew,0.75,1.0,300,4.343725494152901,4.453105860873461,4.591296559850577,0.1237855328488382,0.138190698977116,0.1093803667205604,4.375949924151315,4.464545504965075,4.5525245769789615,0.08828732641382331,0.08797907201388622,0.0885955808137604,1.263395827974858,0.9930413143160022
k=0.75 NEST skew,0.75,1.0,350,4.397956757074665,4.519453775936543,4.666245900862987,0.13414457189416096,0.1467921249264439,0.12149701886187803,4.438795261585473,4.5306420406722765,4.6223319500455515,0.09176834423003921,0.09168990937327504,0.09184677908680339,1.2081952816745423,0.9982920499217496
k=0.75 NEST skew,0.75,1.0,400,4.451490251392629,4.585969060711656,4.741523904068381,0.14501682633787594,0.15555484335672531,0.13447880931902656,4.4920427014968505,4.596142292994932,4.698517739487003,0.10323751899507627,0.1023754464920712,0.10409959149808135,1.1567238299061653,0.9834375430181979
k=0.75 NEST skew,0.75,1.0,450,4.50683966369251,4.654330954733512,4.818609328596828,0.15588483245215912,0.16427837386331667,0.14749129104100156,4.551120166979303,4.661208471619821,4.772681429642206,0.11078063133145122,0.111472958022385,0.11008830464051744,1.1138174512124137,1.012577661054814
k=0.75 NEST skew,0.75,1.0,500,4.565102712109889,4.7246905256660625,4.896640306836218,0.16576879736316474,0.1719497811701558,0.15958781355617369,4.617101540714544,4.73375165615276,4.849009331837001,0.11595389556122848,0.11525767568424072,0.11665011543821624,1.0774618521208752,0.9880631086497894
