S1c,log10S2c,resid_dex,z_halfwidths,blob_px,n_est
674.2375773085945,4.719161163921338,-0.1518080448927268,-1.2206179814466076,36.0,1.0
347.7475443152309,4.716788365908729,0.1897447464060562,2.061363202162824,34.0,1.0
405.43115092059423,4.717811759077848,0.11508900071033334,1.1194241843510135,27.0,1.0
589.6353166986564,4.724366011174803,-0.1313369702736109,-1.0443946176349532,1.0,1.0
635.5930902111324,4.71156208693128,-0.1594071218827855,-1.281718630117877,50.0,2.0
699.9638927424412,4.711456959323388,-0.15951224949067733,-1.2825639123862174,101.0,4.0
754.7664747280869,4.7193780325569,-0.15159117625716512,-1.218874241473107,24.0,1.0
775.4798464491363,4.716070785864594,-0.1548984229494712,-1.2454662760689104,48.0,2.0
535.8925143953935,4.721763587548071,-0.060249234387260486,-0.4995313980073102,1.0,1.0
654.1872916456208,4.713887831835591,-0.15708137697847402,-1.2630183955389622,38.0,2.0
420.9334531937122,4.704501942226453,0.08224221655765529,0.7891572802622773,79.0,3.0
680.7421625079975,4.71236594667376,-0.1586032621403053,-1.2752551672827832,36.0,1.0
537.4280230326295,4.716558740294606,-0.06796524301782014,-0.5619642126837369,1.0,1.0
744.8816378758796,4.7092936410033115,-0.16167556781075376,-1.2999581502406348,24.0,1.0
538.9635316698657,4.711787630312263,-0.07524751437725818,-0.6204799034107427,6.0,1.0
640.6909788867562,4.707149977951804,-0.16381923086226102,-1.3171943492094143,26.0,1.0
659.3674372027039,4.708751469414409,-0.16221773939965622,-1.3043175001743716,23.0,1.0
765.7431361094884,4.697521445720792,-0.17344776309327337,-1.3946129048888372,92.0,4.0
314.3461784536641,4.699142520638781,0.21641208356163588,2.416256881922189,39.0,2.0
380.16300870677907,4.61696931028636,0.04599328586282336,0.4637309222065794,3105.0,124.0
567.3704414587332,4.707450257601042,-0.11865728853993485,-0.9576120090625508,2.0,1.0
676.3608445297505,4.702505652710251,-0.16846355610381458,-1.3545372114110357,25.0,1.0
715.1944847036704,4.695526908535707,-0.17544230027835805,-1.4106500520275058,98.0,4.0
621.1132437619962,4.699801671088329,-0.17116753772573645,-1.3762786717634912,41.0,2.0
794.9360885367746,4.69490879054881,-0.17606041826525498,-1.4156200516740667,47.0,2.0
413.81957773512477,4.700944198534211,0.08775203220450845,0.8524820133329749,1.0,1.0
297.9554368688976,4.691100248293963,0.2295159635574171,2.6091937559058525,23.0,1.0
414.97120921305185,4.698341774907479,0.08372224181569443,0.8116877086376336,2.0,1.0
651.7594369801662,4.692920059018453,-0.17804914979561204,-1.431610518239518,24.0,1.0
318.6878380736347,4.686275992638083,0.19825666948273835,2.2128709097467945,44.0,2.0
379.27063339731285,4.680837802294799,0.11114709632385189,1.1236491752587177,73.0,3.0
416.1228406909789,4.695739351280746,0.07969245142687953,0.7710582091262307,1.0,1.0
469.48176583493284,4.695739351280746,0.008421297088041513,0.0749955874554994,2.0,1.0
306.5219945943828,4.685064103342517,0.21213627254141265,2.380928770358443,49.0,2.0
328.9638463232749,4.680807412438839,0.17913244553307717,1.9610063760553427,61.0,2.0
590.3177649818724,4.684751340412321,-0.17192586441510826,-1.3667160105188767,36.0,1.0
633.9411388355726,4.687932080400549,-0.18303712841351594,-1.4717165376299066,24.0,1.0
666.5752673430216,4.686630868587183,-0.18433834022688256,-1.4821789774708807,28.0,1.0
730.0008345155637,4.687932080400549,-0.18303712841351594,-1.4717165376299066,23.0,1.0
745.489443378119,4.687479484987205,-0.18348972382686046,-1.4753556471398075,23.0,1.0
779.0238552234713,4.687932080400549,-0.18303712841351594,-1.4717165376299066,28.0,1.0
643.7286155386798,4.680916851493706,-0.19005235732035963,-1.5281227350333995,46.0,2.0
547.8812933707368,4.68292741957991,-0.11363433162597225,-0.931993844398014,13.0,1.0
597.9953081680529,4.677001901168273,-0.19100817025648897,-1.5321730727016791,45.0,2.0
612.6679462571977,4.6819681929226205,-0.1890010158914448,-1.5196693869010258,24.0,1.0
619.4532344244436,4.671368005695266,-0.19960120311879948,-1.6049005691190221,74.0,3.0
751.6314779270633,4.682274637733739,-0.18869457108032606,-1.5172054065036966,23.0,1.0
604.296269029527,4.670998502007427,-0.19997070680663853,-1.607871576656244,73.0,3.0
724.6641074856046,4.678715163389205,-0.19225404542486046,-1.5458254865034537,24.0,1.0
470.63339731285987,4.682727233147085,-0.00632323523179501,-0.05629787277200933,1.0,1.0
797.5351045560158,4.676015719583406,-0.19495348923065947,-1.5675304603840627,19.0,1.0
669.57773512476,4.670582589555666,-0.20038661925839918,-1.6112157355095202,24.0,1.0
423.80038387715933,4.674919962266887,0.048337794888597685,0.46168048293742364,1.0,1.0
537.5397362145112,4.636481311437803,-0.14822536692488253,-1.2253436611512751,701.0,28.0
633.4546079582892,4.664316057041544,-0.20665315177252097,-1.661602012952603,67.0,3.0
742.4824056301983,4.668413903200056,-0.20255530561400903,-1.6286531352444675,24.0,1.0
302.58050757091064,4.670293431374918,0.2024745842453033,2.2852610548378904,9.0,1.0
683.529594853971,4.664721275081043,-0.20624793373302186,-1.6583438429012813,37.0,1.0
319.679830113938,4.662793775580623,0.17356603597837061,1.9371469264514676,47.0,2.0
373.89635316698656,4.669715115013422,0.10804274215961662,1.112607837046297,1.0,1.0
763.9635316698657,4.657895774375345,-0.21307343443872018,-1.713224523958989,48.0,2.0
578.7068138195777,4.646423423554166,-0.19427257564587652,-1.5731366373942817,320.0,13.0
711.7082533589252,4.6614552487198795,-0.20951396009418577,-1.6846044439592316,23.0,1.0
729.6122840690979,4.660970971627601,-0.20999823718646393,-1.6884982911348219,25.0,1.0
300.1919385796545,4.664510267759957,0.1997875008411576,2.262638652850059,1.0,1.0
284.9282515309386,4.653790760916512,0.20958795330921554,2.4566843112976864,42.0,2.0
300.9596928982726,4.661907844133225,0.1961899085752341,2.219457214049819,1.0,1.0
336.90428365248704,4.635389349115086,0.12377278623482102,1.3367745127522581,258.0,10.0
670.9505132270717,4.654666317519708,-0.2163028912943572,-1.739191086607774,23.0,1.0
345.07603720655544,4.649796564947278,0.12675092267627086,1.371818699858481,26.0,1.0
649.2686478257992,4.651049455897548,-0.21991975291651755,-1.7682725910532908,58.0,2.0
312.6999360204734,4.648895725999562,0.16817069456181688,1.877856835033887,24.0,1.0
660.2850492097848,4.641919015851301,-0.22905019296276397,-1.8416862188148755,47.0,2.0
727.761298202757,4.646056718406763,-0.2249124904073021,-1.8084168743302453,22.0,1.0
744.2543603438203,4.646180153519493,-0.22478905529457194,-1.8074243899184554,23.0,1.0
782.7755987649169,4.646745897786174,-0.22422331102789084,-1.8028755030310757,23.0,1.0
674.6245011120251,4.6383207982464905,-0.2326484105675748,-1.8706178153761344,63.0,3.0
739.4113883557261,4.642389666932731,-0.22857954188133434,-1.8379019320638916,24.0,1.0
299.488163787588,4.633389618556948,0.16963904919132222,1.9234186649242262,48.0,2.0
512.7319257837493,4.642823404203853,-0.10549982585067674,-0.8968904667860679,12.0,1.0
