m_chi_GeV,model,mZp_GeV,feasible,gchi,gN,G_max,Omega_h2,sigv_ff_cm3s,sigv_ZZ_cm3s,Gamma_over_M,Nmax_250,Nmax_280,Nmax_300,Nmax_320,Nmax_340,Nmax_350,Nmax_360,Nmax_366,Nmax_370,Nmax_380,delta_Nmax1_keV
300.0,U(1)_B,1637.8937069540646,True,0.9926522162660961,0.6000000000000001,2.220122500686124e-07,0.12,4.403630110737831e-26,0.0,0.045048585423971506,9.893368174748623,1.251824040774653,0.08499807796638956,6.652803655167978e-05,,,,,,,282.1883864882809
300.0,U(1)_B,1930.6977288832495,True,1.4413727591528003,0.6000000000000001,2.3200587842459745e-07,0.12,4.379862992120879e-26,0.0,0.07400690821557358,10.804091969304805,1.3670594106096496,0.09282248829138985,7.265220628058586e-05,,,,,,,283.0463940050994
300.0,U(1)_B,2275.8459260747863,True,2.0648639917665688,0.6000000000000001,2.391976931613914e-07,0.12,4.364265122739202e-26,0.0,0.13198530710546932,11.484293115682272,1.453126373099846,0.09866638180181088,7.722622454508296e-05,,,,,,,283.6412811462837
300.0,U(1)_B,2682.6957952797247,True,2.9311929083622683,0.6000000000000001,2.4437276035847214e-07,0.12,4.353708533885259e-26,0.0,0.2467877544809249,11.986596431789234,1.5166836324433761,0.10298188039350464,8.060396737075547e-05,,,,,,,284.05838456954
300.0,U(1)_B,3162.2776601683795,True,2.7606846594871164,0.8999999999999999,2.484616193538404e-07,0.12,4.3463149918056336e-26,0.0,0.24503537373728976,12.39107305351591,1.5678627202995334,0.10645690879857858,8.332387377666623e-05,,,,,,,284.3817414009992
300.0,U(1)_B,3727.593720314938,False,3.5449077018110318,0.8999999999999999,2.2960973565943584e-07,0.14250424149635912,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,U(1)_B,4393.97056076079,False,3.5449077018110318,0.8999999999999999,1.6524683713567754e-07,0.2716256311515489,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,U(1)_B,5179.474679231213,True,2.5489555260261882,3.0,2.850441183653184e-07,0.12,4.333767583272061e-26,0.0,0.6497954478558758,16.308516708182427,2.0635432669720286,0.14011331128020793,0.00010966675620491691,,,,,,,286.7510579505042
300.0,U(1)_B,6105.402296585326,False,3.5449077018110318,3.0,2.852972695890953e-07,0.12051587841195681,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,U(1)_B,7196.856730011514,False,3.5449077018110318,3.0,2.053243574696194e-07,0.22740123710472396,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,U(1)_B,8483.428982440717,False,3.5449077018110318,3.0,1.4776899838905202e-07,0.42824258602372145,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,U(1)_B,10000.0,False,3.5449077018110318,3.0,1.0634723105433097e-07,0.8051291991172226,,,,0.0,0.0,0.0,0.0,,,,,,,
1000.0,B-L,100.0,True,0.6676527744455246,0.005,3.338263872227623e-07,0.12,1.42472498391018e-29,4.591515528246829e-26,4.089393353561112e-06,42.82378784670993,13.441041962678938,5.557931014349935,1.7430717583035487,0.33349471604980796,0.10850000411303369,0.02578461723545945,0.00874577176965009,0.0038628229866781434,0.00028006031687391507,327.5513893804048
1000.0,B-L,117.87686347935879,True,0.6679632036282022,0.005893843173967939,2.83330920043172e-07,0.12,1.9850954976914596e-29,4.59089419545233e-26,5.682196648737318e-06,30.84833281920619,9.682322763830237,4.003683801409161,1.2556305836462316,0.24023461051546208,0.0781585283801851,0.018574079830175585,0.006300061061312947,0.0027826041344421243,0.00020174286999795669,323.19317159626473
1000.0,B-L,138.94954943731375,True,0.6683989284534908,0.006947477471865688,2.405185663286497e-07,0.12,2.7688734925506304e-29,4.5900249978755784e-26,7.895388805570554e-06,22.23007699825811,6.9773229504294525,2.8851542708522504,0.9048386737595425,0.173119044089161,0.056322982319495285,0.013384944567880258,0.004539980922389387,0.002005213848244248,0.00014538093712189006,318.4667594025151
1000.0,B-L,163.78937069540646,True,0.6690129681181042,0.008189468534770324,2.0422966559968196e-07,0.12,3.867996301938179e-29,4.5888059108371474e-26,1.0970608728190086e-05,16.028076497705378,5.030709790498774,2.0802210160821653,0.6523964573868383,0.12482031808023547,0.040609354131635036,0.009650660025529433,0.0032733652487070544,0.0014457764116802376,0.00010482090465455141,313.3052806043278
1000.0,B-L,193.06977288832496,True,0.6698831480482375,0.009653488644416248,1.7348214016797695e-07,0.12,5.415021495750176e-29,4.587089807291021e-26,1.5243612518104974e-05,11.565203965271083,3.6299542758941694,1.5010023409407818,0.47074258080682635,0.09006523258200089,0.029302047784556074,0.006963521269112658,0.002361926383340329,0.0010432130824714655,7.563447443788233e-05,307.6725516403095
1000.0,B-L,227.58459260747887,True,0.6711260441525564,0.011379229630373943,1.4744540402830897e-07,0.12,7.603839876685554e-29,4.584661461106919e-26,2.1180931717512544e-05,8.354226270214443,2.622129230268314,1.0842621734987214,0.34004502185126434,0.06505940875136905,0.021166590585683577,0.005030160513754017,0.001706158187894255,0.0007535740973687379,5.4635224348852085e-05,301.57027309877117
1000.0,B-L,268.26957952797244,True,0.6729211160170986,0.013413478976398621,1.2541882631663296e-07,0.12,1.0723780199834615e-28,4.581199678088917e-26,2.9430809767791366e-05,6.044622990131445,1.897217302443099,0.7845078466006198,0.24603642399419245,0.04707313222589909,0.015314890444502956,0.003639526019769687,0.0012344749440311596,0.0005452415539620884,3.9530810213688827e-05,294.9156127309969
1000.0,B-L,316.22776601683796,True,0.67555496240427,0.0158113883008419,1.0681461829134564e-07,0.12,1.5218807633801677e-28,4.57621165010415e-26,4.089397798522534e-05,4.384349226914467,1.3761095153221905,0.5690274441213686,0.17845771474794336,0.034143577063451426,0.011108356665131925,0.0026398591139867467,0.0008954022898276076,0.0003954803119231992,2.867290110278991e-05,287.6861808663876
