m_GeV,delta_keV,halo,eff_sigma_keV,N_events,N_noeff_all_E
300.0,260.0,annual_vesc528,8.0,1271.798936484021,1355.3415454300089
300.0,260.0,annual_vesc528,11.5,1272.2180056373272,1355.3415454300089
300.0,260.0,annual_vesc528,15.0,1272.7012593859563,1355.3415454300089
300.0,260.0,annual_vesc560,8.0,2758.4200549500406,2967.6073551362274
300.0,260.0,annual_vesc560,11.5,2759.654699385592,2967.6073551362274
300.0,260.0,annual_vesc560,15.0,2761.1213587206453,2967.6073551362274
300.0,270.0,sun,8.0,863.8217373954111,925.7554029894977
300.0,270.0,sun,11.5,864.1813447579112,925.7554029894977
300.0,270.0,sun,15.0,864.5974871364159,925.7554029894977
300.0,270.0,annual,8.0,1001.0503506232371,1075.2180047071784
300.0,270.0,annual,11.5,1001.4921392117093,1075.2180047071784
300.0,270.0,annual,15.0,1002.0076355179021,1075.2180047071784
300.0,270.0,june16,8.0,1696.228434018268,1828.8623476308762
300.0,270.0,june16,11.5,1697.0567659455662,1828.8623476308762
300.0,270.0,june16,15.0,1698.0340720577867,1828.8623476308762
300.0,270.0,dec16,8.0,409.3058353454574,435.0771604969444
300.0,270.0,dec16,11.5,409.43020607320386,435.0771604969444
300.0,270.0,dec16,15.0,409.5688022796329,435.0771604969444
300.0,270.0,annual_vesc528,8.0,514.6666285067872,548.7367208471782
300.0,270.0,annual_vesc528,11.5,514.8398711324849,548.7367208471782
300.0,270.0,annual_vesc528,15.0,515.0369183722411,548.7367208471782
300.0,270.0,annual_vesc560,8.0,1553.328299840525,1676.6187645150874
300.0,270.0,annual_vesc560,11.5,1554.1044852239252,1676.6187645150874
300.0,270.0,annual_vesc560,15.0,1555.0233772188665,1676.6187645150874
300.0,280.0,sun,8.0,318.89447643133644,342.02672150101375
300.0,280.0,sun,11.5,319.03375303847196,342.02672150101375
300.0,280.0,sun,15.0,319.19222605554694,342.02672150101375
300.0,280.0,annual,8.0,412.7703114471358,444.70059274748394
300.0,280.0,annual,11.5,412.9717690154083,444.70059274748394
300.0,280.0,annual,15.0,413.20540530782876,444.70059274748394
300.0,280.0,june16,8.0,815.3167844784512,882.3018453754261
300.0,280.0,june16,11.5,815.7652352949525,882.3018453754261
300.0,280.0,june16,15.0,816.2919274951956,882.3018453754261
300.0,280.0,dec16,8.0,98.73871258215219,104.53573073695117
300.0,280.0,dec16,11.5,98.75654107722784,104.53573073695117
300.0,280.0,dec16,15.0,98.77504077681378,104.53573073695117
300.0,280.0,annual_vesc528,8.0,149.33600015736204,159.35793527758386
300.0,280.0,annual_vesc528,11.5,149.38581703175151,159.35793527758386
300.0,280.0,annual_vesc528,15.0,149.4417168841836,159.35793527758386
300.0,280.0,annual_vesc560,8.0,783.3421086029807,849.1158271289347
300.0,280.0,annual_vesc560,11.5,783.7857131554681,849.1158271289347
300.0,280.0,annual_vesc560,15.0,784.3096598816352,849.1158271289347
300.0,290.0,sun,8.0,71.11925788693746,76.2186426821819
300.0,290.0,sun,11.5,71.14678582968443,76.2186426821819
