tag,m_GeV,cfg,delta_peak_keV,Z_peak,kappa_hat_peak,sigma_n_peak_cm2,S_tot_unit_peak,mu_hat_peak,Z_300,Z_350,delta_last_keV,Z_last,delta_248_median_keV,ceiling_june,dmax248_june,peak_minus_dmax248,peak_minus_ceiling
v,1000,bH_half,380.0,3.863626907157974,0.954086683037236,2.8282945464563636e-38,1.048122794059554,1.0,3.743098886090884,3.8398867345861545,395.0,0.0,357.7665168550985,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,bH_x2,380.0,3.486587093435575,0.954086683037236,2.8282945464563636e-38,1.048122794059554,1.0,3.352638483318059,3.4602785929527604,395.0,0.0,357.7665168550985,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,baseline,380.0,3.679910380308883,0.954086683037236,2.8282945464563636e-38,1.048122794059554,1.0,3.553189629853519,3.6549826342069696,395.0,0.0,357.7665168550985,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,gauss3,380.0,3.679910380308894,0.954086683037236,2.8282945464563636e-38,1.048122794059554,1.0,3.5629469235564875,3.6549826663237033,395.0,0.0,357.7665168550985,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,june,380.0,3.683709869596966,0.28399918394038626,8.418871758901844e-39,3.521136878371834,1.0,3.5395165766744765,3.6504451847502737,395.0,0.0,362.6382071170243,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,obscut,380.0,3.6874414945358827,0.8418355564136438,2.495537308662806e-38,1.1878804505005258,1.0,3.569590033877588,3.6660715622713353,395.0,1.8169423107986107,351.5592789773226,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,sig15,380.0,3.6626788066678917,0.9788117652275388,2.901589579667501e-38,1.0216468942499233,1.0,3.5338551721736593,3.63528630740285,395.0,2.231926078727505,361.59134407225895,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,sig8,380.0,3.6884662025667567,0.9404618429387055,2.7879050707073244e-38,1.063307360642355,1.0,3.56513023425004,3.6669880369970413,395.0,0.0,355.34303010071204,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
v,1000,sun,370.0,3.676425266005751,0.44092592409679804,1.30708080165661e-38,2.2679546503155175,1.0,3.5579039696714583,3.6588012774075205,395.0,0.0,353.34158231965955,397.14218013402126,386.6151128700423,-16.61511287004231,-27.14218013402126
v,4000,E246,385.0,3.661302938462745,0.29542354092184625,8.769862264850839e-39,3.384970598076164,1.0,3.547451246933933,3.643648417129927,430.0,0.0,354.97723992824046,432.5136491453222,409.37905690321764,-24.379056903217645,-47.51364914532218
