tag,m_GeV,cfg,delta_keV,S_tot_unit,S_H_unit,S_L_unit,f_ev_unit,f_ev_norm,pct_ev,q0,Z,mu_hat,kappa_hat,kappa_68lo,kappa_68hi,kappa_90lo,kappa_90hi,mu_68lo,mu_68hi,mu_90lo,mu_90hi,lowE_events_at_fit,sigma_n_hat_cm2,sigma_n_68lo_cm2,sigma_n_68hi_cm2,sigma_n_90lo_cm2,sigma_n_90hi_cm2,companion_free,p_exact_bH,Z_exact_bH,p_exact_bHpois,Z_exact_bHpois
s,400,baseline,260.0,54241.46259831988,6944.794536500391,4781.605097842234,22.795967086618745,0.00042026829651390795,0.9957007405825734,6.0404421261117704,2.457731093124667,1.0471285480509007,1.930494676748144e-05,5.538337534037177e-06,4.5702928347876996e-05,1.707875127577119e-06,7.088404962599172e-05,0.3004075282093487,2.4789936786150633,0.09263764485507509,3.8448545266056797,0.0923086318769622,5.706698853633741e-43,1.6371774984516057e-43,1.3510156332047775e-42,5.048617408834972e-44,2.0953900034728653e-42,False,,,,
s,400,baseline,270.0,32875.3822516442,4646.120786988232,1998.857200772901,15.415005823528915,0.0004688920635366289,0.9951857047645356,6.219431906435943,2.4938788876839917,1.0232929922807537,3.1126421114984165e-05,9.021777325260875e-06,7.408610275370418e-05,2.81688170037032e-06,0.0001148845506308628,0.29659437815716744,2.4356089475626153,0.09260606265733576,3.7768735167979863,0.06221727097997577,9.201222558863084e-43,2.666910556134203e-43,2.1900452912251813e-42,8.326930793408427e-44,3.396080503520106e-42,False,,,,
s,400,baseline,280.0,18642.06670789189,2937.3056267952825,811.6442100062992,9.883546503398318,0.0005301743984863137,0.9945370783841091,6.438578719401903,2.537435461130372,1.0232929922807537,5.4891606618248784e-05,1.582455649587189e-05,0.00012927285564282595,5.007798101741958e-06,0.00020040477184183396,0.29500243781884766,2.4099131984132396,0.09335570627232795,3.735959125255323,0.04455245468964508,1.6226404161348626e-42,4.6778672586848035e-43,3.821410470530499e-42,1.480345738874492e-43,5.92412761095496e-42,False,,,,
s,400,baseline,290.0,9389.74930572645,1708.7709637087826,254.6419943386174,5.857064761897576,0.0006237722191715573,0.9935381292838794,6.738045098540738,2.595774469891546,1.0,0.00010649911594446278,3.131069755461008e-05,0.00025412685303358666,1.0064065624434938e-05,0.00039384963203291005,0.2939996006252108,2.386187441838568,0.0944990532098234,3.6981493089416344,0.02711914727939765,3.1482002524711535e-42,9.25569616914707e-43,7.512195906839674e-42,2.9750194317345097e-43,1.1642514588086076e-41,False,,,,
s,400,baseline,300.0,3951.8661206500315,875.3034830258024,46.47431723444711,3.0856877271990353,0.0007808178802098384,0.9918306872584722,7.162251915881711,2.67623838921007,1.0,0.0002530450094892164,7.428888972656599e-05,0.0005984335474361848,2.4306817717870407e-05,0.0009271208361864369,0.2935797464511223,2.3649292615734723,0.09605728944006797,3.6638574222739075,0.011760094045595523,7.480215734147005e-42,2.196039838630573e-42,1.7690181072566546e-41,7.185292478491092e-43,2.740644393776456e-41,False,,,,
s,400,baseline,305.0,2342.598534783608,584.2892345548106,14.226730213064794,2.10045514164777,0.0008966347030699371,0.9905667289883224,7.428894880742973,2.7255999120822874,1.0,0.0004268763875464357,0.0001254197163658294,0.0010064223016051487,4.141256290778203e-05,0.001558878652269862,0.29380804379156766,2.357643409113768,0.09701300918940418,3.651826846712824,0.006073055199950833,1.261881227022088e-41,3.707508548086628e-42,2.97506595797302e-41,1.2241889507303045e-42,4.60817174220218e-41,False,,,,
s,400,baseline,310.0,1278.6311093269583,366.33545094525095,2.9712049401895815,1.346000381255579,0.0010526885912889154,0.9888042145032304,7.742318510827545,2.7825022032026396,1.0,0.0007820863990446601,0.0002302615584688142,0.0018405195448020538,7.672486204500586e-05,0.0028502568825886096,0.2944195919403342,2.3533455473081983,0.09810279546956369,3.6444271196510716,0.0023237389724965747,2.31191083333558e-41,6.806718441530993e-42,5.440725065403873e-41,2.268049156265889e-42,8.425590539223295e-41,False,,,,
s,400,baseline,315.0,635.4991215946644,210.85162828839992,0.3602220644093826,0.7986257363024404,0.001256690543172492,0.9864608403735527,8.091837108557002,2.8446154588198738,1.0,0.0015735662977640155,0.0004647256262812892,0.0037009565860770728,0.00015615958846446973,0.0057302872418984775,0.29533272728428955,2.351954659511968,0.0992392812977548,3.641592508711595,0.0005668333002655829,4.651589613649127e-41,1.3737666468062716e-41,1.0940327865959539e-40,4.616204101506404e-42,1.6939193890665322e-40,True,0.0003908571428571429,3.359189550123065,0.00023103721074986118,3.5018299577462724
s,400,baseline,320.0,278.2669334985433,109.6964309442482,0.019800304129020663,0.4326301115816849,0.001554730582402992,0.9829031248577127,8.514371854042338,2.9179396590817874,1.0,0.0035936716857708673,0.0010654705685164917,0.008453862131593779,0.0003609784044146151,0.013086949899730718,0.29648522783403375,2.35243029157806,0.10044835365565198,3.6416654174471357,7.115579231811355e-05,1.0623184998401398e-40,3.1496174245741275e-41,2.499030218327707e-40,1.0670814436688404e-41,3.8686085431821575e-40,True,0.0003908571428571429,3.359189550123065,0.00023103721074986118,3.5018299577462724
s,400,baseline,325.0,102.11168362764792,48.893212513505496,0.0002518673541653258,0.2050564596647218,0.0020081586394409463,0.9772020143468407,9.023761269967395,3.003957601226654,1.0,0.009793198627950528,0.002915036055246405,0.023048149824108605,0.000995253911682842,0.03567337373455113,0.2976592394365077,2.353485383042007,0.10162705255893742,3.64266825271333,2.4665870272373982e-06,2.894948950476899e-40,8.617083028064698e-41,6.813220039600179e-40,2.942051291455565e-41,1.0545338635127975e-39,True,0.0003908571428571429,3.359189550123065,0.00023103721074986118,3.5018299577462724
