E_keV,"central (g1=1, Eb=100, g2=2.5)|helm","central (g1=1, Eb=100, g2=2.5)|wimpydd","soft high-E (g1=1, Eb=100, g2=3)|helm","soft high-E (g1=1, Eb=100, g2=3)|wimpydd","hard high-E (g1=1, Eb=100, g2=2)|helm","hard high-E (g1=1, Eb=100, g2=2)|wimpydd","Honda-like (g1=1.5, Eb=1000, g2=2.7)|helm","Honda-like (g1=1.5, Eb=1000, g2=2.7)|wimpydd","steep low-E (g1=2, Eb=100, g2=2.5)|helm","steep low-E (g1=2, Eb=100, g2=2.5)|wimpydd","low break (g1=1, Eb=50, g2=2.5)|helm","low break (g1=1, Eb=50, g2=2.5)|wimpydd","high break (g1=1, Eb=150, g2=2.5)|helm","high break (g1=1, Eb=150, g2=2.5)|wimpydd",single power law E^-2 above 10 MeV|helm,single power law E^-2 above 10 MeV|wimpydd
15.5,0.001399384899333281,0.0014238020134729253,0.0014059417611859077,0.001425478997249642,0.0013893323996880895,0.0014208933930173289,0.001370297881905722,0.0014033352859246604,0.0013544574802943975,0.0013625732192457576,0.0013987507143392972,0.0014072329592774576,0.001390012207214765,0.0014218210437477365,0.0013534951365330953,0.0013692094794796252
16.0,0.0013476131658133055,0.0013658268547617986,0.0013519839700170916,0.0013654726845643299,0.0013406796562689827,0.001365835300867685,0.0013219904983468186,0.0013486298729758416,0.0012946707746484631,0.001297393745633266,0.0013375531849691485,0.001340462656084003,0.001341688220919911,0.0013670862432772978,0.0012972762156232718,0.001307265006965601
16.5,0.0012979477094449048,0.0013113073875014015,0.0013003089260420553,0.0013091063440442794,0.0012938844131001577,0.0013139707699558086,0.0012756213324295596,0.0012971886029376762,0.0012380629272399177,0.0012367219927392115,0.0012793664352422226,0.0012780725919112783,0.001295188020959879,0.001315509638498264,0.0012438870591796923,0.0012494792241845387
17.0,0.001250279252375842,0.0012589040780423412,0.0012507944789170425,0.0012550257707265424,0.0012488553960534703,0.001263981397171393,0.0012310842622713309,0.0012476921274852594,0.0011844087462396678,0.0011791505963278388,0.0012240080510792278,0.0012186616592237483,0.0012504231342734921,0.0012657750177955188,0.0011931334409377551,0.0011944704556603274
17.5,0.0012045065351944575,0.0012085025475560701,0.0012033275779338999,0.0012031045015115636,0.0012055078437603352,0.0012157698291414781,0.0011882817444061884,0.001200029366622563,0.0011335045244207857,0.0011244592483919146,0.001171310109738892,0.0011620466385589656,0.0012073113497684902,0.0012177877381304718,0.0011448394678434824,0.0011420464831923733
18.0,0.0011605355026663331,0.0011599957085244694,0.001157803343976653,0.001153224402209284,0.00116376285155731,0.0011692445472472523,0.0011471238629641462,0.0011540969820658515,0.0010851654241394698,0.0010724472814286098,0.0011211176720025014,0.001108057780254623,0.0011657760892374621,0.001171458745817105,0.0010988453536147616,0.001092031852152876
18.5,0.0011182785949290666,0.0011141892329363586,0.0011141242617649651,0.0011061745162901425,0.0011235468002778496,0.001125234460323852,0.0011075275102222794,0.0011107018804943263,0.0010392232460030063,0.0010237639937385418,0.0010732874705739865,0.001057397458143005,0.0011257458595878085,0.0011276211353296493,0.0010550055188686825,0.0010451158994295774
19.0,0.0010776541278171672,0.0010700875210578782,0.001072199473758744,0.0010609540247215278,0.0010847908567559292,0.0010827515904210372,0.0010694156771738524,0.001068859172413477,0.0009955245159919007,0.000977403557621301,0.0010276867642955386,0.0010090528732363616,0.0010871537737991667,0.0010852874584668585,0.0010131869622956031,0.0010003000107168135
19.5,0.001038585748894532,0.0010276046279142446,0.0010319441604125029,0.001017468475785046,0.001047430535244363,0.001041721996166566,0.0010327168367118868,0.0010284874326296116,0.0009539288383184506,0.0009332150279584438,0.0009841923331886028,0.0009628905564724475,0.0010499371302613717,0.0010443856376131867,0.0009732678580120658,0.0009574516493044723
20.0,0.0010010019580979008,0.0009866593475190664,0.0009932789941213592,0.0009756288426520267,0.0010114053108215891,0.0010020755112564827,0.0009973644051598633,0.0009895100550529742,0.0009143074711600985,0.0008910593454673579,0.0009426895936608746,0.0009187858074962162,0.0010140370419389293,0.0010048472105512458,0.0009351363426131293,0.0009164484082668312
22.0,0.0008642300501460292,0.0008399880026380431,0.0008530998887319353,0.000826275123135026,0.0008795653947657255,0.0008593196956105939,0.0008682352170665417,0.0008494056725780924,0.0007733331853389909,0.0007431772734318855,0.000794564760192812,0.0007636357944449427,0.0008825406262361737,0.0008623673997999241,0.0007985422472355048,0.0007716891529976454
24.0,0.0007465016993911045,0.0007154505403676224,0.0007331584792706492,0.0007002090977057249,0.0007650719190553924,0.0007370449737548773,0.0007563299316260863,0.0007296156527695584,0.0006559591550760838,0.0006215952202513664,0.0006709226120874556,0.000635820464277732,0.0007681952110081679,0.0007401748333343745,0.0006835779702735083,0.000651384847202406
26.0,0.0006448590355483943,0.0006095099061258851,0.000630204425179278,0.0005935789613933004,0.0006653785069072844,0.0006321609408527479,0.0006589822282344319,0.0006269367393929975,0.0005575375430664699,0.0005210413004932087,0.0005672671609320555,0.0005301721121165059,0.0006685122377472646,0.0006352420589589691,0.0005861605676589809,0.0005508500030923551
28.0,0.0005569057883833847,0.0005193007990563299,0.0005416187165833097,0.0005032826916238984,0.0005784029321005713,0.0005421390074607772,0.0005740572583285243,0.0005387986647827765,0.0004745420938742171,0.0004375161153829576,0.0004800640207848745,0.0004426389985139251,0.0005814519407659203,0.0005450859491825225,0.0005031711095049901,0.0004665022409868982
30.0,0.00048067216482631316,0.0004421191769071953,0.0004652601747393891,0.0004264492265560873,0.0005024175856945279,0.00046451326785062504,0.0004998141237428677,0.00046273563236392114,0.00040424103865598164,0.0003676315994958989,0.00040649517654419847,0.0003697081577062785,0.0005053180810307122,0.00046727131532529886,0.00043217565070609895,0.000395231410334433
32.0,0.0004145196969388506,0.0003764281384436855,0.00039935750796869584,0.00036139308118961807,0.0004359721476984911,0.0003979592141373107,0.0004348117949636223,0.0003974406311990946,0.0003444809623459509,0.0003093030388953298,0.0003442877345880382,0.000309151755143521,0.0004386835625548464,0.0004004996801717817,0.0003712406811324061,0.000335191692895831
34.0,0.000357072252940618,0.0003198506379134888,0.00034243117444066854,0.00030566483957285685,0.00037783735376608826,0.00034020361174276487,0.00037784268475648326,0.00034067179224145497,0.0002935393511177988,0.0002599797372876918,0.00029159097439428915,0.000258272669867567,0.00038033628348077417,0.0003425096245722792,0.0003188070669943733,0.0002839355917410053
36.0,0.00030716475321140906,0.00027118877307136973,0.00029323540564496974,0.00025798698991870314,0.00032696305040040037,0.00029016292116720605,0.00032788445065158925,0.0002913769464131414,0.00025002118936759394,0.00021825248478223863,0.0002468859791747433,0.00021553113251311415,0.00032923869798182336,0.00029223020733217225,0.0002736015180897262,0.00024017046980482964
38.0,0.0002638042182942856,0.0002300950948832023,0.00025071426355901085,0.0002179143044566724,0.00028244621394517744,0.00024763059088905875,0.000284064181207756,0.0002493883371228844,0.00021278469198595596,0.00018350506633474072,0.00020891786634381326,0.00018018326987482522,0.0002844969434593026,0.0002494693144152499,0.00023457288543131795,0.00020342494766670228
40.0,0.0002261396260166613,0.00019467539806853972,0.00021396771486488416,0.00018355394480092205,0.00024350609698344278,0.0002107109732236642,0.00024563122133211464,0.00021283939158608443,0.00018088683290588356,0.0001539654975892243,0.0001766440761473243,0.00015036499248247194,0.000245336813849634,0.0002123298370767379,0.0002008453388999168,0.00017190833625336965
