m_GeV,epoch,delta_keV,N_std,spread_gaia_dex,spread_shape_dex,spread_single_dex,spread_envelope_dex,spread_envelope_plus_rho_dex,lr_std,lr_vesc500,lr_vesc528,lr_vesc560,lr_vesc600,lr_v0_220,lr_v0_250,lr_king1,lr_king2,lr_king3,lr_shmpp,lr_shmpp_iso,lr_shmpp_evans,lr_env_low,lr_env_high
1000,june16,150,9.123e+05,0.3721,1.54,1.671,2.332,2.553,0,-0.06367,-0.01937,0.0158,0.0432,-0.2408,0.1313,-0.08794,-0.8588,-1.54,-0.06007,0.1321,-0.1445,-2.153,0.1785
1000,june16,175,2.767e+05,0.4459,1.868,2.026,2.819,3.041,0,-0.1041,-0.03197,0.02638,0.073,-0.2875,0.1584,-0.1266,-1.055,-1.868,-0.07373,0.1653,-0.1822,-2.583,0.2359
1000,june16,200,8.012e+04,0.5043,2.1,2.281,3.218,3.44,0,-0.1497,-0.04693,0.03948,0.1113,-0.3235,0.1808,-0.1618,-1.188,-2.1,-0.08011,0.189,-0.2121,-2.92,0.2974
1000,june16,225,2.405e+04,0.5348,2.317,2.51,3.647,3.869,0,-0.1712,-0.05594,0.04891,0.1428,-0.3417,0.1932,-0.1767,-1.275,-2.317,-0.08364,0.1979,-0.23,-3.303,0.3443
1000,june16,250,8363,0.5526,2.644,2.842,4.25,4.472,0,-0.1697,-0.05484,0.04887,0.1481,-0.355,0.1976,-0.1857,-1.415,-2.644,-0.09077,0.2053,-0.2384,-3.893,0.357
1000,june16,260,5724,0.5683,2.819,3.021,4.571,4.793,0,-0.1826,-0.05637,0.0489,0.1471,-0.3667,0.2016,-0.1994,-1.503,-2.819,-0.09331,0.2136,-0.2449,-4.213,0.3584
1000,june16,270,3947,0.5939,3.018,3.227,4.956,5.178,0,-0.2134,-0.06231,0.05159,0.1506,-0.3849,0.209,-0.2225,-1.61,-3.018,-0.09506,0.2254,-0.2573,-4.591,0.3653
1000,june16,280,2699,0.6311,3.236,3.457,5.418,5.64,0,-0.2674,-0.0744,0.05855,0.1632,-0.4105,0.2207,-0.2549,-1.734,-3.236,-0.09606,0.2396,-0.2778,-5.035,0.3833
1000,june16,290,1797,0.6813,3.471,3.708,5.979,6.201,0,-0.3505,-0.09416,0.07116,0.1894,-0.4443,0.237,-0.2965,-1.871,-3.471,-0.09656,0.2549,-0.3085,-5.562,0.4171
1000,june16,300,1146,0.7466,3.722,3.98,6.667,6.889,0,-0.4715,-0.1233,0.09061,0.2326,-0.488,0.2586,-0.3464,-2.02,-3.722,-0.09677,0.2702,-0.352,-6.197,0.4705
1000,june16,310,685.8,0.8308,3.986,4.283,7.515,7.736,0,-0.6467,-0.1645,0.1185,0.2969,-0.5444,0.2863,-0.4047,-2.182,-3.986,-0.09686,0.2848,-0.4121,-6.967,0.5476
1000,june16,320,377,0.941,4.265,4.652,8.503,8.725,0,-0.9041,-0.2224,0.1571,0.3873,-0.619,0.322,-0.4714,-2.355,-4.265,-0.09689,0.2983,-0.4957,-7.849,0.6537
1000,june16,330,185.4,1.089,4.556,5.068,9.633,9.855,0,-1.289,-0.3046,0.2104,0.5115,-0.7206,0.3685,-0.5472,-2.54,-4.556,-0.0969,0.3105,-0.6143,-8.837,0.7966
1000,june16,340,78.34,1.295,4.855,5.536,11.45,11.67,0,-1.797,-0.4235,0.2845,0.6813,-0.8639,0.431,-0.6325,-2.735,-4.855,-0.09691,0.3212,-0.7862,-10.46,0.9888
1000,june16,342.5,61.37,1.358,4.929,5.662,12.26,12.48,0,-1.913,-0.4608,0.3072,0.7327,-0.9082,0.4499,-0.6551,-2.785,-4.929,-0.09691,0.3237,-0.8398,-11.21,1.046
1000,june16,345,47.33,1.427,5.002,5.791,13.47,13.69,0,-2.013,-0.502,0.3323,0.7889,-0.9568,0.4706,-0.6783,-2.835,-5.002,-0.09691,0.326,-0.8986,-12.36,1.109
1000,june16,347.5,35.99,1.502,5.073,5.923,15.81,16.04,0,-2.109,-0.5468,0.3597,0.8497,-1.009,0.4932,-0.7018,-2.884,-5.073,-0.09691,0.3282,-0.9613,-14.64,1.177
1000,june16,350,26.92,1.58,5.14,6.055,inf,inf,0,-2.205,-0.5935,0.3893,0.9156,-1.063,0.5173,-0.7247,-2.931,-5.14,-0.09691,0.3302,-1.025,-inf,1.25
1000,june16,352.5,19.78,1.663,5.203,6.191,inf,inf,0,-2.323,-0.6426,0.4218,0.9873,-1.119,0.5439,-0.7475,-2.976,-5.203,-0.09691,0.3321,-1.089,-inf,1.329
1000,june16,355,14.27,1.744,5.262,6.327,inf,inf,0,-2.474,-0.6908,0.4568,1.065,-1.172,0.5722,-0.7692,-3.018,-5.262,-0.09691,0.3338,-1.147,-inf,1.414
1000,june16,357.5,10.13,1.822,5.316,6.463,inf,inf,0,-2.693,-0.7358,0.4945,1.148,-1.22,0.6026,-0.7896,-3.056,-5.316,-0.09691,0.3353,-1.195,-inf,1.506
1000,june16,360,7.03,1.889,5.362,6.599,inf,inf,0,-3.058,-0.7709,0.5345,1.237,-1.254,0.6346,-0.807,-3.088,-5.362,-0.09691,0.3365,-1.226,-inf,1.604
1000,june16,362.5,4.791,1.942,5.404,6.736,inf,inf,0,-3.804,-0.7929,0.5761,1.332,-1.274,0.6675,-0.821,-3.114,-5.404,-0.09691,0.3374,-1.243,-inf,1.708
1000,june16,365,3.212,1.98,5.441,7.16,inf,inf,0,-5.728,-0.7994,0.6178,1.432,-1.28,0.6997,-0.8302,-3.134,-5.441,-0.09691,0.338,-1.252,-inf,1.818
