m_GeV,delta_keV,epoch,halo,family,N_unit,N_std,ratio,log10_ratio,c2_one_event,log10_c2_shift
400,300,annual,vesc500,vesc,25.636,3893.2,0.0065849,-2.1815,0.039008,2.1815
400,300,annual,vesc528,vesc,1404.4,3893.2,0.36075,-0.4428,0.00071203,0.4428
400,300,annual,vesc560,vesc,7491.2,3893.2,1.9242,0.28425,0.00013349,-0.28425
400,300,annual,vesc600,vesc,17749,3893.2,4.5591,0.65888,5.634e-05,-0.65888
400,300,annual,v0_220,v0,505.96,3893.2,0.12996,-0.88618,0.0019764,0.88618
400,300,annual,v0_250,v0,10496,3893.2,2.6961,0.43074,9.5271e-05,-0.43074
400,300,annual,king1,king,877.28,3893.2,0.22534,-0.64716,0.0011399,0.64716
400,300,annual,king2,king,6.3937,3893.2,0.0016423,-2.7846,0.1564,2.7846
400,300,annual,king3,king,0.042819,3893.2,1.0998e-05,-4.9587,23.354,4.9587
400,300,annual,shmpp,shmpp,3114.6,3893.2,0.80001,-0.096907,0.00032107,0.096907
400,300,annual,shmpp_iso,shmpp,8188.2,3893.2,2.1032,0.32289,0.00012213,-0.32289
400,300,annual,shmpp_evans,shmpp,592.42,3893.2,0.15217,-0.81767,0.001688,0.81767
400,300,annual,env_low,env,0,3893.2,0,-inf,inf,inf
400,300,annual,env_high,env,35405,3893.2,9.0943,0.95877,2.8244e-05,-0.95877
400,350,june16,std,std,0.00060718,0.00060718,1,0,1647,-0
400,350,june16,vesc500,vesc,0,0.00060718,0,-inf,inf,inf
400,350,june16,vesc528,vesc,0,0.00060718,0,-inf,inf,inf
400,350,june16,vesc560,vesc,6.4558,0.00060718,10632,4.0266,0.1549,-4.0266
400,350,june16,vesc600,vesc,993.08,0.00060718,1.6356e+06,6.2137,0.001007,-6.2137
400,350,june16,v0_220,v0,0,0.00060718,0,-inf,inf,inf
400,350,june16,v0_250,v0,3.1532,0.00060718,5193.2,3.7154,0.31714,-3.7154
400,350,june16,king1,king,3.7446e-06,0.00060718,0.0061672,-2.2099,2.6705e+05,2.2099
400,350,june16,king2,king,5.0428e-10,0.00060718,8.3052e-07,-6.0806,1.983e+09,6.0806
400,350,june16,king3,king,5.5916e-14,0.00060718,9.2091e-11,-10.036,1.7884e+13,10.036
400,350,june16,shmpp,shmpp,0.00048574,0.00060718,0.8,-0.09691,2058.7,0.09691
400,350,june16,shmpp_iso,shmpp,0.0014007,0.00060718,2.3069,0.36303,713.92,-0.36303
400,350,june16,shmpp_evans,shmpp,0,0.00060718,0,-inf,inf,inf
400,350,june16,env_low,env,0,0.00060718,0,-inf,inf,inf
400,350,june16,env_high,env,3132.6,0.00060718,5.1592e+06,6.7126,0.00031922,-6.7126
400,350,annual,std,std,9.9625e-05,9.9625e-05,1,0,10038,-0
400,350,annual,vesc500,vesc,0,9.9625e-05,0,-inf,inf,inf
400,350,annual,vesc528,vesc,0,9.9625e-05,0,-inf,inf,inf
400,350,annual,vesc560,vesc,1.4416,9.9625e-05,14471,4.1605,0.69366,-4.1605
400,350,annual,vesc600,vesc,429.39,9.9625e-05,4.3101e+06,6.6345,0.0023289,-6.6345
400,350,annual,v0_220,v0,0,9.9625e-05,0,-inf,inf,inf
400,350,annual,v0_250,v0,0.64932,9.9625e-05,6517.6,3.8141,1.5401,-3.8141
400,350,annual,king1,king,6.092e-07,9.9625e-05,0.0061149,-2.2136,1.6415e+06,2.2136
400,350,annual,king2,king,8.1469e-11,9.9625e-05,8.1775e-07,-6.0874,1.2275e+10,6.0874
