width,k,line,E_keV,tail,f,Ne_mean,sigma_Ne,z_event,z_ROI_edge,P_Ne_le_event,P_Ne_le_ROI,P_V,P_G,P_B,S1c_if_Ne_event,P_G_over_P_V
raw,1.0,Xe124_KK,64.3,gauss,0.4,670.9862094992135,269.7703958537417,1.4914480407180402,0.9695468485971155,0.06792195161701822,0.16613620874496632,0.012891073048411823,0.0588836522840688,0.03988206059688003,496.7002665330681,4.567785169080494
raw,1.0,Xe124_KK,64.3,exp_tail,0.0,1118.3103491653558,270.23241543842374,3.14422926142088,2.623220369994665,0.0027263798778643772,0.007729100260273486,0.000528517741329283,0.003039814274612058,0.0014969748200510432,496.7002665330681,5.751584170034813
raw,1.0,Xe124_KK,64.3,exp_tail,0.1,1006.4793142488202,270.13414958583024,2.731389697380575,2.2101912801835413,0.006225500279012945,0.017655558087639644,0.0012072485105147144,0.006945363012572525,0.003418330653182047,496.7002665330681,5.753051631110604
raw,1.0,Xe124_KK,64.3,exp_tail,0.2,894.6482793322847,270.02440062511255,2.3183482556525843,1.7969380021011965,0.014221240952618244,0.04024721910321234,0.002758840760053512,0.01581405889700883,0.007808908147201334,496.7002665330681,5.732139065794465
raw,1.0,Xe124_KK,64.3,exp_tail,0.3,782.817244415749,269.9031545483668,1.9050520699423226,1.3834075881258963,0.032494054087817255,0.08714535125931065,0.006281440456451517,0.03304927784252416,0.017847982707932888,496.7002665330681,5.261417038281409
raw,1.0,Xe124_KK,64.3,exp_tail,0.4,670.9862094992135,269.7703958537417,1.4914480407180402,0.9695468485971155,0.07186222254492636,0.16966128828118926,0.012836577268310233,0.05863472726794329,0.04018204117418579,496.7002665330681,4.567785169080494
raw,1.0,Xe124_KK,64.3,neg_skew,0.0,1118.3103491653558,270.23241543842374,3.14422926142088,2.623220369994665,0.004465685516945905,0.012577875754998746,0.0009081004446787962,0.004913327516660845,0.002537594339305823,496.7002665330681,5.410555126860152
raw,1.0,Xe124_KK,64.3,neg_skew,0.1,1006.4793142488202,270.13414958583024,2.731389697380575,2.2101912801835413,0.010237596017232984,0.026430215343122346,0.0019244570836014453,0.009772203728503678,0.005821096226305067,496.7002665330681,5.077901612758177
raw,1.0,Xe124_KK,64.3,neg_skew,0.2,894.6482793322847,270.02440062511255,2.3183482556525843,1.7969380021011965,0.0219045182918609,0.05189420364307497,0.0037820138016423023,0.018030150237437603,0.012404235886159402,496.7002665330681,4.767341205790467
raw,1.0,Xe124_KK,64.3,neg_skew,0.3,782.817244415749,269.9031545483668,1.9050520699423226,1.3834075881258963,0.04378222284321813,0.09531476941114478,0.0068922631457421545,0.030858369286516855,0.024554341516222825,496.7002665330681,4.477247695567208
raw,1.0,Xe124_KK,64.3,neg_skew,0.4,670.9862094992135,269.7703958537417,1.4914480407180402,0.9695468485971155,0.08183885377664168,0.1639859417235222,0.011646353467770251,0.0489842070153836,0.04515156266085256,496.7002665330681,4.205969460822303
raw,1.0,I125_K,67.3,nest_skew,0.0,1178.4509267941714,287.1996584706387,3.167877185089912,2.677648568716417,2.813412357499656e-05,0.00047221174267209065,2.565727837273979e-05,0.00038394640765823044,1.1352272792665368e-05,521.2531628687107,14.964424600317848
raw,1.0,I125_K,67.3,nest_skew,0.1,1060.6058341147543,287.102960224202,2.7584813209061902,2.268087592171891,0.00030808842684292015,0.00328411414542204,0.00024179356132350175,0.0025454108028255982,0.00014094281616000085,521.2531628687107,10.527206716724885
raw,1.0,I125_K,67.3,nest_skew,0.2,942.7607414353372,286.9948024910405,2.3489033753388684,1.8583248353341346,0.0023062417556827253,0.015935006256197592,0.0015257579998029973,0.011496288421667288,0.0011873666223561402,521.2531628687107,7.534804617214306
raw,1.0,I125_K,67.3,nest_skew,0.3,824.91564875592,286.8751723097807,1.9390941471777339,1.448311030390735,0.011997537004526992,0.055271588516084214,0.006514850755165192,0.03589033606354487,0.006867562474993141,521.2531628687107,5.509003569282046
raw,1.0,I125_K,67.3,nest_skew,0.4,707.0705560765028,286.74405532143953,1.5290042348937283,1.0379967019313716,0.044373819925058844,0.1416236254825114,0.019120084773346355,0.07910063577807594,0.027677473511751746,521.2531628687107,4.137044198064605
raw,1.0,I125_K,67.3,gauss,0.0,1178.4509267941714,287.1996584706387,3.167877185089912,2.677648568716417,0.0007677818728165484,0.003707048175609995,0.00039825294069409454,0.0024552852381753815,0.0004442971802629325,521.2531628687107,6.1651402595953
raw,1.0,I125_K,67.3,gauss,0.1,1060.6058341147543,287.102960224202,2.7584813209061902,2.268087592171891,0.002903531192385271,0.011661934237085284,0.001351526978394974,0.007257516934969922,0.001740100872085194,521.2531628687107,5.369864642723369
raw,1.0,I125_K,67.3,gauss,0.2,942.7607414353372,286.9948024910405,2.3489033753388684,1.8583248353341346,0.009414396116090646,0.03156144953899707,0.003882995375363786,0.018189841616204024,0.005804008233076817,521.2531628687107,4.684487066766046
raw,1.0,I125_K,67.3,gauss,0.3,824.91564875592,286.8751723097807,1.9390941471777339,1.448311030390735,0.02624493762722568,0.0737650420854427,0.00944348952914202,0.03865208292006454,0.016492681674228713,521.2531628687107,4.092987322195532
raw,1.0,I125_K,67.3,gauss,0.4,707.0705560765028,286.74405532143953,1.5290042348937283,1.0379967019313716,0.06313169703686759,0.14963579526965715,0.01943720382138569,0.06961965516668986,0.03993767853965363,521.2531628687107,3.5817731709995844
raw,1.0,I125_K,67.3,exp_tail,0.0,1178.4509267941714,287.1996584706387,3.167877185089912,2.677648568716417,0.0026004352368581337,0.006931914672478652,0.0008064816740813162,0.0035441841407743255,0.0015359647459460522,521.2531628687107,4.394624521148104
raw,1.0,I125_K,67.3,exp_tail,0.1,1060.6058341147543,287.102960224202,2.7584813209061902,2.268087592171891,0.00589715810752112,0.015725097700655496,0.0018294914519399012,0.00804172826315474,0.0034833552584975502,521.2531628687107,4.3956085471881785
raw,1.0,I125_K,67.3,exp_tail,0.2,942.7607414353372,286.9948024910405,2.3489033753388684,1.8583248353341346,0.013378199101108827,0.03565543101669309,0.004151843397200462,0.01822682338081673,0.007902686588929814,521.2531628687107,4.390055605928406
raw,1.0,I125_K,67.3,exp_tail,0.3,824.91564875592,286.8751723097807,1.9390941471777339,1.448311030390735,0.03036139415125518,0.07768061190646196,0.009406179028908817,0.038488684931132985,0.01793721209782569,521.2531628687107,4.091851198328504
raw,1.0,I125_K,67.3,exp_tail,0.4,707.0705560765028,286.74405532143953,1.5290042348937283,1.0379967019313716,0.06709221830850197,0.1532306287279127,0.01935503489865427,0.06932534472376053,0.040196858679722704,521.2531628687107,3.5817731709995853
raw,1.0,I125_K,67.3,neg_skew,0.0,1178.4509267941714,287.1996584706387,3.167877185089912,2.677648568716417,0.004249417805719382,0.011346889934980012,0.0013882418624578596,0.005783047404925157,0.0026090173687000205,521.2531628687107,4.165734776709849
