window,signal,case,exposure_tyr,kappa_DL,sigma_n_DL_cm2,n_crit
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,4216.965034285822,6.108466513448224e-07,1.810697877600945e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,4869.675251658631,5.289714071085808e-07,1.5679997623862087e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,5623.413251903491,4.5807036663360386e-07,1.3578318532635163e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,6493.816315762113,3.966725950931659e-07,1.1758339420480849e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,7498.942093324558,3.4350431540533455e-07,1.0182302440094679e-44,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,8659.643233600653,2.9746248206124304e-07,8.817510642784132e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,10000.0,2.575918970031699e-07,7.635649637498735e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,11547.819846894581,2.2306539279138567e-07,6.612200171751121e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,13335.21432163324,1.9316667193363947e-07,5.725929447651766e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,15399.26526059492,1.6727544635672983e-07,4.958450619743235e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,17782.794100389227,1.4485456871905848e-07,4.293841335840248e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,20535.25026457146,1.2543888858641354e-07,3.7183134070063786e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,23713.737056616552,1.0862560227777225e-07,3.219926753538939e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,27384.196342643612,9.40658961760506e-08,2.7883416923973182e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,31622.776601683792,8.145771013335182e-08,2.4146044269535033e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,36517.41272548377,7.053947083808835e-08,2.090961288769009e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,42169.65034285822,6.108466513448224e-08,1.810697877600945e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,48696.75251658631,5.2897140710858086e-08,1.5679997623862086e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,56234.13251903491,4.580703666336039e-08,1.3578318532635165e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,64938.16315762113,3.9667259509316584e-08,1.1758339420480846e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,74989.42093324558,3.4350431540533455e-08,1.0182302440094679e-45,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,86596.43233600653,2.9746248206124303e-08,8.817510642784132e-46,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,no background,100000.0,2.5759189700316987e-08,7.635649637498735e-46,1
