window,signal,case,exposure_tyr,kappa_DL,sigma_n_DL_cm2,n_crit
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",1.333521432163324,0.0019316248949776899,5.725805470091487e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",1.539926526059492,0.0016727126392085932,4.958326642182954e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",1.7782794100389228,0.0014485038628318796,4.293717358279967e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",2.053525026457146,0.0012543470615054306,3.7181894294460987e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",2.371373705661655,0.0010862141984190174,3.219802775978658e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",2.7384196342643614,0.000940617137401801,2.788217714837038e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",3.1622776601683795,0.0008145352769748132,2.414480449393223e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",3.651741272548377,0.0007053528840221785,2.0908373112087285e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",4.216965034285822,0.0006108048269861174,1.8105739000406649e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",4.869675251658631,0.000528929582749876,1.5678757848259286e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",5.623413251903491,0.0004580285422748989,1.357707875703236e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",6.493816315762113,0.0003966307707344609,1.1757099644878044e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",7.498942093324558,0.00034346249104662957,1.0181062664491876e-41,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",8.659643233600654,0.000297420657702538,8.816270867181327e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",10.0,0.0002575500726444649,7.634409861895932e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",11.547819846894582,0.00022302356843268065,6.610960396148316e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",13.33521432163324,0.00019312484757493448,5.724689672048963e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",15.39926526059492,0.00016723362199802484,4.9572108441404316e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",17.78279410038923,0.00014481274436035346,4.292601560237444e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",20.53525026457146,0.00012539706422770857,3.7170736314035756e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",23.71373705661655,0.00010858377791906724,3.218686977936135e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",27.384196342643612,9.402407181734562e-05,2.7871019167945152e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",31.622776601683793,8.141588577464683e-05,2.4133646513507002e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS maximal (hard shape, 25% sys)",36.51741272548377,0.00011911937551422298,3.530987686515075e-42,2
