UTC_h,Rrot_300,Rrot_350,Rrot_366,Rrot_380,Rrot_385,Rfull_300,Rfull_350,Rfull_366,Rfull_380,Rfull_385
4.583333333333333037e+00,1.006301804111607634e+00,1.018205595852490264e+00,1.031534329676110806e+00,1.052966285236205390e+00,1.053222096793553275e+00,1.007275853726566917e+00,1.021039660759310408e+00,1.036487162806622342e+00,1.061454672957623746e+00,1.061789979765454195e+00
4.666666666666666963e+00,1.006300890940140302e+00,1.018202940668839318e+00,1.031529693362099209e+00,1.052958354525693307e+00,1.053214095449487964e+00,1.007270044273887555e+00,1.021022746690067651e+00,1.036457578435088678e+00,1.061403874833078076e+00,1.061738678025216265e+00
4.750000000000000000e+00,1.006296956136717657e+00,1.018191499672645994e+00,1.031509715897585666e+00,1.052924182131967257e+00,1.053179618782110305e+00,1.007261209599019214e+00,1.020997025019988680e+00,1.036412589290258701e+00,1.061326627966024283e+00,1.061660666138059650e+00
4.833333333333333037e+00,1.006290001600994133e+00,1.018171278527776114e+00,1.031474407477442901e+00,1.052863786728100770e+00,1.053118685904977703e+00,1.007249351756858813e+00,1.020962502047001008e+00,1.036352207114823232e+00,1.061222955207968610e+00,1.061555968189693111e+00
4.916666666666666963e+00,1.006280030694217897e+00,1.018142287255419109e+00,1.031423786137922516e+00,1.052777201345972413e+00,1.053031330634799367e+00,1.007234474264124602e+00,1.020919188432245939e+00,1.036276451531182863e+00,1.061092893852610297e+00,1.061424623193986339e+00
5.000000000000000000e+00,1.006267048230083283e+00,1.018104540206701047e+00,1.031357877707950399e+00,1.052664473289443015e+00,1.052917601391957891e+00,1.007216582089899060e+00,1.020867099171846704e+00,1.036185349989783511e+00,1.060936495547183611e+00,1.061266684996032605e+00
5.083333333333333037e+00,1.006251060483034143e+00,1.018058056086359464e+00,1.031276715848509884e+00,1.052525664189831511e+00,1.052777561261622585e+00,1.007195681664074360e+00,1.020806253620717641e+00,1.036078937808889489e+00,1.060753826343627138e+00,1.061082222332021541e+00
5.166666666666666963e+00,1.006232075171255902e+00,1.018002857901735059e+00,1.031180341960903357e+00,1.052360849844742763e+00,1.052611287828520092e+00,1.007171780859977828e+00,1.020736675440370167e+00,1.035957258079722942e+00,1.060544966534851641e+00,1.060871318351261472e+00
5.250000000000000000e+00,1.006210101469956042e+00,1.017938973000289016e+00,1.031068805250427323e+00,1.052170120306486822e+00,1.052418873265634103e+00,1.007144889007818067e+00,1.020658392636867529e+00,1.035820361729826056e+00,1.060310010742545828e+00,1.060634070390862327e+00
5.333333333333333037e+00,1.006185149990016292e+00,1.017866433005766513e+00,1.030942162609876034e+00,1.051953579679663298e+00,1.052200424118259425e+00,1.007115016873070479e+00,1.020571437496028633e+00,1.035668307405460231e+00,1.060049067704216919e+00,1.060370590826645198e+00
5.416666666666666963e+00,1.006157232778562394e+00,1.017785273818317071e+00,1.030800478616710869e+00,1.051711346093618715e+00,1.051956061282079746e+00,1.007082176656967532e+00,1.020475846582739932e+00,1.035501161466325426e+00,1.059762260246078558e+00,1.060081006562082040e+00
5.500000000000000000e+00,1.006126363326015349e+00,1.017695535632515913e+00,1.030643825560051630e+00,1.051443551728978187e+00,1.051685920018898379e+00,1.007046382003615070e+00,1.020371660759569421e+00,1.035318998012612957e+00,1.059449725310444457e+00,1.059765459022173006e+00
5.583333333333333037e+00,1.006092556532204307e+00,1.017597262836823280e+00,1.030472283259393107e+00,1.051150342491500078e+00,1.051390149629419790e+00,1.007007647965776576e+00,1.020258925084628787e+00,1.035121898699731036e+00,1.059111613618995973e+00,1.059424103804108119e+00
