multiplet,mass_TeV,v_rel,S_tot,S_WW,S_ZZ,sigv_line
"(2,1/2)",1.1,0.0902590294013043,1.5768414033357385,1.7400479345337536,1.38391383994563,1.2546842641285345e-28
"(2,1/2)",1.1,0.16455305776676196,1.3589056784396822,1.4593972362996348,1.2401139165115143,6.93578431432669e-29
"(2,1/2)",1.1,0.29999999999999993,1.2079860136550675,1.2653932360398283,1.140124541112352,3.413811507482107e-29
"(3,1)",1.0,1e-06,5.103903146707822,9.570546933203854,3.7838905590762697,2.4378918786771928e-27
"(3,1)",1.0,1.8231201782055066e-06,5.103903146137195,9.570546932447257,3.7838905585606013,2.437891878872983e-27
"(3,1)",1.0,3.3237671841800854e-06,5.1039031442406015,9.570546929932599,3.7838905568466634,2.437891879523819e-27
"(3,1)",1.0,6.059627021136012e-06,5.103903137936818,9.570546921574536,3.783890551149974,2.4378918816870894e-27
"(3,1)",1.0,1.104742829463239e-05,5.10390311698447,9.570546893794234,3.783890532215469,2.4378918888772918e-27
"(3,1)",1.0,2.01407894412228e-05,5.103903047343747,9.570546801458956,3.7838904692815922,2.4378919127758388e-27
"(3,1)",1.0,3.67190796352817e-05,5.1039028158742905,9.570546494558226,3.783890260104093,2.437891992209152e-27
"(3,1)",1.0,6.694329500821696e-05,5.103902046524381,9.570545474492988,3.783889564847262,2.4378922562274803e-27
"(3,1)",1.0,0.00012204567192504444,5.103899489391779,9.570542084048483,3.783887253980593,2.4378931337686186e-27
"(3,1)",1.0,0.00022250392714919803,5.103890990160172,9.570530815164766,3.7838795732551915,2.4378960505737846e-27
"(3,1)",1.0,0.000405651399315671,5.103862741596335,9.570493361834586,3.783854044945759,2.4379057460477123e-27
"(3,1)",1.0,0.0007395512514097,5.1037688599253395,9.57036889574376,3.78376920178804,2.4379379791981133e-27
"(3,1)",1.0,0.001348290809262159,5.1034569293271055,9.569955421012025,3.7834872801945143,2.4380451992322272e-27
"(3,1)",1.0,0.0024580961804548745,5.102421361633287,9.568583574267718,3.7825510919454914,2.438402507995473e-27
"(3,1)",1.0,0.004481404746557171,5.09899279681004,9.564050877172955,3.7794488277108913,2.439600452601162e-27
"(3,1)",1.0,0.008170139420154312,5.0877444636494555,9.549282442929488,3.7692407784774002,2.4436967345923156e-27
"(3,1)",1.0,0.01489514603563558,5.051956657928078,9.503441681261181,3.736423889853323,2.4585953420575985e-27
"(3,1)",1.0,0.027155641294884982,4.949783301592615,9.38600113134161,3.6387623971613756,2.5231521874494805e-27
"(3,1)",1.0,0.04950799759681563,4.78858438282047,9.41088893366669,3.4225698800678135,2.9781024254927665e-27
"(3,1)",1.0,0.0902590294013043,3.7781477407882655,7.680353779549845,2.624941589388863,3.9993931155336714e-27
"(3,1)",1.0,0.16455305776676196,2.2677120064634453,3.8414043864922416,1.8026438591045417,8.205076731132378e-28
"(3,1)",1.0,0.29999999999999993,1.656624683809778,2.4297538955352356,1.428144343732368,2.5393338429290936e-28
"(3,1)",2.0,1e-06,101.78982433955483,250.9865915272152,57.69819309798194,6.414441327925209e-26
"(3,1)",2.0,1.8231201782055066e-06,101.78982368978518,250.98658994953374,57.69819272243502,6.414441290545724e-26
"(3,1)",2.0,3.3237671841800854e-06,101.7898215301065,250.9865847056995,57.69819147420671,6.414441166305549e-26
"(3,1)",2.0,6.059627021136012e-06,101.78981435183472,250.986567276408,57.69818732538518,6.414440753359818e-26
"(3,1)",2.0,1.104742829463239e-05,101.78979049293662,250.98650934551554,57.6981735356718,6.414439380824723e-26
"(3,1)",2.0,2.01407894412228e-05,101.78971119160568,250.9863167969395,57.69812770192775,6.414434818842908e-26
"(3,1)",2.0,3.67190796352817e-05,101.78944761345281,250.98567681275725,57.69797536181412,6.414419655936715e-26
"(3,1)",2.0,6.694329500821696e-05,101.78857155219106,250.98354968149349,57.69746902516658,6.414369258621321e-26
"(3,1)",2.0,0.00012204567192504444,101.78565985171711,250.9764798924163,57.69578615097904,6.414201756909906e-26
"(3,1)",2.0,0.00022250392714919803,101.77598339808426,250.95298487341447,57.69019345264477,6.413645100100153e-26
