multiplet,mass_GeV,S_tot_MW,S_tot_sat,S_WW_MW,sigv_tree_tot,sigv_MW_tot,sigv_sat_tot,sigv_line_MW,sigv_line_sat
"(3,1)",4982.194636129438,135.73757678434606,136.38651944405044,516.3497991820064,3.695371712706535e-27,5.016008016002037e-25,5.039988859480437e-25,1.918599714286313e-25,1.924995649039768e-25
"(3,1)",5330.732458268552,304.3347324849576,309.5458185380254,1213.0275738681892,3.228007033978693e-27,9.823946571454671e-25,9.992160795794381e-25,4.99449943129207e-25,5.070960462970426e-25
"(3,1)",5703.652831137525,3017.855949854328,4151.082024021713,12627.754340798145,2.8197441835383935e-27,8.509581761358475e-24,1.1704989392626005e-23,5.991573285284523e-24,8.222861137911425e-24
"(3,1)",6102.661477163973,485.9738423881656,527.7234570823309,2117.2883448090306,2.4631109854615968e-27,1.1970075098332733e-24,1.2998414444252608e-24,1.2338475893055383e-24,1.33599417159932e-24
"(3,1)",6529.5834454625465,58.72683861773894,59.91854284192026,251.87149009227144,2.15157955911553e-27,1.2635546554140363e-25,1.2891951199066377e-25,2.0209021175561904e-25,2.0548999982187283e-25
"(3,1)",6986.371459534426,16.804072995230282,16.984110498383707,53.4297029557095,1.879447079599532e-27,3.158236591626291e-26,3.192073687578301e-26,7.517509102189176e-26,7.582048375335638e-26
"(3,1)",7475.11484894418,10.539694448193485,10.570424519043472,7.411137139234199,1.6417315723007503e-27,1.730334913800218e-26,1.7353799665535643e-26,3.837423040869154e-26,3.864215024150377e-26
"(3,1)",7998.049105827163,16.14629677130692,16.136573541537548,0.8918234136934594,1.4340808514035006e-27,2.3155095020809418e-26,2.3141151123183367e-26,2.347857978867222e-26,2.3673325726251604e-26
"(3,1)",8557.566109938487,37.74813154211608,37.855364505467406,27.28447762108816,1.252692948549253e-27,4.728681820371845e-26,4.74211481807607e-26,1.6372894761620718e-26,1.6593156685625113e-26
"(3,1)",9156.225069012507,115.58701512317349,117.51249791458854,159.04715872255426,1.0942465849523576e-27,1.264806965633691e-25,1.2858764953225954e-25,1.290790812739524e-26,1.3291613233499508e-26
"(3,1)",9796.76422447361,627.5044956536677,690.6842662564027,1163.572715471091,9.558404216813552e-28,5.997941617325479e-25,6.601839403071973e-25,1.2624909122651408e-26,1.415945770775215e-26
"(3,1)",10482.113376039699,7670.371465684781,83885.53893868356,16918.617937915427,8.349399816511458e-28,6.404299810816323e-24,7.003939034226093e-23,2.1376483890356123e-26,2.342972829435419e-25
"(3,1)",11215.407282505459,806.5994403369075,863.6673013185962,1996.8488513240059,7.293312759027718e-28,5.8827819896337845e-25,6.298995748261954e-25,7.628260698870869e-27,8.050130314772224e-27
"(3,1)",12000.000000000007,332.36109639115944,338.37204476695,894.8713617021236,6.370802884121432e-28,2.1174070314585597e-25,2.1557015987073514e-25,7.589383689769891e-27,7.66136693897272e-27
"(4,3/2)",499.99999999999994,4.902480101771096,4.902554161366672,10.26702470849944,1.5958427399677935e-24,7.823587278247973e-24,7.823705465715898e-24,1.1959727069614378e-26,1.1959615484729296e-26
"(4,3/2)",534.9783426375611,5.643251733769081,5.643365180858995,12.286714190621396,1.3969329177407223e-24,7.883244109999433e-24,7.883402587973755e-24,1.3942342149805336e-26,1.394224092455869e-26
"(4,3/2)",572.4036541824642,6.5992124035391395,6.5993904814659095,14.9592800899632,1.2224799347544616e-24,8.06740474850936e-24,8.06762244520166e-24,1.6564150048363336e-26,1.6564088299893436e-26
