label,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh,r_Nlo_min,Nlo_min,r_max_rho_hi,max_rho_hi,r_max_ratio_enh,max_ratio_enh
xeno,2051634301169619.0,1412277118378746.5,121629724857321.11,0.059284310458243485,16.86786929409162,11.611282686328785,1668967466983.9592,0.9922152385056718,143.6720565629123,366.02634492781596,41.5,0.029902752678964705,0.5,annual,1000.0,0.0,-0.7,0.0010902049859216568,0.17617846720099417,0.9569976493079557,161.6012304805718,-0.7436448449618853,7.199412627508817,2.0,1.915831111400031,-0.74,374.93878848852256
N_lo-min,830950359857198.0,1122945342255043.0,115419188043501.31,0.13890022030117002,7.199412627508817,9.729277785525632,1675668621703.9983,0.9867369064629664,149.4647626201812,372.1525558482234,7.0,0.043115194765672216,0.5,annual,1000.0,0.0,-0.7436448449618853,0.0004415534605037861,0.16718261641174315,0.9608401384166951,378.62372592663587,-0.7436448449618853,7.199412627508817,2.0,1.915831111400031,-0.74,374.93878848852256
vec,4.119989226177272e+16,738818266470988.2,87420576955868.72,0.0021218642126640177,471.2836919684375,8.451308515659367,1723746774637.668,0.9992587966491184,68.64698925676873,181.62810443144687,9.0,0.0006732955926168402,0.5,annual,1000.0,0.0,-1.0,0.02189295038478022,0.12662713220784247,0.9884084884599333,5.783922677496795,-0.7436448449618853,7.199412627508817,2.0,1.915831111400031,-0.74,374.93878848852256
r=-2,9.752729848978687e+17,2.072748184561091e+16,116732811135197.86,0.00011969244810715454,8354.74598284389,177.563460042136,2053707320035.993,0.9999378381457023,90.38594694172626,224.33657471089546,9.5,3.93207226211339e-05,0.5,annual,1000.0,0.0,-2.0,0.5182441481721206,0.16908537581571625,1.1776101790604145,0.32626586602490526,-0.7436448449618853,7.199412627508817,2.0,1.915831111400031,-0.74,374.93878848852256
r=+2,4.656631993745043e+18,1.460053790875046e+17,1322647509964069.8,0.0002840352236854228,3520.6900997163957,110.38873017004425,2094137629697.736,0.9999953697588249,100.24253474498128,259.5926581231887,10.0,8.947124407707349e-06,0.5,annual,1000.0,0.0,2.0,2.47445824740256,1.915831111400031,1.200793202140548,0.7742426502492332,-0.7436448449618853,7.199412627508817,2.0,1.915831111400031,-0.74,374.93878848852256
iso,12153154718.344557,120169488005759.83,15126055552623.332,1244.619681323676,0.0008034582893117049,7.944535678035288,42781451817.67604,0.997520737133218,101.27768216815394,266.0878522022802,157.0,0.02559514323482622,51.5,annual,1000.0,250.0,1.0,1.0,1.0,1.0,1.0,-0.7562881255519502,0.9932364517637555,2.0,1.9011250205415529,-0.88,10909.965555046736
p-only,2676904848.7657995,25732887310660.984,6278042971621.628,2345.261907428705,0.0004263916097526091,4.098870846692236,40886086605.769936,0.9865107261371617,107.58582825721193,291.36286518634466,168.5,0.11753781981710967,51.5,annual,1000.0,250.0,0.0,0.22026419565984381,0.415048255626221,0.9556965663534823,1.884320120130573,-0.7562881255519502,0.9932364517637555,2.0,1.9011250205415529,-0.88,10909.965555046736
xeno,116442545.42061734,3018179388518.6885,2929994615963.793,25162.577865160678,3.974155610600489e-05,1.0300972473036056,43210278960.38899,0.8750632998943862,143.61977797390918,365.6785263597301,221.0,0.8333614041177366,51.5,annual,1000.0,250.0,-0.7,0.009581260842903066,0.19370513388440122,1.0100236697094924,20.217081766214566,-0.7562881255519502,0.9932364517637555,2.0,1.9011250205415529,-0.88,10909.965555046736
N_mid-min,56252542.33837524,2743882549846.2666,2762567307083.5986,49110.088046615936,2.0362415132524035e-05,0.9932364517637555,43527776892.198494,0.8591427251557551,151.06681712912447,373.23086322900264,227.0,0.9096742039974317,51.5,annual,1000.0,250.0,-0.7562881255519502,0.004628637061080523,0.18263633221976913,1.0174450618857702,39.457907329881245,-0.7562881255519502,0.9932364517637555,2.0,1.9011250205415529,-0.88,10909.965555046736
vec,45886248.69955987,4222190085187.171,2212484930188.592,48216.731436793474,2.073968869729139e-05,1.9083474999430945,45126768457.65094,0.85453091712822,nan,181.26398346405531,118.5,0.5530224788235905,51.5,annual,1000.0,250.0,-1.0,0.003775665640979371,0.14626978742021596,1.054820875410448,38.740132556407985,-0.7562881255519502,0.9932364517637555,2.0,1.9011250205415529,-0.88,10909.965555046736
r=-2,4260098918.145839,55637396329338.375,2929381428324.222,687.6322556376703,0.0014542656947828284,18.992882180305973,55503497373.31906,0.9677053155824898,89.32765604925731,223.52903838514877,139.5,0.062498116718480067,51.5,annual,1000.0,250.0,-2.0,0.3505344099434068,0.1936645953819848,1.2973729271708971,0.5524838357901914,-0.7562881255519502,0.9932364517637555,2.0,1.9011250205415529,-0.88,10909.965555046736
