R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh
1.0562931145005453e+18,1.8060433096939456e+16,126000487077044.38,0.0001192855329144336,8383.24627947401,143.33621651713304,3057151377312.4224,0.9999305114984819,87.0900502114623,215.03332639157057,9.5,5.222126504762238e-05,0.5,sunframe,400.0,0.0,-1.58,0.23019184549744082,0.1053642977996275,1.081497556334576,0.4577238501734803
1.0312241580633256e+18,1.7558235526814672e+16,125225276526710.61,0.00012143361416385744,8234.952133193054,140.2131902904562,3051541625684.7383,0.9999292862602955,86.97241956897447,214.83585016340965,9.5,5.3353624969420286e-05,0.5,sunframe,400.0,0.0,-1.57,0.22472871289933888,0.10471605018426046,1.0795130511766018,0.46596649281378294
1.0064568409612416e+18,1.70636843728412e+16,124488368979099.66,0.000123689724102033,8084.7459824155585,137.0705111873224,3045968580858.264,0.999928019600563,86.84998138168137,214.52754912090836,9.5,5.452596411032471e-05,0.5,sunframe,400.0,0.0,-1.56,0.21933131481590556,0.10409983235765954,1.0775415314128427,0.47462366440941245
9.81991163194294e+17,1.6576779635019052e+16,123789764434211.6,0.00012605995763906777,7932.733111518084,133.91074545447435,3040432242833.0005,0.9999267095568249,86.72433358295666,214.14161687769592,9.5,5.57401989272216e-05,0.5,sunframe,400.0,0.0,-1.55,0.21399965124714104,0.10351564431982481,1.0755829970432988,0.4837187524211339
9.57827124762483e+17,1.609752131334822e+16,123129462892046.45,0.0001285508206113702,7779.024632002628,130.7365510678926,3034932611608.948,0.9999253540471279,86.60061382292429,213.74371721664755,9.5,5.699836239164413e-05,0.5,sunframe,400.0,0.0,-1.54,0.2087337221930453,0.1029634860707563,1.0736374480679705,0.4932767211209482
9.339647256658076e+17,1.5625909407828712e+16,122507464352604.22,0.00013116926259208636,7623.7373012443195,127.5506720378589,3029469687186.1084,0.9999239508611301,86.4716134053127,213.50243894617182,9.5,5.8302612604899193e-05,0.5,sunframe,400.0,0.0,-1.53,0.20353352765361823,0.10244335761045398,1.071704884486858,0.5033242374926863
9.104039659042688e+17,1.5161943918460516e+16,121923768815884.8,0.00013392271275398352,7466.9933085734565,124.35593211817734,3024043469564.478,0.9999224976504059,86.3369721080346,213.2587626187356,9.5,5.965524216608792e-05,0.5,sunframe,400.0,0.0,-1.52,0.19839906762885998,0.10195525893891778,1.0697853062999605,0.5138898088454874
8.87144845477866e+17,1.4705624845243642e+16,121378376281888.2,0.0001368191191107096,7308.920028865501,121.15522793855318,3018653958744.0576,0.9999209919178876,86.19850117692556,212.8078609401464,9.5,6.10586883691916e-05,0.5,sunframe,400.0,0.0,-1.51,0.1933303421187704,0.10149919005614773,1.0678787135072778,0.5250039333908219
8.641873643865996e+17,1.4256952188178088e+16,120871286750614.6,0.00013986699150178973,7149.649744108523,117.95152158505168,3013301154724.8506,0.9999194310063504,86.05719995084544,212.4390661924162,9.5,6.251554431417458e-05,0.5,sunframe,400.0,0.0,-1.5,0.18832735112334958,0.10107515096214394,1.0659851061088115,0.5366992651850251
8.415315226304696e+17,1.3815925947263854e+16,120402500222063.83,0.00014307544873150824,6989.319333721432,114.7478326594756,3007985057506.8535,0.9999178120858375,85.90890299295137,212.10688833536688,9.5,6.402857102697854e-05,0.5,sunframe,400.0,0.0,-1.49,0.1833900946425976,0.1006831416569063,1.0641044841045602,0.5490107950111704
8.191773202094755e+17,1.3382546122500936e+16,119972016696235.97,0.00014645427032276406,6828.069934704837,111.54722985431654,3002705667090.068,0.9999161321399165,85.75303933436696,211.82311185535391,9.5,6.560071069450868e-05,0.5,sunframe,400.0,0.0,-1.48,0.17851857267651425,0.10032316214043485,1.0622368474945245,0.561976048969572
7.971247571236177e+17,1.2956812713889336e+16,119579836173130.86,0.00015001395340502076,6666.046573015197,108.35282208557402,2997462983474.491,0.9999143879506321,85.61106279180774,211.24487681365014,9.5,6.723510113343183e-05,0.5,sunframe,400.0,0.0,-1.47,0.17371278522509967,0.09999521241272949,1.0603821962787034,0.5756353067688955
7.753738333728961e+17,1.253872572142906e+16,119225958652748.78,0.00015376577532170873,6503.397767856989,105.16774923109395,2992257006660.1274,0.9999125760820331,85.46320555057297,210.99362558730365,9.5,6.893509162604847e-05,0.5,sunframe,400.0,0.0,-1.46,0.16897273228835383,0.09969929247379043,1.0585405304570985,0.5900318419640187
7.539245489573111e+17,1.2128285145120104e+16,118910384135089.55,0.0001577218626181418,6340.2751108835555,101.99517252708243,2987087736646.9756,0.9999106928620795,85.30862979981364,210.72040612762606,9.5,7.070426027291286e-05,0.5,sunframe,400.0,0.0,-1.45,0.1642984138662768,0.09943540232361751,1.0567118500297092,0.6052121866772764
7.32776903876862e+17,1.172549098496246e+16,118633112620153.11,0.00016189526715772222,6176.832822578909,98.83826467999594,2981955173435.032,0.999908734362795,85.14976683634282,210.22618975194015,9.5,7.254643303057243e-05,0.5,sunframe,400.0,0.0,-1.44,0.15968982995886846,0.0992035419622107,1.0548961549965346,0.6212264236724575
7.119308981315492e+17,1.1330343240956138e+16,118394144107939.58,0.00016630005021366968,6013.227288357133,95.70019975503433,2976859317024.301,0.9999066963784176,84.9846154450208,209.79760482141316,9.5,7.446570462411871e-05,0.5,sunframe,400.0,0.0,-1.43,0.15514698056612888,0.0990037113895701,1.0530934453575755,0.6381285090325777
6.913865317213724e+17,1.0942841913101136e+16,118193478598448.98,0.00017095137549783912,5849.616577157289,92.58414290587379,2971800167414.7803,0.9999045744013407,84.81077297217826,209.4670536985177,9.5,7.646646154861113e-05,0.5,sunframe,400.0,0.0,-1.42,0.15066986568805799,0.09883591060569574,1.0513037211128318,0.6559766291311524
6.71143804646332e+17,1.0562987001397454e+16,118031116091681.27,0.00017586561221984205,5686.159945526718,89.49324001301996,2966777724606.472,0.9999023635955993,84.63568794739159,209.00230847791832,9.5,7.855340740133065e-05,0.5,sunframe,400.0,0.0,-1.41,0.14625848532465588,0.09870013961058755,1.0495269822623041,0.6748335960918701
6.512027169064279e+17,1.0190778505845088e+16,117907056587636.38,0.00018106044942158708,5523.017330369966,86.43060730017142,2961791988599.373,0.9999000587675666,84.45541196886603,208.55465904447465,9.5,8.073159081881433e-05,0.5,sunframe,400.0,0.0,-1.4,0.14191283947592254,0.09859639840424547,1.047763228805991,0.6947672865144364
6.315632685016599e+17,9826216426444042.0,117821300086314.36,0.00018655502300796755,5360.348833691232,83.3993209992207,2956842959393.4854,0.999897654333563,84.26513233353259,208.26072258542425,9.5,8.300643632938748e-05,0.5,sunframe,400.0,0.0,-1.39,0.1376329281418579,0.0985246869866696,1.0460124607438934,0.7158511289182227
6.122254594320283e+17,9469300763194314.0,117773846587715.23,0.00019237005709788022,5198.314202772149,80.40240713494738,2951930636988.809,0.9998951442839832,84.07783593089209,207.74727029995356,9.5,8.538377847423877e-05,0.5,sunframe,400.0,0.0,-1.38,0.13341875132246203,0.0984850053578599,1.0442746780760115,0.7381646461360579
5.931892896975334e+17,9120031516095916.0,117764696091838.95,0.0001985280215559641,5037.072309301711,77.44283150005879,2947055021385.3438,0.9998925221434923,83.8807693473543,207.22699818943497,9.5,8.78698995989203e-05,0.5,sunframe,400.0,0.0,-1.37,0.12927030901773504,0.09847735351781635,1.042549880802345,0.7617940597968703
5.7445475929817414e+17,8778408685148829.0,117793848598685.64,0.00020505330784028556,4876.780631009827,74.52348989000416,2942216112583.09,0.9998897809268252,83.67717290027464,206.87861519437294,9.5,9.047157177361216e-05,0.5,sunframe,400.0,0.0,-1.36,0.12518760122767664,0.09850173146653905,1.040838068922894,0.786832965090493
