halo,delta,target,r,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,R_hi_over_natural,dRdE248_over_natural,R_lo_over_natural,R_mid_over_natural
sunframe,300.0,136Xe-depleted,-0.7,0.0,184603957943.5048,604875827034.405,inf,0.0,0.3051931482343807,9617318887.627941,0.7872203349923748,144.12333766861425,367.452361183843,231.0,0.9137184074873146,94.0,0.9264782676012584,0.935473484941587,nan,0.8936058439335468
sunframe,300.0,136Xe-depleted,-1.0,0.0,211972294953.16916,449097953506.3692,inf,0.0,0.4719956822296295,9667029231.004728,0.6933654737439484,nan,182.54071408423906,253.0,0.9824866638215212,94.0,0.8753789518171371,0.8930073693710411,nan,0.905858698176619
sunframe,300.0,134+136Xe-depleted,1.0,0.0,11677006664756.992,3181942794883.6904,inf,0.0,3.6697726569857525,11636889145.17439,0.9944419711912911,nan,269.162915383143,171.0,0.05435174242982642,97.0,1.0269317155396551,1.1930878799674982,nan,0.8887940136771478
sunframe,300.0,134+136Xe-depleted,0.0,0.0,2517356151055.935,1295192207099.1277,inf,0.0,1.9436158874782892,9888691403.350252,0.9714692395491195,nan,294.2269266784112,181.0,0.19796689581355167,97.0,0.9815503098580977,1.0368917192932212,nan,0.8873450735588926
sunframe,300.0,134+136Xe-depleted,-0.7,0.0,169707289189.69775,568552838616.9879,inf,0.0,0.29848991626268706,9077644451.325275,0.7843216640763925,144.2008989278395,369.74645045776145,231.0,0.9184601430238352,97.0,0.8708429489474101,0.8829795277835895,nan,0.8214960668635551
sunframe,300.0,134+136Xe-depleted,-1.0,0.0,188136725967.4872,406905557074.3198,inf,0.0,0.4623596869018054,8834092766.151188,0.6861802836837739,nan,183.3800537824687,253.0,0.9788651136005173,97.0,0.7931377937914267,0.8160635241050672,nan,0.8039979455889327
sunframe,300.0,136Xe-enriched (90/10 136/134),1.0,0.0,19835850443091.316,2472912309885.225,inf,0.0,8.021251042262778,269272041.3823974,0.9964808612335078,94.77068937132269,251.7832511632032,160.0,0.0007906434450630919,91.5,0.7981011113250992,0.027607482118248754,nan,1.5098034655769084
sunframe,300.0,136Xe-enriched (90/10 136/134),0.0,0.0,4370282754726.98,1379183549351.2397,inf,0.0,3.168746289631091,7203038149.133542,0.9896151589960974,101.80279304442033,278.94133201839696,171.0,0.09221611182605548,91.5,1.0452024284865788,0.7552840215095951,nan,1.540484794271053
sunframe,300.0,136Xe-enriched (90/10 136/134),-0.7,0.0,411360900538.0414,1102903135409.2258,inf,0.0,0.37298008078053774,16528104785.990608,0.8148399439518977,141.03903614978634,353.1528435723862,221.5,0.8432262088627114,91.5,1.6892984321025204,1.6076833849734058,nan,1.9912601483823924
sunframe,300.0,136Xe-enriched (90/10 136/134),-1.0,0.0,445850406977.9321,1107857676937.8867,inf,0.0,0.4024437581280842,21651813267.69354,0.7248861492629043,nan,173.62657062592766,248.0,1.0,91.5,2.1594293281202894,2.0001210657647337,nan,1.9053313987838536
sunframe,300.0,129Xe-enriched (80 % + natural rest),1.0,0.0,10792761123376.56,3438010579092.59,inf,0.0,3.139246047993588,15619581744.890461,0.9914185533136906,nan,273.72169373155725,172.0,0.07711414817119185,91.5,1.1095743480077525,1.6014188532266134,nan,0.8214897664190178
sunframe,300.0,129Xe-enriched (80 % + natural rest),0.0,0.0,2356224558972.614,1332014031441.0063,inf,0.0,1.7689187225930276,10842502626.404362,0.9662103856247776,nan,297.6021889970683,184.0,0.22516007131449112,91.5,1.0094554137447713,1.1369048472808816,nan,0.8305476575993503
sunframe,300.0,129Xe-enriched (80 % + natural rest),-0.7,0.0,155761306979.67734,517108783988.4666,inf,0.0,0.3012157437711431,8243107049.958301,0.7858477160205934,142.7871022959703,369.9953004273507,231.0,0.9156378801990186,91.5,0.7920469440809337,0.801804345771567,nan,0.7539882444902051
sunframe,300.0,129Xe-enriched (80 % + natural rest),-1.0,0.0,146767562786.86273,334071829845.84064,inf,0.0,0.43932935876272317,7316784527.23626,0.6773177478832025,nan,183.9732327307989,253.5,0.9755121549537245,91.5,0.6511707433953772,0.6758997357705201,nan,0.627207783875885
sunframe,300.0,pure 129Xe,1.0,0.0,10195535707076.877,3524468433258.805,inf,0.0,2.892786784771923,17113360428.709248,0.9902907465230085,nan,275.99406514613764,177.0,0.08779644078857607,101.5,1.1374775248478737,1.7545705435782437,nan,0.7760320228326355
