m_GeV,delta_keV,alpha_D_thermal,sigma_p_N1_cm2,eps_mA1GeV,eps_mA10GeV,mA_ceiling_GeV,mA_floor_planck_GeV,mA_floor_chi2_GeV,window_open,window_ratio,k_alphaD_to_open,dilution_D_to_open,alpha_D_diluted
401.8,345.0,0.013929638890149306,3.3190352817382422e-37,0.00043633108906834925,0.04363310890683492,1.5138816364639713,3.6338188409085146,1.0146719460714173,False,0.41660900081784924,0.7273099158220491,1.8904316634263898,0.010131164488626034
401.8,347.5,0.013929638890149306,,,,,,,,,,,
401.8,350.0,0.013929638890149306,,,,,,,,,,,
401.8,352.5,0.013929638890149306,,,,,,,,,,,
401.8,355.0,0.013929638890149306,,,,,,,,,,,
401.8,357.5,0.013929638890149306,,,,,,,,,,,
401.8,360.0,0.013929638890149306,,,,,,,,,,,
401.8,362.5,0.013929638890149306,,,,,,,,,,,
401.8,365.0,0.013929638890149306,,,,,,,,,,,
401.8,367.5,0.013929638890149306,,,,,,,,,,,
401.8,370.0,0.013929638890149306,,,,,,,,,,,
401.8,372.5,0.013929638890149306,,,,,,,,,,,
401.8,375.0,0.013929638890149306,,,,,,,,,,,
401.8,377.5,0.013929638890149306,,,,,,,,,,,
401.8,380.0,0.013929638890149306,,,,,,,,,,,
401.8,382.5,0.013929638890149306,,,,,,,,,,,
401.8,385.0,0.013929638890149306,,,,,,,,,,,
401.8,387.5,0.013929638890149306,,,,,,,,,,,
401.8,390.0,0.013929638890149306,,,,,,,,,,,
465.0,250.0,0.016151091635534683,1.427690008147687e-42,8.40153486266615e-07,8.40153486266615e-05,34.500126149444434,4.213328252748178,4.999999999999999,True,6.900025229888888,1.0,1.0,0.016151091635534683
465.0,252.5,0.016151091635534683,1.5705774727404105e-42,8.811936436931607e-07,8.811936436931608e-05,33.68715401369129,4.213328252748178,4.824805475599088,True,6.982075066872705,1.0,1.0,0.016151091635534683
465.0,255.0,0.016151091635534683,1.7277655399998366e-42,9.242385473346878e-07,9.242385473346877e-05,32.89333901639751,4.213328252748178,4.655749575474188,True,7.065100577933753,1.0,1.0,0.016151091635534683
465.0,257.5,0.016151091635534683,1.900374935627929e-42,9.693069367277376e-07,9.693069367277377e-05,32.119541681449,4.213328252748178,4.492617208953199,True,7.149405388342223,1.0,1.0,0.016151091635534683
465.0,260.0,0.016151091635534683,2.0899093440124912e-42,1.0164953532787102e-06,0.000101649535327871,31.365145112136524,4.213328252748178,4.335200821905617,True,7.234992426106203,1.0,1.0,0.016151091635534683
465.0,262.5,0.016151091635534683,2.2983470178991403e-42,1.065981026325241e-06,0.00010659810263252411,30.628467169989868,4.213328252748178,4.183300132670377,True,7.269423442147476,1.0,1.0,0.016151091635534683
465.0,265.0,0.016151091635534683,2.5275732795873352e-42,1.1178757923685766e-06,0.00011178757923685766,29.909091694913112,4.213328252748178,4.036721877236486,True,7.098685386168206,1.0,1.0,0.016151091635534683
465.0,267.5,0.016151091635534683,2.7885976601706703e-42,1.1741797957199484e-06,0.00011741797957199484,29.183185683579136,4.213328252748178,3.8952795633522452,True,6.926397359271537,1.0,1.0,0.016151091635534683
