name,op,tau,mass,delta,physical,on_LZ_grid,distinct,N_lo,N_L2,N_M,f_hi,rho,rho_sig32,B_logu,B_flat,B_jeff,B_logu_rho,B_flat_rho,Bmu_logu
O4s_m400_d190,O4,s,400,190.0,True,False,False,0.25278226188044123,3.1179030055681913,2.63760888997194,0.14268807466381425,0.7995586690707397,0.8145382999408378,35.22711978121747,7.360906180278535,22.927972702707113,28.25859230507129,5.889587662651264,35.56121675920748
O4s_m400_d200,O4,s,400,200.0,True,True,True,0.12033476330986217,2.653289741723269,2.558855506593404,0.157916013657206,0.8041417834231719,0.8188759031994742,37.53334021176963,8.372213256808271,25.233766448372943,30.273648563485615,6.7367282993667965,37.85506406636337
O4s_m400_d210,O4,s,400,210.0,True,False,False,0.04319302124953019,2.216393808288941,2.462716174172291,0.17475481451288516,0.8078644522378707,0.8230507175291493,40.02994339839863,9.539009869348796,27.81024645628388,32.42974021918576,7.710708326892836,40.339025638131986
O4s_m400_d220,O4,s,400,220.0,True,False,False,0.007969993157064648,1.7877099136150438,2.3645320652829738,0.19379048872710253,0.8130822250456164,0.8282957707861115,42.700689430520434,10.870989558538135,30.657066267074146,34.80883556343642,8.84366043063509,42.996552378972225
O4s_m400_d230,O4,s,400,230.0,True,False,False,0.0,1.3944630996341947,2.260306003239958,0.2148334273729144,0.8175041867456749,0.8332136259000665,45.540146849409425,12.381340058648682,33.78242542022192,37.31793671048571,10.12664289932928,45.82247589171671
O4s_m400_d240,O4,s,400,240.0,True,False,False,0.0,1.0302031439187715,2.143835146699002,0.23957614434150204,0.8223717975691828,0.8387249551153447,48.758839701708226,14.21056692373298,37.44403905006646,40.18537726775409,11.691420764964887,49.02643063127037
O4s_m400_d250,O4,s,400,250.0,True,True,True,0.0,0.7241234527544528,2.0096891545354674,0.26782276058728643,0.8288471446835047,0.8454256818883097,52.40288127534414,16.431002062375942,41.736188787063206,43.519465668872556,13.624021770899143,52.65489986317947
O4s_m400_d260,O4,s,400,260.0,True,False,False,0.0,0.4619072476899718,1.852871627418644,0.30167924850409,0.8362586290205196,0.853253758297343,56.754808294095724,19.291140363825686,47.059373943544884,47.544749222759286,16.13780625325703,56.98956525392635
O4s_m400_d270,O4,s,400,270.0,True,False,False,0.0,0.25071527449539616,1.676296162754229,0.3416454022945851,0.8438513046552564,0.862186565443633,61.91860282540956,22.979581697693842,53.64391238511775,52.3306127271735,19.39699478268722,62.13453747148184
O4s_m400_d280,O4,s,400,280.0,True,False,False,0.0,0.08929600266173608,1.4555090692688095,0.3929574060622953,0.8549110991908743,0.8741854046997989,68.82953546282661,28.41740555386528,62.892593064162355,58.91944012154037,24.30018820874131,69.02321557802341
O4s_m400_d290,O4,s,400,290.0,True,False,False,0.0,0.002972273420977227,1.1622428640160039,0.46184787031542957,0.8710240498021316,0.891851690525123,79.10384097212658,37.566065530203204,77.51838559868945,68.97092274345317,32.726908532996205,79.27018510364915
O4s_m400_d300,O4,s,400,300.0,True,True,True,0.0,0.0,0.808863595117976,0.5528332831170606,0.8942140210406204,0.9171338135360902,94.5489521747539,53.71955529307669,101.34394203368441,84.60589648494891,48.04262775802639,94.68242767892797
O4s_m400_d310,O4,s,400,310.0,True,False,False,0.0,0.0,0.4427208369887959,0.693134786967637,0.9474031795202814,0.9710490876375149,118.4679417606563,84.42784671736584,142.21691930005954,112.26734074140099,79.99085609065389,118.55565889690558
O4s_m400_d320,O4,s,400,320.0,True,False,False,0.0,0.0,0.07689929709176577,0.9285919330624162,1.0927789944500799,1.0907857880828113,158.6009239960989,151.46282592678688,220.4180304877533,173.25944142872353,165.50677940634188,158.6202536188013
O4s_m400_d330,O4,s,400,330.0,False,False,False,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
O4s_m1000_d0,O4,s,1000,0.0,True,True,False,28.07295568997275,7.167054329462478,2.8476745181484153,0.025583505695725685,0.8078474116919885,0.8193959902486506,9.991084780885933,0.5649767796748554,3.417678914558343,8.13684447925106,0.4575228887714192,10.509712701872017
O4s_m1000_d10,O4,s,1000,10.0,True,False,False,27.96227982078074,7.219972896708453,2.857718974066499,0.025614772671986825,0.8073280647964024,0.81875354492124,9.998377238963858,0.5658393532003126,3.4214844734217476,8.137733097811612,0.45792966133628626,10.516883298666471
O4s_m1000_d20,O4,s,1000,20.0,True,False,False,26.75341794420917,7.233747327952172,2.8641909219569763,0.026419132642739734,0.8066716640651167,0.8182151015529276,10.26690701281054,0.5970554682740904,3.5602531847464283,8.348496422192943,0.4827733799743265,10.782353052865762
O4s_m1000_d30,O4,s,1000,30.0,True,False,False,24.519160731414612,7.194320286606715,2.8681821308606743,0.028104363638533872,0.8062503336654786,0.8177540204943126,10.82514523118988,0.6646810400845823,3.8547158274405815,8.795370733153414,0.5371103864054929,11.334452548745102
O4s_m1000_d40,O4,s,1000,40.0,True,False,False,21.585604049090495,7.107578777275143,2.863356042544127,0.03071579580453994,0.8062104754758586,0.817790441630433,11.675556026653059,0.7748344217220228,4.318500950580225,9.481957869179887,0.6259868889841219,12.175996416636819
O4s_m1000_d50,O4,s,1000,50.0,True,True,True,18.292728707560432,6.981153294178022,2.8562355290781416,0.03432873207401601,0.8065799700253945,0.8181665752149718,12.816933511914915,0.9363336246629362,4.968970500486388,10.408469778647682,0.7566613197471352,13.306194664294793
O4s_m1000_d60,O4,s,1000,60.0,True,False,False,15.049835903965013,6.809567270589509,2.8468200546341884,0.03890108597767592,0.806885390285739,0.8184809364439164,14.206078665493752,1.1541249663426059,5.802135224150179,11.535045624535563,0.9328340717246922,14.682655765026448
O4s_m1000_d70,O4,s,1000,70.0,True,False,False,12.093972480141417,6.5812396457094255,2.826830951631369,0.04444040910226057,0.8074964681400162,0.819222139973122,15.818702475467214,1.4362915394430682,6.823663976639129,12.847656761644034,1.16156392083314,16.28163370636431
O4s_m1000_d80,O4,s,1000,80.0,True,False,False,9.531573446177797,6.330648318920406,2.8035061431330126,0.050849884869069294,0.8084469303506004,0.8203132536790956,17.59094355715246,1.7830152774993757,8.010454488745621,14.297025713009543,1.4434262681272485,18.03990225630521
O4s_m1000_d90,O4,s,1000,90.0,True,False,False,7.402566839277226,6.034756388004349,2.7750974065428746,0.058097580884984956,0.8097885839758757,0.8216371681256315,19.48773599011963,2.1968025808350524,9.351367692058265,15.85795211559763,1.781095745968821,19.92269927027104
O4s_m1000_d100,O4,s,1000,100.0,True,True,True,5.679077018710787,5.707732583055878,2.745573331170546,0.06608344531272702,0.8114767573300524,0.8233323148924647,21.4550446530936,2.6728919883873994,10.815773611904893,17.488318795617957,2.1713374697927956,21.87629482348808
O4s_m1000_d110,O4,s,1000,110.0,True,False,False,4.305184956103229,5.356164562768314,2.7055511156083054,0.07481165809076978,0.8133141001849824,0.8252590815376831,23.491180239440798,3.2158809148288743,12.406340654789492,19.184608461076998,2.6180683805669545,23.89903154616568
O4s_m1000_d120,O4,s,1000,120.0,True,False,False,3.2182959270350606,4.983379951138471,2.66278286702661,0.08428534511989919,0.8156480426586347,0.8276296898237666,25.571368041688583,3.8236610158957607,14.106754924894238,20.936640611895875,3.121501140030495,25.966144638712144
O4s_m1000_d130,O4,s,1000,130.0,True,False,False,2.367538792421587,4.59478872653053,2.6163811685316043,0.09452949594719036,0.8179770551738985,0.8301255352512745,27.690190770596892,4.497853373067586,15.913713839094978,22.729723229510178,3.682071384287732,28.07218743980571
O4s_m1000_d140,O4,s,1000,140.0,True,False,False,1.7119758219420664,4.211059585453107,2.5625929575860944,0.10542264165564058,0.8209317926362927,0.8330275630096826,29.82882078664096,5.234497017511343,17.81080674296122,24.56718613420442,4.3002720691583525,30.198462397849635
O4s_m1000_d150,O4,s,1000,150.0,True,True,True,1.2136046528015585,3.826060060981218,2.50729211811139,0.11700070793248422,0.8238765515191095,0.8360206719069754,31.975964616538768,6.030957371213235,19.786859328050177,26.423863947620145,4.972041650163717,32.33359653467511
O4s_m1000_d160,O4,s,1000,160.0,True,False,False,0.834899130328806,3.430735875182657,2.4438499073042435,0.1297103517691137,0.8269544887135661,0.8396289209140744,34.223918628925354,6.925435560032547,21.929065528676805,28.380972702176017,5.73046776061453,34.569447339736236
O4s_m1000_d170,O4,s,1000,170.0,True,False,False,0.5558574677801745,3.052707656348193,2.3810410784392593,0.1430695765997018,0.8312406562717457,0.843570874432376,36.459247714923535,7.876548426810578,24.13138137145088,30.384815444341967,6.550890499730318,36.79304940264411
O4s_m1000_d180,O4,s,1000,180.0,True,False,False,0.35302786753020216,2.6929515739657908,2.309675855671142,0.15734018810707429,0.8350687970477213,0.8476495541521964,38.76549749481385,8.92144817620589,26.47560573997136,32.44945547228868,7.453747680364614,39.08769841049081
O4s_m1000_d190,O4,s,1000,190.0,True,False,False,0.21031514839079432,2.3386676724818756,2.2357241643601724,0.17286960299852575,0.8398665392798734,0.8524524974143437,41.16129325043094,10.075618338207626,28.986314630534668,34.646255907715556,8.46601574025147,41.47176777759204
O4s_m1000_d200,O4,s,1000,200.0,True,True,True,0.11378012348230822,2.0149779043990135,2.161533160282269,0.18902551191083455,0.8447599363793143,0.8573869304900086,43.553401439832136,11.297539454940127,31.567305734680854,36.866944419137916,9.547649898746057,43.85250195875731
O4s_m1000_d210,O4,s,1000,210.0,True,False,False,0.05218774158759146,1.7053364020325281,2.0819489928839516,0.2066340636250288,0.8498701469749026,0.8626678483364427,46.07750896201556,12.66181918363211,34.36838477313224,39.233028102869994,10.764935583765116,46.36501294306308
O4s_m1000_d220,O4,s,1000,220.0,True,False,False,0.017154080323049922,1.4073230982771572,1.9856492788751243,0.2267508674960923,0.8564579865122153,0.8691365739518381,48.942812728491035,14.302875454072838,37.64116522056525,41.9882180989092,12.253909355503732,49.2179217964527
O4s_m1000_d230,O4,s,1000,230.0,True,False,False,0.0028566827460207167,1.1426376430919685,1.8969781221969382,0.24737336193499768,0.8620913962135922,0.8752170565263591,51.752112742567874,16.008318022374613,40.94450256882179,44.68377279853038,13.804796894855448,52.0153039619299
O4s_m1000_d240,O4,s,1000,240.0,True,False,False,0.0,0.8960682239453344,1.8001550822809227,0.2705464245938573,0.8698407503580836,0.882960213899243,54.85196540043125,18.00008926431465,44.69417831596209,47.77806685369398,15.661377300520034,55.10256194316976
O4s_m1000_d250,O4,s,1000,250.0,True,True,True,0.0,0.6759992993721863,1.7034302219588546,0.2959079317050336,0.8777237464675733,0.8905934792350583,58.1292003497379,20.231638666678787,48.774896218078055,51.083685739664986,17.761938383214176,58.366822114999344
O4s_m1000_d260,O4,s,1000,260.0,True,False,False,0.0,0.4952715442261717,1.58764551082677,0.3243681169952292,0.8866882412030398,0.8998076501126303,61.924406106493954,22.97599465390748,53.644532069461576,54.96607551374311,20.376640902206248,62.14831038262439
O4s_m1000_d270,O4,s,1000,270.0,True,False,False,0.0,0.3385743294068297,1.4708208036361954,0.3559485058681794,0.896755649565136,0.909773039052146,66.0515364290339,26.157085472388726,59.11165288904378,59.28597556962356,23.46049660294748,66.26108639033647
O4s_m1000_d280,O4,s,1000,280.0,True,False,False,0.0,0.20648474555473334,1.339579064527671,0.39276313344543967,0.9088430187513272,0.9220434717854753,70.92678066194169,30.17840077823192,65.79228686141465,64.50951759041796,27.43120559705982,71.12055143534897
O4s_m1000_d290,O4,s,1000,290.0,True,False,False,0.0,0.10945337315878272,1.184782498484287,0.43587497360671423,0.9231973813975458,0.9364357059650604,76.95281469862523,35.54392390866632,74.37150161882899,71.08386192490192,32.817510857682855,77.12918018998839
O4s_m1000_d300,O4,s,1000,300.0,True,True,True,0.0,0.0406727891587765,1.027891516578717,0.48342707897759823,0.9397596154103315,0.9527787963876081,83.76854468525259,42.14045146130415,84.48817877502383,78.75512668639976,39.604843892775975,83.9268057355995
O4s_m1000_d310,O4,s,1000,310.0,True,False,False,0.0,0.0,0.8321978447582377,0.5457925861341422,0.9626917757000023,0.975423591083205,93.3484931474999,52.36065596778662,99.41673446497528,89.88655218377855,50.409209129205635,93.48440640049634
O4s_m1000_d320,O4,s,1000,320.0,True,False,False,0.0,0.0,0.6268697433752841,0.6146773606627469,0.9921502044394085,1.0044175132546247,105.09291405627579,66.40382912908983,118.79204291985909,104.2724072529193,65.88305515577134,105.20560756075655
O4s_m1000_d330,O4,s,1000,330.0,True,False,False,0.0,0.0,0.4231543118459125,0.7026644908962422,1.0365010178446268,1.0464502107997113,120.09242750613964,86.76424337536665,145.15662212736405,124.45475313045763,89.92866177316068,120.17720121172476
O4s_m1000_d340,O4,s,1000,340.0,True,False,False,0.0,0.0,0.2340088204059081,0.8103669791201862,1.1052892244053691,1.1092441813559992,138.45085511169756,115.38268738435231,179.73699282429484,152.96571702150487,127.52270878833006,138.50349375710013
O4s_m1000_d350,O4,s,1000,350.0,True,True,True,0.0,0.0,0.07197929384566262,0.9328538393801981,1.2264028055662097,1.207066648529687,159.32728449203975,152.854167827653,221.93511828991373,195.26190182873813,187.43966064785866,159.34544523942807
O4s_m1000_d360,O4,s,1000,360.0,True,False,False,0.0,0.0,6.82315857818214e-05,0.9999317730694498,1.4263940459855204,1.3466663137204107,170.7591822282223,175.5774884525144,246.25726836801059,243.30800149549074,250.40004955448018,170.75920044972963
