m_A_GeV,eps,tau_s,Y_FI,mY_GeV,excluded,reason,T_dec,drho_over_rhog,xi,xi_max,mu
1.045639552591273,6.309573444801943e-14,27548.32746166273,6.437925825500843e-13,6.731749879792503e-13,False,BBN envelope,6.917900050251186e-06,2.541534408856159e-07,6.731749879792503e-13,2.1870421087934416e-11,
1.045639552591273,1e-13,10967.186699243794,1.617133852814063e-12,1.6909391183366982e-12,False,BBN envelope,1.0964729079599768e-05,4.0278415052541547e-07,1.6909391183366982e-12,8.706771458131066e-11,
1.045639552591273,1.584893192461111e-13,4366.11566576791,4.062056582818441e-12,4.247447027858709e-12,False,BBN envelope,1.7380064778652812e-05,6.382912483237073e-07,4.247447027858709e-12,2.2903653419912837e-10,
1.045639552591273,2.511886431509582e-13,1738.181954008153,1.0203424814405861e-11,1.0669104557834037e-11,False,BBN envelope,2.7553806540195957e-05,1.0113254561993617e-06,1.0669104557834037e-11,5.753137625747733e-10,
1.045639552591273,3.981071705534969e-13,691.9826996173372,2.562984434623416e-11,2.6799578975180252e-11,False,BBN envelope,4.3684879304023234e-05,1.6049424937854676e-06,2.6799578975180252e-11,1.4451228340722923e-09,
1.045639552591273,6.309573444801942e-13,275.48327461662734,6.437925825500843e-11,6.731749879792504e-11,False,BBN envelope,6.858156880555501e-05,2.6776020857933084e-06,6.731749879792504e-11,3.6299844387708793e-09,
1.045639552591273,1e-12,109.67186699243793,1.6171338528140626e-10,1.690939118336698e-10,False,BBN envelope,0.00010354892245833715,5.329944541290138e-06,1.690939118336698e-10,9.11810865833946e-09,
1.045639552591273,1.584893192461111e-12,43.66115665767909,4.062056582818442e-10,4.2474470278587107e-10,False,BBN envelope,0.00015210461222306865,1.1870660136406046e-05,4.2474470278587107e-10,3.466228149852489e-08,
1.045639552591273,2.5118864315095823e-12,17.381819540081526,1.0203424814405864e-09,1.066910455783404e-09,False,BBN envelope,0.00022504284522375918,2.5402862006960154e-05,1.066910455783404e-09,1.3799302812306712e-07,
1.045639552591273,3.9810717055349695e-12,6.91982699617337,2.5629844346234163e-09,2.6799578975180256e-09,False,BBN envelope,0.0003407862151440334,4.899662192806875e-05,2.6799578975180256e-09,5.493601398218315e-07,
1.045639552591273,6.309573444801943e-12,2.7548327461662736,6.437925825500842e-09,6.731749879792502e-09,False,BBN envelope,0.0005271899709915822,8.615612866179478e-05,6.731749879792502e-09,2.1870421087934414e-06,
1.045639552591273,1e-11,1.0967186699243796,1.6349151546536268e-08,1.70953195083671e-08,False,BBN envelope,0.0008263441955273474,0.00014477057762497615,1.70953195083671e-08,8.706771458131066e-06,
1.3471511798048221,1e-14,549893.1275104979,1.5398525193551643e-14,2.0744141381747372e-14,False,BBN envelope,1.5482482594224078e-06,3.499428842825401e-08,2.0744141381747372e-14,5.750713187642097e-13,
1.3471511798048221,1.584893192461111e-14,218916.3971000185,3.8679346498940673e-14,5.2106927270127446e-14,False,BBN envelope,2.4538925642130144e-06,5.546030110895398e-08,5.2106927270127446e-14,1.4445138427541344e-12,
