doy,vE_lz_cosine_kms,vE_wimpydd_kms,vE_wimprates_kms
8.525000000000000000e+01,2.564673293042822024e+02,2.582135202945805190e+02,2.580507818187007274e+02
8.550000000000000000e+01,2.565265564372235758e+02,2.582691183695831114e+02,2.581067140165182536e+02
8.575000000000000000e+01,2.565856730783341391e+02,2.583245955398663227e+02,2.581625282598677700e+02
8.600000000000000000e+01,2.566446781342407348e+02,2.583799508561720017e+02,2.582182235932317553e+02
8.625000000000000000e+01,2.567035705136341335e+02,2.584351833719197202e+02,2.582737990637295979e+02
8.650000000000000000e+01,2.567623491272889282e+02,2.584902921432180278e+02,2.583292537211293620e+02
8.675000000000000000e+01,2.568210128880838852e+02,2.585452762288763324e+02,2.583845866178594406e+02
8.700000000000000000e+01,2.568795607110220089e+02,2.586001346904166098e+02,2.584397968090199242e+02
8.725000000000000000e+01,2.569379915132506653e+02,2.586548665920841472e+02,2.584948833523958456e+02
8.750000000000000000e+01,2.569963042140814196e+02,2.587094710008595371e+02,2.585498453084661605e+02
8.775000000000000000e+01,2.570544977350101590e+02,2.587639469864695343e+02,2.586046817404167086e+02
8.800000000000000000e+01,2.571125709997370450e+02,2.588182936213987091e+02,2.586593917141517522e+02
8.825000000000000000e+01,2.571705229341865220e+02,2.588725099809002472e+02,2.587139742983046062e+02
8.850000000000000000e+01,2.572283524665268715e+02,2.589265951430069208e+02,2.587684285642491204e+02
8.875000000000000000e+01,2.572860585271902778e+02,2.589805481885427980e+02,2.588227535861112187e+02
8.900000000000000000e+01,2.573436400488926665e+02,2.590343682011335318e+02,2.588769484407795858e+02
8.925000000000000000e+01,2.574010959666531448e+02,2.590880542672173306e+02,2.589310122079169219e+02
8.950000000000000000e+01,2.574584252178140673e+02,2.591416054760560996e+02,2.589849439699708569e+02
8.975000000000000000e+01,2.575156267420604763e+02,2.591950209197460708e+02,2.590387428121848075e+02
9.000000000000000000e+01,2.575726994814395994e+02,2.592482996932282049e+02,2.590924078226092888e+02
9.025000000000000000e+01,2.576296423803807443e+02,2.593014408942994464e+02,2.591459380921119191e+02
9.050000000000000000e+01,2.576864543857145122e+02,2.593544436236223873e+02,2.591993327143884471e+02
9.075000000000000000e+01,2.577431344466925225e+02,2.594073069847367492e+02,2.592525907859745757e+02
9.100000000000000000e+01,2.577996815150066254e+02,2.594600300840689897e+02,2.593057114062544315e+02
9.125000000000000000e+01,2.578560945448084567e+02,2.595126120309434441e+02,2.593586936774725586e+02
9.150000000000000000e+01,2.579123724927286503e+02,2.595650519375917611e+02,2.594115367047438099e+02
9.175000000000000000e+01,2.579685143178963358e+02,2.596173489191639305e+02,2.594642395960643171e+02
9.200000000000000000e+01,2.580245189819581810e+02,2.596695020937378899e+02,2.595168014623212116e+02
9.225000000000000000e+01,2.580803854490975482e+02,2.597215105823300405e+02,2.595692214173030834e+02
9.250000000000000000e+01,2.581361126860540480e+02,2.597733735089050811e+02,2.596214985777103834e+02
9.275000000000000000e+01,2.581916996621421276e+02,2.598250900003860124e+02,2.596736320631654849e+02
9.300000000000000000e+01,2.582471453492705109e+02,2.598766591866641420e+02,2.597256209962223465e+02
9.325000000000000000e+01,2.583024487219610705e+02,2.599280802006088607e+02,2.597774645023773132e+02
