n_low,model,cls,op,tau,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
0,O8s_m30,elastic,8,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m40,elastic,8,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m50,elastic,8,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m100,elastic,8,s,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m200,elastic,8,s,200,0.0,0.0,0.0,1.0,0.0,0.0
0,O8s_m400,elastic,8,s,400,0.0,0.33543774485588074,0.47318280675972346,0.24568,0.6881473425114543,0.5791698694229126
0,O8s_m1000,elastic,8,s,1000,0.0,0.7635999917984009,0.6400836590182735,0.15973333333333334,0.995554468794904,0.8738420605659485
0,O8s_m4000,elastic,8,s,4000,0.0,0.9781057834625244,0.6935067948215874,0.13529333333333332,1.1017125326914328,0.9889923334121704
0,O8v_m10,elastic,8,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m12,elastic,8,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m14,elastic,8,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m17,elastic,8,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m21,elastic,8,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m30,elastic,8,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m40,elastic,8,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m50,elastic,8,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m100,elastic,8,v,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O8v_m200,elastic,8,v,200,0.0,2.871333599090576,0.903601886893739,0.03226,1.848569501272237,1.6945010423660278
0,O8v_m400,elastic,8,v,400,0.0,4.195318222045898,0.9526560005469946,0.015166666666666667,2.1657102755513002,2.0482475757598877
0,O8v_m1000,elastic,8,v,1000,0.0,4.810603618621826,0.9656428327580215,0.010786666666666667,2.297797215463709,2.1933088302612305
0,O8v_m4000,elastic,8,v,4000,0.0,5.067068099975586,0.9699063277657842,0.009386666666666666,2.3500015412762054,2.2510149478912354
0,O9s_m10,elastic,9,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O9s_m12,elastic,9,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O9s_m14,elastic,9,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O9s_m17,elastic,9,s,17,0.0,0.0,0.0,1.0,0.0,0.0
