config,model,cls,Z_LZ,q0,Z,s_hat,frac_top,frac_mid,frac_bot,f_in_roi,b_event_cell,s_event_cell_per_unit,LR_event_per_unit,diff
base,O1v_4000_d300,inelastic O1 (s/v),3.4,10.515811346747796,3.2428091751979173,1.090811147843127,0.1413361947911006,0.3956397224823044,0.4630420648224839,0.6388522158631419,1.1585390509605713e-05,0.005089880062536832,439.33608093026265,-0.15719082480208257
base,O1s_4000_d350,inelastic O1 (s/v),3.3,7.014611182961744,2.648511125700956,0.9921827219815094,0.0008635582929931563,0.917844729742207,0.0812984727835247,0.7921567651424115,1.1585390509605713e-05,0.0009559536597030162,82.51371923202875,-0.6514888742990439
base,O1v_4000_d350,inelastic O1 (s/v),3.4,11.16726604068026,3.3417459569333303,1.0004701738851518,0.0002916215663762528,0.28018638890637637,0.7195491271310381,0.4892270107199542,1.1585390509605713e-05,0.0076948061551568355,664.1818546191339,-0.05825404306666959
base,L10_1000_fig1,check: LZ Fig. 1 spectrum,3.4,9.120675169635433,3.020045557543037,1.1328772917489849,0.20153603267529807,0.5864230971055056,0.21205078191927307,0.7953925773260193,1.1585390509605713e-05,0.0024312686024873143,209.8564222303507,-0.37995444245696275
base,L10_200_fig1,check: LZ Fig. 1 spectrum,3.1,8.352490585262785,2.89006757451496,1.240067358234107,0.33330754071907215,0.5382597956407589,0.12843947704773445,0.9016471735496082,1.1585390509605713e-05,0.0015077866265389064,130.14551605220092,-0.20993242548503988
base,O1s_1000_fig1,check: LZ Fig. 1 spectrum,0.0,0.0,0.0,0.0,0.9960398631022893,0.003906966734780453,5.466736630823078e-05,0.933449007458633,1.1585390509605713e-05,6.409489477504031e-07,0.05532389669722204,0.0
base,O1s_1000_d200_fig1,check: LZ Fig. 1 spectrum,2.7,2.8459473892817186,1.686993594914254,1.5069342325775426,0.6823275594743891,0.3120562604558687,0.00561821410625722,0.9899928117182766,1.1585390509605713e-05,6.599353387759784e-05,5.696271854011402,-1.0130064050857461
base,O1s_1000_d300_fig1,check: LZ Fig. 1 spectrum,3.0,5.222305652368959,2.285236454367241,1.0027657701692017,0.04405780376040467,0.9242571715349304,0.031689141329193114,0.9274037525676699,1.1585390509605713e-05,0.0003744461999481793,32.32055057943169,-0.714763545632759
base,O1s_1000_d200_helm,check: Helm form factor,2.7,4.387919918723128,2.094736240848267,1.3405534437360955,0.48182833880263237,0.5038542130176246,0.014320021444358,0.9799035496190153,1.1585390509605713e-05,0.000179075066949855,15.456972883337835,-0.6052637591517334
base,O1s_1000_d250_helm,check: Helm form factor,2.9,5.301463090168909,2.302490627596323,1.0674128173620234,0.1430003391961902,0.827814993988619,0.029188261867029764,0.9549793928335378,1.1585390509605713e-05,0.000366551092853061,31.639079627842076,-0.5975093724036769
