model,delta_keV,C,Gamma_A_lo,Gamma_A_hi,Gamma_A_eq,limit_used,Gamma_lim_central,Gamma_lim_lo,Gamma_lim_hi,ratio_lo,ratio_hi,status,channel,status_U1B,ratio_hi_U1B
dark photon,300.0,4.491231507847442e+20,6.636473746824672e+17,2.245615753923721e+20,2.245615753923721e+20,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.0013380166236309366,0.4527511632928693,marginal,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,310.0,6.38658246515616e+20,1.164595966239153e+18,3.19329123257808e+20,3.19329123257808e+20,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.002348007122588391,0.6438173217107542,marginal,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,320.0,9.730002842596696e+20,2.2594562259334372e+18,4.865001421298348e+20,4.865001421298348e+20,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.00455541618334865,0.9808601712317292,marginal,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,330.0,1.6327371515492418e+21,5.368316511705419e+18,8.163685757746209e+20,8.163685757746209e+20,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.010823363442085588,1.6459263866130567,marginal,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,340.0,3.113736242054708e+21,1.659826938766525e+19,1.556868121027354e+21,1.556868121027354e+21,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.033464700097437634,3.138888973579321,marginal,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,350.0,7.063790804095287e+21,7.032369668215831e+19,3.5318954020476436e+21,3.5318954020476436e+21,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.14178354166009996,7.120852038518982,excluded if thermalised,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,360.0,2.068764831379611e+22,4.956367146523541e+20,1.0343824156898055e+22,1.0343824156898055e+22,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,0.9992809265673314,20.854762938626745,excluded if thermalised,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,365.0,4.021570187394803e+22,1.651804106041311e+21,2.0107850936974016e+22,2.0107850936974016e+22,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,3.3302947275615913,40.54056392830167,excluded if thermalised,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,366.0,4.699559669332399e+22,2.1665417363776398e+21,2.3497798346661993e+22,2.3497798346661993e+22,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,4.368086079524577,47.37522667305732,excluded,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,370.0,8.752386238523251e+22,6.725121205897252e+21,4.3761931192616255e+22,4.3761931192616255e+22,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,13.558893341104296,88.2308793068457,excluded,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
dark photon,380.0,7.063371379779954e+23,2.1703924515322085e+23,3.531685689889977e+23,3.531685689889977e+23,A'A' -> 4f (tau content),4.9599337030772215e+20,1.6533112343590738e+20,1.6533112343590737e+21,437.5849721913949,712.0429226098048,excluded,"chi1 chi1 -> A'A', A' -> tau tau (BR ~ 0.15, m_A' >= 9 GeV); mu/pi/K stop before decaying",,
Z',200.0,2.1334376904588653e+20,3.231754678973525e+17,1.0667188452294327e+20,1.0667188452294327e+20,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.003583646838530666,1.1828693688227985,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.041938095803717414
Z',210.0,1.935575110465512e+20,2.283559436729789e+17,9.67787555232756e+19,9.67787555232756e+19,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.0025322066087741612,1.073165867212658,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.03804860801935789
Z',220.0,1.7458587118109485e+20,1.6066028736401622e+17,8.729293559054742e+19,8.729293559054742e+19,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.0017815390958832171,0.9679789579649869,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.034319253964213176
Z',230.0,1.5699724002490027e+20,1.1310112348969416e+17,7.849862001245014e+19,7.849862001245014e+19,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.0012541622860954456,0.8704600422393062,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.030861765133939047
Z',240.0,1.409595934138739e+20,7.985605069517502e+16,7.047979670693695e+19,7.047979670693695e+19,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.0008855123981817958,0.7815404501226616,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.027709161413439827
Z',250.0,1.2591951113162308e+20,5.612605810550316e+16,6.295975556581154e+19,6.295975556581154e+19,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.0006223738825153028,0.698151782547268,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.024752654108494053
