drift_us,survival_tau566us,logS2c_70keV_ER
7.100225563909774564e+02,2.851174285272652931e-01,4.081333330730243958e+00
7.122581453634085165e+02,2.839931364437169869e-01,4.079617409384963089e+00
7.144937343358395765e+02,2.828732777359032613e-01,4.077901488039682221e+00
7.167293233082707502e+02,2.817578349218718969e-01,4.076185566694401352e+00
7.189649122807018102e+02,2.806467905886066982e-01,4.074469645349120484e+00
7.212005012531328703e+02,2.795401273917553220e-01,4.072753724003839615e+00
7.234360902255639303e+02,2.784378280553590490e-01,4.071037802658558746e+00
7.256716791979949903e+02,2.773398753715823339e-01,4.069321881313278766e+00
7.279072681704260503e+02,2.762462522004449084e-01,4.067605959967997897e+00
7.301428571428572241e+02,2.751569414695537175e-01,4.065890038622717029e+00
7.323784461152882841e+02,2.740719261738367440e-01,4.064174117277436160e+00
7.346140350877193441e+02,2.729911893752772212e-01,4.062458195932155292e+00
7.368496240601504041e+02,2.719147142026495101e-01,4.060742274586875311e+00
7.390852130325814642e+02,2.708424838512555888e-01,4.059026353241594443e+00
7.413208020050125242e+02,2.697744815826625397e-01,4.057310431896313574e+00
7.435563909774435842e+02,2.687106907244417031e-01,4.055594510551032705e+00
7.457919799498747579e+02,2.676510946699079962e-01,4.053878589205751837e+00
7.480275689223058180e+02,2.665956768778608432e-01,4.052162667860470968e+00
7.502631578947368780e+02,2.655444208723258814e-01,4.050446746515190988e+00
7.524987468671679380e+02,2.644973102422977784e-01,4.048730825169910119e+00
7.547343358395989981e+02,2.634543286414841590e-01,4.047014903824629251e+00
7.569699248120300581e+02,2.624154597880502537e-01,4.045298982479348382e+00
7.592055137844612318e+02,2.613806874643647138e-01,4.043583061134067513e+00
7.614411027568922918e+02,2.603499955167467017e-01,4.041867139788786645e+00
7.636766917293233519e+02,2.593233678552134824e-01,4.040151218443506664e+00
7.659122807017544119e+02,2.583007884532292908e-01,4.038435297098225796e+00
7.681478696741854719e+02,2.572822413474550318e-01,4.036719375752944927e+00
7.703834586466165320e+02,2.562677106374993685e-01,4.035003454407664059e+00
7.726190476190477057e+02,2.552571804856701987e-01,4.033287533062383190e+00
7.748546365914787657e+02,2.542506351167277412e-01,4.031571611717103210e+00
7.770902255639098257e+02,2.532480588176379555e-01,4.029855690371822341e+00
7.793258145363408858e+02,2.522494359373274042e-01,4.028139769026541472e+00
7.815614035087719458e+02,2.512547508864388934e-01,4.026423847681260604e+00
7.837969924812030058e+02,2.502639881370879449e-01,4.024707926335979735e+00
7.860325814536340658e+02,2.492771322226209896e-01,4.022992004990698867e+00
7.882681704260652396e+02,2.482941677373730061e-01,4.021276083645417998e+00
