H,median,p16,p84,p05,p95,central,weight_central,case,s
NEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,2.4
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i-b LZ counts + topological handles,2.4
NU,5.726587887977518e-05,3.962675332407577e-05,8.347673234260657e-05,3.5202749118271605e-05,9.436826955913851e-05,7.119893757075375e-05,3.23e-05,i-b LZ counts + topological handles,2.4
NR,0.1421445385901406,0.05680405298902958,0.3146642872288801,0.0342791848584406,0.4506943816230705,0.21190298167955104,0.000189,ii corpus counts + handles,0.001
WALL,0.0027158170953547095,0.0006548332803206848,0.011329825912923846,0.00027620503849744684,0.026054499435174877,0.007806611874528334,6.962854569536425e-06,ii corpus counts + handles,0.001
RFR,2.096470488052151e-06,2.76394630762108e-07,1.5806085636816734e-05,8.312070080747461e-08,5.151102562550972e-05,2.731735245304455e-05,2.4364827586206897e-08,ii corpus counts + handles,0.001
ER,0.05441584314514063,0.0032536481226399265,0.49873606875112075,0.0010546983090199754,0.7581578263994359,0.04906950729650302,4.37659574468085e-05,ii corpus counts + handles,0.001
ACC,0.023865424035635248,0.003845542602273423,0.13410716019286645,0.0012793618358203976,0.3106640190740458,0.016705578978969897,1.49e-05,ii corpus counts + handles,0.001
NEU,0.014637655138802382,0.0023752628724165916,0.08571522188033025,0.0009293370137546434,0.18830854232176875,0.005566017019158034,4.964428571428572e-06,ii corpus counts + handles,0.001
ART,0.39718064695052824,0.12581715535745558,0.7575673935361874,0.05441706939597328,0.8754711301156346,0.6727078783477811,0.0006000000000000001,ii corpus counts + handles,0.001
NU,0.04083462694596684,0.009786477398822269,0.15696020918418388,0.004286941581273414,0.2899310519519351,0.03621410745105554,3.23e-05,ii corpus counts + handles,0.001
NR,0.6263505435243815,0.3800194595403988,0.8208671309688763,0.26155832757071956,0.891871631602322,0.7289086224925535,0.00189,ii corpus counts + handles,0.01
WALL,0.0011359307350493695,0.0003165081012959907,0.004049886588954678,0.00014971307747448936,0.008563499840787124,0.002685335837511522,6.962854569536425e-06,ii corpus counts + handles,0.01
RFR,8.848855825158653e-07,1.3108368379965921e-07,6.074069534850994e-06,4.2208275070619904e-08,1.8575209949603913e-05,9.3966840810215e-06,2.4364827586206897e-08,ii corpus counts + handles,0.01
ER,0.019480822731735323,0.0012191885211366926,0.2533660608240567,0.0004526468087769864,0.48104897941779207,0.01687903902360894,4.37659574468085e-05,ii corpus counts + handles,0.01
ACC,0.009723952348672477,0.0016882674757954246,0.05403273050216039,0.0006429610708708192,0.13030720574143748,0.005746422473618543,1.49e-05,ii corpus counts + handles,0.01
NEU,0.006121432878300827,0.0010594961872011318,0.03446578701106339,0.0005140014172086161,0.06818131941311961,0.0019146110007739025,4.964428571428572e-06,ii corpus counts + handles,0.01
