z,r_min47,r_max47,r_mean47,r_wall_reco,r_min54,r_max54
78.0,61.96001752527982,64.0052009749296,62.9826092501047,69.22098010180905,64.12143913936406,66.16603077447452
78.25,61.96636519554093,64.0090169310894,62.98769106331517,69.22355096192103,64.12630628328237,66.1690010994797
78.5,61.972712865802045,64.0128328872492,62.99277287652562,69.22612182203302,64.13117342720068,66.17197142448488
78.75,61.979060536063166,64.016648843409,62.99785468973609,69.228692682145,64.136040571119,66.17494174949006
79.0,61.98540820632428,64.02046479956881,63.00293650294655,69.23126354225698,64.1409077150373,66.17791207449523
79.25,61.991755876585394,64.02428075572861,63.008018316157006,69.23383440236897,64.14577485895562,66.1808823995004
79.5,61.99758833859051,64.02809671188842,63.01284252523946,69.23640196678082,64.15064200287394,66.18385272450558
79.75,62.002230231176156,64.03191266804822,63.01707144961219,69.23896275662639,64.15550914679224,66.18682304951076
80.0,62.00687212376181,64.03572862420802,63.021300373984914,69.24152354647198,64.16037629071056,66.18979337451594
80.25,62.01151401634746,64.03954458036783,63.02552929835765,69.24408433631757,64.16524343462886,66.19276369952112
80.5,62.016155908933115,64.04336053652763,63.02975822273037,69.24664512616316,64.17011057854718,66.1957340245263
80.75,62.02079780151877,64.04717649268744,63.033987147103105,69.24920591600875,64.1749777224655,66.19870434953147
81.0,62.02543969410442,64.05099244884724,63.03821607147583,69.25175917650863,64.1798448663838,66.20167467453665
81.25,62.03008158669007,64.05362415886933,63.0418528727797,69.25430302535122,64.18458450641276,66.20464499954183
81.5,62.034723479275726,64.05559806921836,63.045160774247044,69.2568468741938,64.18800147504307,66.207615324547
81.75,62.03936537186138,64.0575719795674,63.04846867571439,69.25939072303639,64.19141844367336,66.20993712849271
82.0,62.04400726444703,64.05954588991642,63.05177657718173,69.26193457187897,64.19483541230366,66.21137487827221
82.25,62.048649157032685,64.06151980026546,63.05508447864907,69.26447842072156,64.19825238093395,66.21281262805172
82.5,62.05329104961834,64.0634937106145,63.058392380116416,69.26700892570643,64.20166934956426,66.21425037783122
82.75,62.05793294220399,64.06546762096353,63.06170028158376,69.26952901384844,64.20508631819456,66.21568812761073
83.0,62.061804139358294,64.06744153131257,63.06462283533543,69.27204910199045,64.20850328682485,66.21712587739023
83.25,62.06464852079837,64.0694154416616,63.06703198122999,69.27456919013245,64.21192025545515,66.21856362716974
83.5,62.067492902238456,64.07138935201064,63.06944112712455,69.27708927827446,64.21533722408545,66.22000137694924
83.75,62.07033728367853,64.07336326235966,63.071850273019095,69.27960936641645,64.21875419271575,66.22143912672875
84.0,62.07318166511862,64.0753371727087,63.074259418913655,69.28211043901649,64.22217116134605,66.22287687650825
84.25,62.076026046558695,64.07731108305774,63.076668564808216,69.28460251346296,64.22558812997634,66.22431462628776
84.5,62.07887042799878,64.0786884604276,63.07877944421319,69.28709458790942,64.22900509860665,66.22575237606728
84.75,62.08171480943886,64.07882412809029,63.08026946876457,69.28958666235589,64.23242206723694,66.22719012584678
85.0,62.08455919087894,64.07895979575297,63.08175949331596,69.29207873680235,64.23583903586724,66.22862787562629
85.25,62.08740357231902,64.07909546341565,63.08324951786734,69.29457081124882,64.23925600449755,66.23006562540579
85.5,62.0902479537591,64.07923113107833,63.08473954241872,69.29703895737191,64.2420266183018,66.2315033751853
85.75,62.09309233519918,64.07936679874102,63.086229566970104,69.29950096895791,64.24397462470425,66.23163041433784
86.0,62.095936716639265,64.0795024664037,63.08771959152148,69.30196298054392,64.24592263110672,66.23158727907739
86.25,62.09878109807934,64.07963813406639,63.089209616072864,69.30442499212992,64.2478706375092,66.23154414381695
86.5,62.100602356970505,64.07977380172906,63.09018807934979,69.30688700371591,64.24981864391165,66.23150100855649
86.75,62.10160494341582,64.07990946939174,63.09075720640378,69.30934901530192,64.25176665031412,66.23145787329604
87.0,62.10260752986113,64.08004513705443,63.09132633345778,69.31178355237716,64.2537146567166,66.2314147380356
87.25,62.10361011630645,64.0801808047171,63.09189546051178,69.31421547614056,64.25566266311907,66.23137160277514
87.5,62.10461270275176,64.08031647237979,63.09246458756577,69.31664739990396,64.25761066952153,66.23132846751469
87.75,62.105615289197075,64.0804410316183,63.09302816040769,69.31907932366735,64.259558675924,66.23128533225425
88.0,62.106617875642385,64.0787793356131,63.092698605627746,69.32151124743075,64.26150668232647,66.23124219699379
88.25,62.1076204620877,64.07711763960792,63.09236905084781,69.32394235753137,64.26345468872893,66.23119906173334
88.5,62.10862304853301,64.07545594360273,63.09203949606787,69.32634742098962,64.2654026951314,66.23115592647288
88.75,62.10962563497833,64.07379424759753,63.09170994128793,69.32875248444788,64.26735070153387,66.23111279121244
89.0,62.11062822142364,64.07213255159235,63.09138038650799,69.33115754790613,64.26929870793633,66.23106965595198
89.25,62.111630807868956,64.07047085558715,63.091050831728055,69.33356261136437,64.2712467143388,66.23102652069153
89.5,62.112633394314265,64.06880915958196,63.090721276948116,69.33596767482263,64.27319472074127,66.23098338543109
89.75,62.11363598075958,64.06714746357677,63.09039172216818,69.33836947289453,64.27333456406834,66.23060473231205
90.0,62.11340089796883,64.06548576757157,63.0894433327702,69.34075239712806,64.27299980288313,66.22914692886891
90.25,62.11258938227563,64.06382407156639,63.08820672692101,69.34313532136159,64.27266504169792,66.22768912542578
90.5,62.11177786658243,64.06216237556119,63.08697012107181,69.34551824559512,64.2723302805127,66.22623132198265
90.75,62.11096635088923,64.060500679556,63.085733515222614,69.34790116982865,64.2719955193275,66.22477351853954
91.0,62.11015483519603,64.05883898355081,63.08449690937342,69.35028409406218,64.27166075814229,66.2233157150964
91.25,62.10934331950283,64.05694519135254,63.08314425542768,69.35266382034676,64.27132599695707,66.22185791165327
91.5,62.10853180380963,64.0535374446531,63.081034624231364,69.35503466051331,64.27099123577187,66.22040010821014
91.75,62.10772028811643,64.05012969795366,63.078924993035045,69.35740550067985,64.27065647458666,66.21894230476703
