sample,r2,r,z,d_true_wall,d_reco_wall,d_edge47_mean
science,660.7020106380526,25.70412438963935,99.53102146645494,47.09587561036065,43.72890555913702,37.26256144987687
science,1426.7471495470083,37.772306648482676,128.54558468270022,35.02769335151732,32.56759878509467,25.900377005990087
science,1850.3747115945819,43.015982048473354,121.57009678724093,29.784017951526643,26.902360745911018,19.973936301674016
science,1085.8015045414181,32.95150231084189,36.395142239827294,39.84849768915811,35.99529905661775,27.938548916453605
science,1146.7645984304386,33.863912922614816,81.12812021899663,38.93608707738518,35.38914992777704,29.176327284939198
science,3524.9812215462716,59.37155229187015,69.99758674986057,13.428447708129845,9.768776012374822,3.380335212592506
science,3297.1869887421135,57.42113712512243,131.07509224474936,15.37886287487757,13.133113657381173,6.673791333182166
science,1465.0907645602076,38.27650407965972,72.57663155141537,34.523495920340274,30.889186460750516,24.561028800268687
science,3846.815533181014,62.02270175654245,114.83323180308594,10.777298243457544,7.657495555982912,0.7658149230366789
science,729.9742723004786,27.018036055577365,77.43226915020372,45.78196394442263,42.19710575139719,35.95183736787409
science,1735.618259875568,41.660752032045316,95.71614360118011,31.13924796795468,27.73437809850224,21.372115271239302
science,3082.0660687713334,55.516358569086044,43.428867475178336,17.283641430913953,13.461615774950495,5.90792818692119
science,2803.5286558098405,52.948358386354535,22.59261457020142,19.851641613645462,15.777223806318013,6.532952897658156
science,2280.6561502584846,47.75621582850221,134.7982705938825,25.04378417149779,23.193737629590856,17.072421403731866
science,3028.860450673509,55.03508381635763,52.30251834065956,17.76491618364237,13.975942751595198,6.926582653827154
science,3643.5372137161967,60.361719771028696,38.89787875209869,12.438280228971301,8.598509575663307,0.7244864484948934
science,3973.148370082412,63.0329149737057,124.09643383508393,9.767085026294296,7.012995061150406,0.13636783885323212
science,1808.0116110531087,42.52071978521893,99.2438412630183,30.279280214781068,26.909357689368576,20.450948128927195
science,964.2986357136429,31.053158224464752,85.29704865312402,41.746841775535245,38.24188158176882,32.03037170799564
science,995.8795852292935,31.55755987444678,91.87991302619496,41.242440125553216,37.801077638315704,31.520268844296794
science,3001.038044018518,54.78173093302655,76.88152236668,18.018269066973446,14.427747229025783,8.174936593426565
science,2304.4844662180085,48.00504625784677,127.4149151866784,24.794953742153226,22.25059809172707,15.512347895655665
science,2770.545933044288,52.63597565396017,129.69706538162004,20.164024346039824,17.796532616010964,11.215560286790414
science,2172.560892311015,46.61073795072349,37.06106146922943,26.189262049276508,22.3400580633985,14.326558293984704
science,3749.656624545013,61.23443985654652,81.42501646158202,11.565560143453474,8.021644030497605,1.80972876507348
science,3419.406723570568,58.47569344240877,66.95103343248508,14.324306557591228,10.636127528567442,4.163993379287518
science,1164.477063892426,34.124434997409494,91.57358703960327,38.6755650025905,35.23129751554073,28.955978660764302
science,2817.975302730758,53.08460513869118,14.833302925816469,19.715394861308816,15.2788162310408,5.042887464362273
science,904.2581490131276,30.07088540454251,113.98101459858654,42.72911459545749,39.58778525312188,32.71234742205992
science,3078.543504166377,55.4846240337481,70.0503108632948,17.3153759662519,13.656211779906464,7.269205232735217
science,1900.3685289736638,43.59321654768851,133.32215247105967,29.206783452311484,27.188051339542113,20.91955317545782
science,387.56164527938904,19.686585414423423,89.38008200062642,53.11341458557658,49.64822861880609,43.40429394072427
science,2644.3400703069256,51.423147222889085,12.148816441282207,21.376852777110912,16.74423362527382,6.106404142789231
science,2965.31784436055,54.4547320658228,43.419444275061025,18.345267934177194,14.523209953234918,6.968879889994938
science,1150.1130577833549,33.91331682073216,116.37316593114775,38.886683179267834,35.810548309867016,28.89420020771456
