E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.138833826389625336e-04,2.980894886400056211e-03,9.382040160294917441e-04,3.517306177670195821e-03,8.995965236652291377e-04,5.366396704298218977e-04
3.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.021065520734720004e-04,2.920715549028128893e-03,9.514989557636926391e-04,3.403827199808293069e-03,9.106102682271153886e-04,5.311644096865578840e-04
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.905091167592347430e-04,2.862501720040670685e-03,9.646528700307728825e-04,3.293547622532185058e-03,9.215121413140857408e-04,5.268951986139487360e-04
3.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.791152669939724050e-04,2.806182127223753615e-03,9.776643780696977776e-04,3.186388305760584020e-03,9.323030887888368460e-04,5.230149993304222637e-04
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.671043660804498408e-04,2.746743494158226332e-03,9.887535656545338308e-04,3.079597202065513517e-03,9.412904778276347815e-04,5.173279207270393585e-04
3.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.561991693376242865e-04,2.694070908605882605e-03,1.001441887915170692e-03,2.978516428978383260e-03,9.518321059775145280e-04,5.132380167764073655e-04
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.455618891445738573e-04,2.643090847740164374e-03,1.013984320765672163e-03,2.880327409280535045e-03,9.622654955152173083e-04,5.093033460920319989e-04
3.950000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.352113729105318448e-04,2.593741198601538529e-03,1.026379950543372535e-03,2.784957728188929959e-03,9.725915307708512874e-04,5.041946265558704642e-04
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.251651790982080787e-04,2.545961958431466800e-03,1.038627968213158169e-03,2.692336568268120095e-03,9.828110739055074662e-04,4.987121191277262434e-04
4.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.154395956601836986e-04,2.499695172189060014e-03,1.050727665465603410e-03,2.602296837948161849e-03,9.929249630418767771e-04,4.941647537453868052e-04
4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.060496604659048553e-04,2.454884871654991734e-03,1.062678430948698662e-03,2.514771723411846766e-03,1.002934010697427349e-03,4.903755715545752951e-04
4.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.970091835488291643e-04,2.411477016089046306e-03,1.074479746627030313e-03,2.427939570107104372e-03,1.012839002499035454e-03,4.854884824420830389e-04
4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.883307710083165349e-04,2.369419434407114659e-03,1.086131184263295106e-03,2.345701761473606341e-03,1.022640696159395329e-03,4.794745246505210771e-04
4.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.800258504119139380e-04,2.328661768844883257e-03,1.097632402016146362e-03,2.265879832223750574e-03,1.032339820695674787e-03,4.757974484389374307e-04
4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.721046975471072613e-04,2.289155420075197032e-03,1.108983141150027231e-03,2.188411934207640849e-03,1.041937075872768296e-03,4.720355489758813446e-04
4.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.645764643833340605e-04,2.250853493747243320e-03,1.120183222851065365e-03,2.113237609793237621e-03,1.051433131853064546e-03,4.669025389236430130e-04
4.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.574492081075015268e-04,2.213710748417829690e-03,1.131232545146289032e-03,2.040297764315167090e-03,1.060828629037821602e-03,4.618256921441595496e-04
4.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.507299211061210465e-04,2.177683544840076837e-03,1.142131079919084594e-03,1.969534639001451360e-03,1.070124178082144722e-03,4.581144887211822557e-04
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.444245617728287977e-04,2.142729796584078115e-03,1.152878870019237185e-03,1.900891784374502888e-03,1.079320360071050165e-03,4.546023422399407283e-04
4.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.385380860246964708e-04,2.108808921956747268e-03,1.163476026462449513e-03,1.834314034117010515e-03,1.088417726841350288e-03,4.501013669879380913e-04
