E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.420868791560204700e+05,8.803482788206245422e+09,3.154583348541657906e+05,1.004109001432707000e+16,1.384436544487261912e+06,7.915193538023291772e-03
2.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.404947223779365013e+05,8.582803245452216148e+09,3.230844787758089951e+05,9.736296822292156000e+15,1.412877949362260522e+06,7.915193538023291772e-03
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.387938888228099677e+05,8.369573262665572166e+09,3.306727140132288914e+05,9.444027459714812000e+15,1.441061384079904761e+06,7.915193538023291772e-03
2.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.369827276808356983e+05,8.159122339955597878e+09,3.379667771176935057e+05,9.156194387401738000e+15,1.467975971651863540e+06,7.915193538023291772e-03
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.348960136271638912e+05,7.952365314176351547e+09,3.452012324333622819e+05,8.875153601301349000e+15,1.494380256716759643e+06,7.905677114017187895e-03
2.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.329235348816275364e+05,7.760201386211140633e+09,3.526459639184289263e+05,8.602428804830837000e+15,1.521726894466367085e+06,7.859313548893357565e-03
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.308774192735668476e+05,7.574515742673797607e+09,3.600434688495930750e+05,8.340809546237991000e+15,1.548813905994626228e+06,7.845060284136288337e-03
2.950000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.285641078922301967e+05,7.383518240609572411e+09,3.668176473986067576e+05,8.079317520548213000e+15,1.573178914769743336e+06,7.803828063469521806e-03
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.263975885914945684e+05,7.210315786687253952e+09,3.740990841669875081e+05,7.830680843095938000e+15,1.599688418679839233e+06,7.784905314935300011e-03
3.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.241821400901560992e+05,7.042938167780641556e+09,3.813275070277459454e+05,7.586033061675728000e+15,1.625940212060340913e+06,7.748734296619269254e-03
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.219255691393277375e+05,6.881182883118717194e+09,3.885012272090852493e+05,7.351966027931256000e+15,1.651935450878897449e+06,7.697891042903360660e-03
3.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.196311394043874898e+05,6.720447281664717674e+09,3.952767650568901445e+05,7.121803364503438000e+15,1.676324694541114615e+06,7.668318482004169573e-03
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.171270854609209637e+05,6.563024174247528076e+09,4.020211880506061134e+05,6.896373128914956000e+15,1.700381776327248197e+06,7.638861823104882258e-03
3.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.147943435840037855e+05,6.417148100200157166e+09,4.090054475072143250e+05,6.676977858833954000e+15,1.725554702996115666e+06,7.582614279040732035e-03
3.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.124496084321160306e+05,6.276141711997366905e+09,4.159291114008656004e+05,6.467015480416114000e+15,1.750476996705964208e+06,7.526780201177580079e-03
3.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.100995506659242674e+05,6.139832858813185692e+09,4.227909434723448940e+05,6.263479935767363000e+15,1.775150459435758414e+06,7.479045129968856127e-03
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.077505958022103296e+05,6.008054937252674103e+09,4.295897874185686233e+05,6.065562418430211000e+15,1.799576962906773202e+06,7.442658846692878569e-03
3.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.052288720294664090e+05,5.870631994745169640e+09,4.355821055037732003e+05,5.868324009060710000e+15,1.820654407534996280e+06,7.375765585168256137e-03
3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.029031635896166990e+05,5.747580190119834900e+09,4.422352829007487162e+05,5.681353410056444000e+15,1.844530488045637961e+06,7.307518193200695719e-03
3.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.005963462987960957e+05,5.628587014243035316e+09,4.488224040840067319e+05,5.497834642716076000e+15,1.868165314684751211e+06,7.263086308987881483e-03
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.831382125018468651e+04,5.513506645999735832e+09,4.553426075800862163e+05,5.318156528746536000e+15,1.891560895858917851e+06,7.200290136672851671e-03
3.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.606073182518027897e+04,5.402198066128043175e+09,4.617950981074778829e+05,5.146576650138553000e+15,1.914719242942521814e+06,7.126826566799495527e-03
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.384196348013426177e+04,5.294524919223134995e+09,4.681791441357661970e+05,4.979834255745461000e+15,1.937642360451815184e+06,7.069545005127281408e-03
3.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.166214419230089698e+04,5.190355379158917427e+09,4.744940755342340562e+05,4.817809685998623000e+15,1.960332237230510451e+06,7.017482956477164198e-03
