m_chi_GeV,dmax_E216_June_vesc544,dmax_E248_June_vesc544,dmax_E280_June_vesc544,dabs_June_vesc544,dmax_E216_avg_vesc544,dmax_E248_avg_vesc544,dmax_E280_avg_vesc544,dabs_avg_vesc544,dmax_E216_Dec_vesc544,dmax_E248_Dec_vesc544,dmax_E280_Dec_vesc544,dabs_Dec_vesc544,dmax_E216_June_vesc500,dmax_E248_June_vesc500,dmax_E280_June_vesc500,dabs_June_vesc500,dmax_E216_June_vesc600,dmax_E248_June_vesc600,dmax_E280_June_vesc600,dabs_June_vesc600
69.26469429371386,22.92504862884783,-21.23493011539374,-68.17724963398177,161.09730893466423,11.752267524983685,-33.20675222591462,-80.89802051066395,155.34885207162307,0.2476899852168427,-45.53409977550065,-93.9965582476811,149.53881537954186,-10.822414339310649,-57.39590199700076,-106.60042646851122,144.05273058380348,65.87636513377682,24.788125006651494,-19.27502457185336,184.16841402966347
70.63631947646168,30.336167552608888,-12.725867647371915,-58.57024362169907,163.1200349411361,19.163386448744742,-24.697689757892796,-71.29101449838124,157.29940087494458,7.658808908977901,-37.02503730747882,-84.3895522353984,151.41641378789186,-3.411295415549592,-48.88683952897893,-96.9934204562285,145.8614461134547,73.28748405753787,33.29718747467332,-9.668018559570658,186.48081914115767
72.03510648618541,37.60337641107287,-4.382035254320553,-49.149787694060436,165.1534227284333,26.430595307208723,-16.35385736484143,-61.87055857074261,159.26023101333743,14.926017767441882,-28.681204914427457,-74.96909630775976,153.30390901006822,3.855913442914389,-40.543007135927574,-87.57296452858988,147.67969537554956,80.55469291600185,41.64101986772469,-0.24756263193202385,188.80541293090056
73.46159319930645,44.729469668491895,3.7997755227160006,-39.912259397406245,167.19716283797078,33.55668856462775,-8.172046587804878,-52.63303027408842,161.23104407066882,22.052111024860906,-20.499394137390905,-65.73156801110557,155.20101379068157,10.982006700333415,-32.361196358891014,-78.33543623193567,149.50720165314925,87.68078617342088,49.82283064476124,8.989965664722169,191.14184162205257
74.91632814362983,51.71718752584821,11.822710840421555,-30.854106619351665,169.25093865208214,40.544406421984064,-0.1491112700993235,-43.57487749603384,163.21153472718288,29.039828882217222,-12.47645881968535,-56.67341523305099,157.10743422891446,17.96972455768973,-24.33826104118546,-69.2772834538811,151.34368182768588,94.6685040307772,57.84576596246679,18.048118442776747,193.48974325342476
76.39987070927033,58.56921697454864,19.689855763003465,-21.97184622288817,171.31442655898752,47.39643587068449,7.7180336524825846,-34.69261709957035,165.2013909185823,35.89185833091765,-4.609313897103442,-47.791154836587495,159.02286993165353,24.821754006390158,-16.471116118603554,-60.39502305741761,153.18884652647628,101.52053347947762,65.7129108850487,26.93037883924024,195.84874786807217
77.91279136375476,65.28819282965246,27.40423544849303,-13.262062707012864,173.3872961277198,54.11541172578831,15.43241333797215,-25.98283358369504,167.20029400471242,42.61083418602148,3.1050657883861237,-39.081371320712186,160.9470141758646,31.540729861493983,-8.75673643311399,-51.6852395415423,155.0424002791405,108.23950933458144,73.42729057053826,35.64016235511555,198.21847771327154
79.4556718713845,71.87669874304055,34.96881631201269,-4.7214068933616264,175.46921029286682,60.7039176391764,22.996994201491813,-17.442177770043802,169.2079189477114,49.19934009940956,10.669646651905785,-30.540715507060952,162.87955408008014,38.12923577488207,-1.1921555695943278,-43.14458372789106,156.90404168279775,114.82801524796953,80.99187143405793,44.180818168766784,200.5985474517209
81.0291055169413,78.33726819690625,42.38650716645103,3.6534053616493583,177.5598255489601,67.1644870930421,30.414685055930153,-9.067365515032819,171.22393449946236,55.659909553275256,18.087337506344127,-22.165903252049965,164.8201707848407,44.589805228747764,6.225535284844013,-34.76977147288008,158.77346357588806,121.28858470183523,88.40956228849628,52.55563042377777,202.98856438376703
82.63369733382387,84.67238547795938,49.6601603409935,11.865594429681268,179.65879215432187,73.49960437409524,37.688338230472624,-0.8551764470009086,173.24800339816673,61.9950268343284,25.360990680886598,-13.953714184018057,166.7685396419165,50.92492250980091,13.499188459386485,-26.55758240484817,160.65035322045193,127.62370198288838,95.68321546303874,60.76781949180968,205.38812868044613
