E_keV,nat_el,129_el,129_inel,129_inel_jun,129_el_jun,131_el,131_inel,131_inel_jun,131_el_jun
140.0,0.8363534373924131,0.1541672558054203,0.10666580941065572,0.11075285175019547,0.1562772306244808,0.682186181586993,0.2921824485586657,0.31166033982033825,0.6911930858988715
144.0,0.8002309149859,0.15588895974928663,0.1077393601642779,0.11199347278183933,0.1582122308864765,0.6443419552366135,0.27750737090829536,0.2961916327383436,0.6536301475488089
148.0,0.7661726783157395,0.15802836265311762,0.10910856434402474,0.11354503843878536,0.1605778595373481,0.6081443156626218,0.2618885427482005,0.27978354717768894,0.6176555268662002
152.0,0.7338496501966512,0.16038496379246445,0.11063472432328783,0.11526411980381375,0.16317174256052924,0.5734646864041867,0.24843895728671112,0.26558145129479765,0.5831431026223455
156.0,0.7029726228842302,0.1627774465222845,0.11273124821701583,0.11754889769074368,0.16581007247423035,0.5401951763619458,0.2340894098425455,0.25047795620030505,0.5499873086610165
160.0,0.673293373892502,0.16504549738749255,0.1142248263837069,0.11924281722195725,0.16832955997521903,0.5082478765050095,0.2203430776037695,0.23599252238980112,0.518102529727732
164.0,0.6446044635487556,0.16705097370719277,0.11554553776309798,0.12076044991138984,0.17058873807815902,0.4775534898415628,0.20842160573673202,0.22336565678167583,0.48742181549398567
168.0,0.6184583750185628,0.1686784267361118,0.11661437057961416,0.12201852828955342,0.1724689041416234,0.44977994828245105,0.19571300453931487,0.20994559095720167,0.45953711361309746
172.0,0.5918676518433422,0.1705019631552113,0.11795464609002883,0.1235284301197108,0.17451219246790095,0.42136568868813096,0.18352359787038725,0.19705788057432155,0.431054723852412
176.0,0.5652193147783866,0.17112998831326706,0.11835313082280044,0.12409031336632816,0.1753821939417166,0.39408932646511946,0.17183744632018602,0.1846868340289451,0.40367140063272133
180.0,0.5405765937932797,0.17116419978067976,0.11835231926226185,0.12423486744567712,0.1756477392303217,0.36941239401259995,0.1616448395094921,0.17384341751639054,0.3787896216361276
184.0,0.5155674145065716,0.17127397535875202,0.11793142779256437,0.12393878071387711,0.17594722334320576,0.3442934391478196,0.15087523160619834,0.1624175557566229,0.35349925618596717
188.0,0.49166286027253636,0.17005298079054426,0.11769097360129209,0.12379569810193301,0.17492709921858693,0.3216098794819921,0.1405875154176563,0.15148925589869972,0.3305618067788948
192.0,0.46754913291959505,0.16890574741042935,0.11641446785107695,0.12259828098348227,0.1739344009862522,0.2986433855091658,0.13077885155998004,0.1410568251617338,0.30736863372523077
196.0,0.4444010477826447,0.16643113164558831,0.115328517649812,0.12156314807627186,0.17161858511012285,0.2779699161370564,0.12222468764153047,0.13191595938029071,0.28640056830367977
200.0,0.4223468252467318,0.16407179206233385,0.11323185268805855,0.11949588891960128,0.1693703386410567,0.25827503318439793,0.11331766914586136,0.1224221474970863,0.26639763861430155
204.0,0.399679290793821,0.16114934631331906,0.1107611683213195,0.11702896045145265,0.16653598136044456,0.23852994448050188,0.10488725318800228,0.11342545089833009,0.24636788153231226
208.0,0.3778836338509207,0.15700687808543826,0.10853655052228656,0.11478218217856981,0.16247880463882858,0.22087675576548246,0.0969311839585262,0.10492482646394044,0.22838548502069886
212.0,0.35730475680163676,0.15309098739792887,0.10540501926414436,0.11160543342163422,0.1586021826797214,0.20421376940370792,0.08944610762236596,0.09691804402229358,0.21138940153190278
216.0,0.3372883024414159,0.14874887511104423,0.10256897309751496,0.10870156345638703,0.154275552612176,0.18853942733037163,0.08297237374608069,0.08996284711564709,0.19538106252747953
220.0,0.3170926497449794,0.1440339095186981,0.09892129673676814,0.10496374159530318,0.1495527603087016,0.17305874022628132,0.07637359452638716,0.082890338445555,0.17958902536760094
224.0,0.29839578007312617,0.1390013601425586,0.09561943488705203,0.10155341266265594,0.1444898597878045,0.15939441993056758,0.07022912167951707,0.07629752962264828,0.16559484751095407
228.0,0.27976647766021623,0.13308099987401364,0.09161219854705901,0.09741717585711487,0.13853148653152556,0.14668547778620256,0.06452914769047936,0.07017514122999907,0.15256350039694427
232.0,0.26251251072563925,0.12759970757560318,0.08799620701091962,0.0936587076047311,0.13297685802802256,0.13491280315003612,0.059664107215452435,0.06492781843450196,0.1404781798797964
236.0,0.2460206139569311,0.12196768632005674,0.08378430214342303,0.08928632262747939,0.12725283755700223,0.12405292763687437,0.05478643238066172,0.059679814637399124,0.12931748840824972
240.0,0.2303149684923375,0.11623670056288948,0.08000022433494804,0.08533331562154753,0.12141283877926413,0.11407826792944804,0.05031597321281675,0.0548654213930257,0.11905566107444131
244.0,0.2154131714613548,0.11045571652937836,0.07617322686177597,0.08132728377183684,0.1155075924009983,0.10495745493197647,0.046236434250362876,0.05046812949361172,0.10966288318387336
248.0,0.20132612428225316,0.10467039420538876,0.07190661867428114,0.07686823497322205,0.10958460092838,0.0966557300768644,0.0425302613487955,0.04646999386145986,0.10110568003489105
252.0,0.1885552458414179,0.09941985499941175,0.06810223077636585,0.07287005246849632,0.10417843606090263,0.08913539084200615,0.03945323046533476,0.043137256682310755,0.09334736073402239
256.0,0.1764956518831995,0.09372437410500181,0.06433902147697204,0.06890857716776515,0.09832516546803857,0.08277127777819769,0.03641767752363889,0.0398590272064896,0.08675829445708577
260.0,0.16480315559374603,0.08813841211019643,0.06027297936244543,0.06463559843569003,0.092573594125314,0.0766647434835496,0.03369922578311934,0.03692160592254048,0.08045166683001717
264.0,0.15390826431572693,0.08269185057861055,0.05667725387938514,0.060837626578692246,0.0869554321510091,0.07121641373711637,0.03127721036159991,0.03430335657943246,0.07482208566715862
268.0,0.1437919605419718,0.07741038081554338,0.05318280887886638,0.05714134980941261,0.08149813147244159,0.0663815797264284,0.029339877761892345,0.03220078919745309,0.06982484511668706
272.0,0.1351386046025668,0.07269782782335688,0.04980437568144387,0.05356287835730131,0.07660502317501058,0.062440776779209915,0.027435730203857197,0.03014224789241127,0.06573803902759817
276.0,0.12646603543112248,0.06778520459708721,0.04626364487795103,0.04981896769316483,0.0715137022310689,0.058680830834035254,0.025766910892208766,0.028338324706346056,0.061853101672360876
280.0,0.11849250463296143,0.06309133877662097,0.043168852993765904,0.046531379388871266,0.06664153242270959,0.055401165856340466,0.024312832873232514,0.02676713666876387,0.058465982884017914
284.0,0.11146772975328613,0.05862658346806748,0.04021881294979106,0.04339369794323539,0.06200019396007135,0.05284114628521866,0.02322301967348892,0.02558521652731262,0.05581455444918264
288.0,0.10507676394653703,0.05469689403896348,0.037418772157959745,0.040412006124329915,0.05789687124205964,0.05037986990757355,0.022131810848952736,0.024408720156897327,0.053278931180665734
292.0,0.09896066275954106,0.05068932939988694,0.034548292419550736,0.03736064704098044,0.053720040182960664,0.04827133335965411,0.021198044408596198,0.023403640474831258,0.051110878011831076
296.0,0.09391984778330995,0.04718651954483482,0.032070852730091005,0.03471564588229087,0.05005353972799438,0.04673332823847514,0.0205565169053994,0.0227114363339949,0.04952751004159022
300.0,0.08885064198966361,0.043645008149808415,0.02974723402672755,0.03223218777854283,0.04635354233726661,0.045205633839855174,0.01988042730767241,0.02198789233059932,0.04796694569870916
304.0,0.08450743765288712,0.04034210247193329,0.027575848620743776,0.02990901149565613,0.042898366738085864,0.04416533518095384,0.019311291744585284,0.02138129589611074,0.046906159969611574
308.0,0.08056519251910604,0.03748687349572442,0.025553860079139817,0.02774349731206029,0.03989913023541929,0.04307831902338162,0.018977533824934948,0.021026814040914665,0.0458079627657226
312.0,0.07703741886573574,0.03462932311606407,0.02367735773084675,0.02573184988307918,0.036903391649897976,0.04240809574967167,0.018575809012389505,0.020603910478879207,0.04513703004720488
316.0,0.07381629270388264,0.03217809326877547,0.02194152475055546,0.02386927516625028,0.03432319611389494,0.04163819943510717,0.018239314542362543,0.020252597871892094,0.04437253296000802
320.0,0.07113888097415424,0.029912203369064472,0.02034079808928244,0.022150149488711964,0.031936132311305925,0.04122667760508978,0.017956116426157704,0.01995984110647105,0.04397499033719674
324.0,0.06832809662283726,0.027659803509882237,0.018869018901513535,0.020568179240503432,0.029568352881975308,0.04066829311295501,0.01785374055562075,0.019860494156749096,0.043433583492079916
328.0,0.06617263000761432,0.025751334848069487,0.017519572471493057,0.0191165500443488,0.027554179945656943,0.04042129515954483,0.01764503234895483,0.019649855939693355,0.04321039803471079
332.0,0.06408541304052996,0.0238584639484351,0.016285516950085847,0.017788064585937693,0.025561047579264338,0.04022694909209485,0.01759842901101657,0.019612341288964708,0.043043228651560884
336.0,0.0620965418235175,0.022268833529047658,0.015159700491266663,0.01657526858018149,0.0238806741734022,0.03982770829446985,0.017430092442126628,0.019446214511902673,0.0426698864138225
340.0,0.06050834233889419,0.02081942539349301,0.014134866617954355,0.015470564610262071,0.022347667555801688,0.03968891694540118,0.017271667922355544,0.019290870101721255,0.04256164080763508
344.0,0.058938346310898594,0.019380674778231216,0.013203747854572736,0.01446631379974684,0.020829892103184016,0.039557671532667385,0.01725486271259277,0.01928642763156172,0.0424613876697071
348.0,0.057369620403283667,0.018189457662705043,0.012359147838466826,0.013554925468716348,0.01956840983001747,0.03918016274057861,0.017099361508603642,0.019134023267655658,0.04210991473775334
352.0,0.05614014642036768,0.017109167240508122,0.011594012269581162,0.01272893508718499,0.018423992581225658,0.03903097917985956,0.01693889942025976,0.01897580275713022,0.041989937843192764
356.0,0.05488949413876189,0.016028941174805158,0.010901489174413253,0.011981070969235032,0.01728306468771517,0.03886055296395673,0.0169072195210807,0.01895458381703305,0.041846954293317334
360.0,0.05381032750451693,0.015147926007484323,0.010274979054882633,0.011304310257569884,0.016349014511369216,0.03866240149703261,0.016726929577126032,0.018773750655498765,0.04167390948291091
