isotope,E_star_keV,E_NR_keV,S1c,log10S2c,in_ROI,offset_from_NR_median_dex
131,80.19,122.0,711.9300931795664,4.769753141651752,False,
131,80.19,124.0,716.1703100518346,4.770100707405104,False,
131,80.19,126.0,720.4193139009869,4.770444067751448,False,
131,80.19,128.0,724.6769674237269,4.770783315485791,False,
131,80.19,130.0,728.9431371025745,4.7711185412229895,False,
131,80.19,132.0,733.2176930940918,4.771449833361428,False,
131,80.19,134.0,737.5005091162199,4.771777278066792,False,
131,80.19,136.0,741.7914623358138,4.772100959272015,False,
131,80.19,138.0,746.0904332572092,4.772420958690172,False,
131,80.19,140.0,750.3973056124684,4.772737355837689,False,
131,80.19,142.0,754.7119662537848,4.773050228065657,False,
131,80.19,144.0,759.03430504841,4.773359650597502,False,
131,80.19,146.0,763.3642147763617,4.773665696571518,False,
131,80.19,148.0,767.7015910310915,4.773968437087057,False,
131,80.19,150.0,772.0463321232286,4.774267941253392,False,
131,80.19,152.0,776.3983389874658,4.7745642762404295,False,
131,80.19,154.0,780.7575150926117,4.774857507330615,False,
131,80.19,156.0,785.1237663548031,4.775147697971477,False,
131,80.19,158.0,789.4970010538481,4.775434909828375,False,
131,80.19,160.0,793.8771297526489,4.7757192028370925,False,
131,80.19,162.0,798.2640652196413,4.776000635255979,False,
131,80.19,164.0,802.6577223541758,4.776279263717423,False,
131,80.19,166.0,807.0580181147583,4.776555143278465,False,
131,80.19,168.0,811.4648714500629,4.776828327470408,False,
131,80.19,170.0,815.8782032326236,4.77709886834733,False,
131,80.19,172.0,820.2979361951133,4.777366816533391,False,
131,80.19,174.0,824.7239948691175,4.77763222126891,False,
131,80.19,176.0,829.1563055263042,4.777895130455145,False,
131,80.19,178.0,833.5947961219011,4.778155590697763,False,
131,80.19,180.0,838.039396240388,4.778413647348986,False,
131,80.19,182.0,842.4900370433129,4.778669344548425,False,
131,80.19,184.0,846.9466512191472,4.77892272526258,False,
131,80.19,186.0,851.4091729350934,4.779173831323054,False,
131,80.19,188.0,855.8775377907638,4.77942270346348,False,
131,80.19,190.0,860.3516827736537,4.779669381355185,False,
131,80.19,192.0,864.8315462163271,4.779913903641634,False,
131,80.19,194.0,869.3170677552475,4.780156307971667,False,
131,80.19,196.0,873.8081882911806,4.780396631031564,False,
131,80.19,198.0,878.3048499511008,4.780634908575989,False,
131,80.19,200.0,882.8069960515382,4.78087117545781,False,
131,80.19,202.0,887.3145710633044,4.7811054656568786,False,
131,80.19,204.0,891.8275205775343,4.781337812307753,False,
131,80.19,206.0,896.3457912729933,4.781568247726439,False,
131,80.19,208.0,900.8693308845895,4.781796803436164,False,
131,80.19,210.0,905.3980881730445,4.782023510192213,False,
131,80.19,212.0,909.9320128956675,4.782248398005883,False,
131,80.19,214.0,914.4710557781937,4.782471496167567,False,
131,80.19,216.0,919.0151684876321,4.782692833268995,False,
131,80.19,218.0,923.5643036060892,4.782912437224698,False,
131,80.19,220.0,928.1184146055216,4.783130335292677,False,
131,80.19,222.0,932.6774558233791,4.783346554094351,False,
131,80.19,224.0,937.2413824391057,4.783561119633774,False,
131,80.19,226.0,941.8101504514559,4.7837740573161796,False,
131,80.19,228.0,946.3837166565976,4.78398539196586,False,
131,80.19,230.0,950.9620386269688,4.784195147843413,False,
131,80.19,232.0,955.5450746908531,4.784403348662375,False,
131,80.19,234.0,960.1327839126518,4.78461001760528,False,
131,80.19,236.0,964.7251260738155,4.784815177339139,False,
131,80.19,238.0,969.3220616544185,4.785018850030396,False,
131,80.19,240.0,973.9235518153397,4.785221057359348,False,
131,80.19,242.0,978.5295583810366,4.785421820534078,False,
131,80.19,244.0,983.1400438228795,4.7856211603039,False,
131,80.19,246.0,987.7549712430288,4.785819096972343,False,
131,80.19,248.0,992.374304358834,4.786015650409699,False,
131,80.19,250.0,996.9980074877337,4.786210840065132,False,
131,80.19,252.0,1001.6260455326346,4.786404684978384,False,
131,80.19,254.0,1006.2583839677535,4.786597203791094,False,
131,80.19,256.0,1010.8949888249064,4.786788414757716,False,
131,80.19,258.0,1015.5358266802244,4.786978335756097,False,
131,80.19,260.0,1020.1808646412785,4.7871669842976905,False,
131,80.19,262.0,1024.8300703346065,4.787354377537433,False,
131,80.19,264.0,1029.4834118936162,4.787540532283302,False,
131,80.19,266.0,1034.1408579468584,4.787725465005556,False,
131,80.19,268.0,1038.802377606653,4.787909191845676,False,
131,80.19,270.0,1043.4679404580565,4.7880917286250195,False,
131,80.19,272.0,1048.1375165481581,4.788273090853194,False,
131,80.19,274.0,1052.8110763756893,4.788453293736162,False,
131,80.19,276.0,1057.4885908809433,4.788632352184092,False,
131,80.19,278.0,1062.1700314359855,4.788810280818954,False,
131,80.19,280.0,1066.8553698351473,4.7889870939818815,False,
131,80.19,282.0,1071.5445782857967,4.789162805740303,False,
131,80.19,284.0,1076.2376293993684,4.789337429894846,False,
131,80.19,286.0,1080.9344961826523,4.789510979986031,False,
131,80.19,288.0,1085.6351520293279,4.78968346930076,False,
131,80.19,290.0,1090.3395707117331,4.7898549108786055,False,
131,80.19,292.0,1095.0477263728656,4.790025317517901,False,
131,80.19,294.0,1099.7595935186037,4.790194701781656,False,
131,80.19,296.0,1104.4751470101426,4.790363076003292,False,
131,80.19,298.0,1109.1943620566367,4.790530452292197,False,
131,80.19,300.0,1113.9172142080408,4.7906968425391225,False,
131,80.19,302.0,1118.6436793481475,4.790862258421421,False,
131,80.19,304.0,1123.373733687808,4.791026711408121,False,
131,80.19,306.0,1128.107353758335,4.791190212764864,False,
131,80.19,308.0,1132.844516405081,4.791352773558681,False,
131,80.19,310.0,1137.585198781186,4.791514404662652,False,
131,80.19,312.0,1142.329378341485,4.791675116760412,False,
