m_GeV,delta_keV,f2,Z5,B,kappa_hat,mu_hi,mu_gap,mu_lomid,mu_he,exo_fraction_of_hi,exo_fraction_of_roi
1000.0,100.0,0.05623413251903491,0.8926551594097651,0.0022750260393728404,1.7129341067581063e-08,0.004245523779492158,0.035827734796006504,1.9423715259322387,0.00202043258788742,0.2431252892473197,0.2552963241745814
1000.0,100.0,0.1,0.8899268599701474,0.0022503578132850866,1.4693927286002644e-08,0.004203195702553802,0.03521355985422654,1.9401780104169657,0.0020355069019596344,0.3746097108633823,0.38997154254090594
1000.0,100.0,0.1778279410038923,0.886572017865374,0.002220332345885513,1.1728199535756229e-08,0.004151526199133441,0.034464654469955516,1.9374461137618262,0.0020537966343205935,0.5383247153691612,0.5544481100644812
1000.0,100.0,0.31622776601683794,0.8830285426738113,0.0021889828656087907,8.630227783591789e-09,0.004097404356119377,0.03368117077457072,1.9345199856014816,0.0020728220075424348,0.7137303915308777,0.7268364129342482
1000.0,100.0,0.5623413251903491,0.879838958123873,0.002161080350708503,5.871791103447494e-09,0.004049079701889984,0.03298248261204449,1.9318488991984237,0.0020896897583271242,0.8738462510540723,0.880845620427974
1000.0,100.0,1.0,0.8773555771190628,0.002139560714171004,3.74376769250509e-09,0.004011711084266311,0.032442769682943066,1.9297452695848172,0.0021026551074981026,1.0,1.0
1000.0,110.0,0.0,1.0762717488248366,0.003653006498291817,3.601784166560043e-08,0.006254425691946292,0.05286458753441839,2.1328022216852816,0.0029070638135532123,0.0,0.0
1000.0,110.0,1e-08,1.0762717459967852,0.003653006462086264,3.601782997729229e-08,0.006254424001540622,0.05286457305825434,2.13280166088855,0.0029070630559242874,6.42408870431437e-08,7.133814822587087e-08
1000.0,110.0,1.7782794100389228e-08,1.0762717437957678,0.003653006433908236,3.601782820864193e-08,0.006254423958445815,0.052864572547478665,2.132801658367734,0.0029070630577427625,1.1423824188894085e-07,1.2685915408434088e-07
1000.0,110.0,3.162277660168379e-08,1.076271739881798,0.0036530063837998243,3.601782511437715e-08,0.006254423890648041,0.052864571713868866,2.1328016568984367,0.0029070630650838867,2.0314749814001097e-07,2.255910025322927e-07
1000.0,110.0,5.6234132519034905e-08,1.0762717329216105,0.003653006294693106,3.601782905886953e-08,0.006254425410530494,0.05286458409709799,2.1328022136889557,0.002907063840619478,3.6125296491813966e-07,4.01163774332937e-07
1000.0,110.0,1e-07,1.0762717205445063,0.00365300613623653,3.6017819193212924e-08,0.00625442518211552,0.052864581342494235,2.1328022042618278,0.002907063857317781,6.424085568281441e-07,7.133810884414301e-07
1000.0,110.0,1.7782794100389227e-07,1.0762716985345182,0.0036530058544566603,3.6017792297154635e-08,0.006254423151941799,0.0528645627175274,2.1328016337064803,0.002907063132180322,1.142381427189182e-06,1.2685902954844807e-06
1000.0,110.0,3.162277660168379e-07,1.0762716593946846,0.0036530053533740206,3.601776125390333e-08,0.00625442245648146,0.052864554233667635,2.1328016130512273,0.002907063197464555,2.0314718453712276e-06,2.2559060871558875e-06
1000.0,110.0,5.62341325190349e-07,1.0762715897932642,0.003653004462311235,3.6017706041723636e-08,0.006254421218244408,0.05286453913420658,2.1328015758031222,0.00290706331285268,3.6125197322018807e-06,4.0116252897724e-06
1000.0,110.0,1e-06,1.0762714660229784,0.0036530028777594396,3.6017626682091166e-08,0.006254422284852163,0.05286453991000463,2.1328026241578613,0.0029070650372617956,6.424054208120557e-06,7.1337715029256e-06
1000.0,110.0,1.778279410038923e-06,1.0762712459264192,0.00365300006000523,3.601743323226377e-08,0.006254415094985535,0.05286446448667315,2.1328013898231593,0.0029070638802640475,1.1423715102816137e-05,1.2685778420296821e-05
1000.0,110.0,3.162277660168379e-06,1.0762708545381394,0.0036529950493192354,3.6017122672891685e-08,0.006254408117052735,0.05286437945160876,2.1328011752551608,0.0029070645221552054,2.0314404856149208e-05,2.255866706241725e-05
1000.0,110.0,5.623413251903491e-06,1.0762701585559586,0.0036529861391354514,3.601657054387895e-08,0.006254395729316946,0.052864228413931263,2.1328008007549006,0.0029070656732023796,3.612420565401266e-05,4.011500758455212e-05
1000.0,110.0,1e-05,1.0762689209544105,0.003652970295022004,3.601558866292657e-08,0.0062543736869664955,0.05286395971618451,2.132800129895325,0.002907067713290089,6.423740623350734e-05,7.133377711951447e-05
1000.0,110.0,1.778279410038923e-05,1.0762667203085303,0.0036529421219205957,3.601384273623623e-08,0.006254334492433524,0.052863481932333145,2.1327989369949916,0.0029070713408409646,0.00011422723506747616,0.00012684533209281654
1000.0,110.0,3.1622776601683795e-05,1.076262807436866,0.003652892029101744,3.601074778190447e-08,0.006254266430876628,0.05286264617288817,2.1327973711043455,0.0029070785474383065,0.00020311269412945726,0.00022554729727080464
1000.0,110.0,5.623413251903491e-05,1.0762558508120037,0.003652802971656842,3.600521933225794e-08,0.006254140898930898,0.052861122039240926,2.132793042907706,0.002907089254815395,0.00036114291967565427,0.0004010255870386828
1000.0,110.0,0.0001,1.076243484901925,0.003652644670853849,3.5995418504175126e-08,0.00625392229930361,0.052858451198463184,2.132786896387447,0.002907110395973034,0.000642060645864222,0.0007129442192030716
