experiment,window,model,date,k_expected,b,truth,P_BF_gt100,P_BF_lt0p01,P_settled,BF_if_zero,N_min_for_BF100
LZ,600phd,d366,end-2030,5.370490039672745,0.003938583571478833,A/B best fit,0.9704636675196836,0.0,0.9704636675196836,0.024638689210423673,2
LZ,600phd,d366,end-2030,5.370490039672745,0.003938583571478833,A/B x0.30,0.47992839033699397,0.0,0.47992839033699397,0.024638689210423673,2
LZ,600phd,d366,end-2030,5.370490039672745,0.003938583571478833,C one-off,7.735884641504419e-06,0.0,7.735884641504419e-06,0.024638689210423673,2
LZ,600phd,d366,end-2032,6.134864145832745,0.004499156494014044,A/B best fit,0.9846054188258899,0.0,0.9846054188258899,0.01964185610655343,2
LZ,600phd,d366,end-2032,6.134864145832745,0.004499156494014044,A/B x0.30,0.5504058332650752,0.0,0.5504058332650752,0.01964185610655343,2
LZ,600phd,d366,end-2032,6.134864145832745,0.004499156494014044,C one-off,1.0090897814605902e-05,0.0,1.0090897814605902e-05,0.01964185610655343,2
LZ,600phd,d380,end-2027,3.1298356309061433,0.002256864803873199,A/B best fit,0.8197316237782423,0.0,0.8197316237782423,0.058629883972203416,2
LZ,600phd,d380,end-2027,3.1298356309061433,0.002256864803873199,A/B x0.30,0.24262541835186915,0.0,0.24262541835186915,0.058629883972203416,2
LZ,600phd,d380,end-2027,3.1298356309061433,0.002256864803873199,C one-off,2.54289087820994e-06,0.0,2.54289087820994e-06,0.058629883972203416,2
LZ,600phd,d380,end-2028,3.9072420150461427,0.00281743772640841,A/B best fit,0.9016057983057707,0.0,0.9016057983057707,0.04152438968725959,2
LZ,600phd,d380,end-2028,3.9072420150461427,0.00281743772640841,A/B x0.30,0.32831510588026086,0.0,0.32831510588026086,0.04152438968725959,2
LZ,600phd,d380,end-2028,3.9072420150461427,0.00281743772640841,C one-off,3.9615306432885e-06,0.0,3.9615306432885e-06,0.04152438968725959,2
LZ,600phd,d380,end-2030,5.462054783326144,0.003938583571478833,A/B best fit,0.9726608821314235,0.0,0.9726608821314235,0.02394533665778612,2
LZ,600phd,d380,end-2030,5.462054783326144,0.003938583571478833,A/B x0.30,0.48870510401500833,0.0,0.48870510401500833,0.02394533665778612,2
LZ,600phd,d380,end-2030,5.462054783326144,0.003938583571478833,C one-off,7.735884641504419e-06,0.0,7.735884641504419e-06,0.02394533665778612,2
LZ,600phd,d380,end-2032,6.239461167466143,0.004499156494014044,A/B best fit,0.9859311516272241,0.0,0.9859311516272241,0.019078318526703338,2
LZ,600phd,d380,end-2032,6.239461167466143,0.004499156494014044,A/B x0.30,0.5594889377283229,0.0,0.5594889377283229,0.019078318526703338,2
LZ,600phd,d380,end-2032,6.239461167466143,0.004499156494014044,C one-off,1.0090897814605902e-05,0.0,1.0090897814605902e-05,0.019078318526703338,2
LZ,1000phd,L10,end-2027,3.0935841599658556,0.013588788706337831,A/B best fit,0.816297559918132,0.0,0.816297559918132,0.05967293393734179,2
LZ,1000phd,L10,end-2027,3.0935841599658556,0.013588788706337831,A/B x0.30,0.24279304944580718,0.0,0.24279304944580718,0.05967293393734179,2
