model,cls,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
LM_m0.1_d380,lightmed,1000,380.0,11.290441,0.9986980841131299,0.0006,3.2388801183529776,3.360125
LM_m0.1_d390,lightmed,1000,390.0,11.054892,0.9985351188151981,0.0006,3.2388801183529776,3.3248897
LM_m0.2_d250,lightmed,1000,250.0,4.222667,0.9546614769715234,0.0106,2.304403566359463,2.054913
LM_m0.2_d260,lightmed,1000,260.0,4.5801125,0.9615116610439145,0.00978,2.334682751257999,2.1401198
LM_m0.2_d270,lightmed,1000,270.0,4.84122,0.9662101475623786,0.00924,2.355857607006625,2.2002773
LM_m0.2_d280,lightmed,1000,280.0,5.0644016,0.9698668815326528,0.00882,2.3730892687263307,2.2504225
LM_m0.2_d290,lightmed,1000,290.0,5.2842903,0.9730894700260251,0.00832,2.3945670660520473,2.2987585
LM_m0.2_d300,lightmed,1000,300.0,5.550285,0.9765213704304188,0.0078,2.4181417132227407,2.3559043
LM_m0.2_d310,lightmed,1000,310.0,5.896462,0.980328006153286,0.00704,2.4552158924980283,2.4282632
LM_m0.2_d320,lightmed,1000,320.0,6.348059,0.9843674041258055,0.0062,2.5005517930490484,2.5195355
LM_m0.2_d330,lightmed,1000,330.0,6.9291005,0.9883553161853342,0.00498,2.577214924221592,2.6323185
LM_m0.2_d340,lightmed,1000,340.0,7.695348,0.9920910876462585,0.00398,2.653761781936688,2.774049
LM_m0.2_d350,lightmed,1000,350.0,8.608934,0.995005774711899,0.00258,2.7968718204801015,2.9340985
LM_m0.2_d360,lightmed,1000,360.0,9.6790695,0.9970812974279397,0.00128,3.016157793745878,3.1111202
LM_m0.2_d370,lightmed,1000,370.0,10.76215,0.9983038233258412,0.0006,3.2388801183529776,3.2805715
LM_m0.2_d380,lightmed,1000,380.0,11.285172,0.9986946456410806,0.0006,3.2388801183529776,3.3593411
LM_m0.2_d390,lightmed,1000,390.0,11.050622,0.9985319836050621,0.0006,3.2388801183529776,3.3242476
LM_m0.3_d250,lightmed,1000,250.0,4.5481896,0.9616762585574179,0.00982,2.3331552225672434,2.1326485
LM_m0.3_d260,lightmed,1000,260.0,4.8555007,0.9666149084296194,0.00924,2.355857607006625,2.20352
LM_m0.3_d270,lightmed,1000,270.0,5.087171,0.9702378409201629,0.00888,2.3705841620745436,2.2554758
LM_m0.3_d280,lightmed,1000,280.0,5.294357,0.9732297693335568,0.00834,2.393686476039341,2.300947
LM_m0.3_d290,lightmed,1000,290.0,5.5039077,0.9759570558890118,0.00788,2.414426553715882,2.346041
LM_m0.3_d300,lightmed,1000,300.0,5.75879,0.9788959787329077,0.0074,2.437236408210091,2.3997478
LM_m0.3_d310,lightmed,1000,310.0,6.0898523,0.9821740600091289,0.00666,2.4750969824716726,2.4677627
LM_m0.3_d320,lightmed,1000,320.0,6.520662,0.9856787341777817,0.00576,2.526516429517452,2.5535586
LM_m0.3_d330,lightmed,1000,330.0,7.0762877,0.989190548316401,0.00472,2.5956943449277463,2.6601293
LM_m0.3_d340,lightmed,1000,340.0,7.812546,0.9925446056513465,0.00386,2.6640765185615747,2.795093
LM_m0.3_d350,lightmed,1000,350.0,8.697603,0.9952233943840838,0.0024,2.8201580593201587,2.9491699
LM_m0.3_d360,lightmed,1000,360.0,9.743275,0.9971737691012095,0.00126,3.0209295324904373,3.1214218
LM_m0.3_d370,lightmed,1000,370.0,10.796643,0.998332874623884,0.0006,3.2388801183529776,3.2858245
LM_m0.3_d380,lightmed,1000,380.0,11.280341,0.9986914844557759,0.0006,3.2388801183529776,3.3586218
LM_m0.3_d390,lightmed,1000,390.0,11.046786,0.9985291611155844,0.0006,3.2388801183529776,3.3236706
LM_m0.5_d250,lightmed,1000,250.0,4.823987,0.9667419664401677,0.00936,2.351060297865701,2.1963577
LM_m0.5_d260,lightmed,1000,260.0,5.0972395,0.970520436494553,0.0089,2.369752422366986,2.2577066
LM_m0.5_d270,lightmed,1000,270.0,5.308692,0.9734421511893743,0.00842,2.3901825543073008,2.30406
LM_m0.5_d280,lightmed,1000,280.0,5.5039725,0.9759590794783435,0.008,2.408915545815461,2.3460548
LM_m0.5_d290,lightmed,1000,290.0,5.7051735,0.9783099019477959,0.00772,2.4218905518248435,2.3885505
LM_m0.5_d300,lightmed,1000,300.0,5.9507065,0.9808646671081078,0.00704,2.4552158924980283,2.439407
LM_m0.5_d310,lightmed,1000,310.0,6.269037,0.9837269632771495,0.0065,2.4837692932505324,2.5038044
LM_m0.5_d320,lightmed,1000,320.0,6.6821704,0.9868046372503159,0.00554,2.540165577012996,2.5849895
LM_m0.5_d330,lightmed,1000,330.0,7.2159414,0.9899270112146041,0.00462,2.6030443498603835,2.6862504
LM_m0.5_d340,lightmed,1000,340.0,7.9258285,0.9929580653624726,0.00372,2.6764800274510834,2.8152847
LM_m0.5_d350,lightmed,1000,350.0,8.785384,0.9954294500130345,0.00234,2.8282721665573325,2.9640148
LM_m0.5_d360,lightmed,1000,360.0,9.8084345,0.9972646113965311,0.00112,3.056416314396825,3.1318421
LM_m0.5_d370,lightmed,1000,370.0,10.830621,0.998361004058097,0.0006,3.2388801183529776,3.2909908
LM_m0.5_d380,lightmed,1000,380.0,11.274564,0.9986876942639356,0.0006,3.2388801183529776,3.3577616
LM_m0.5_d390,lightmed,1000,390.0,11.04224,0.9985258088636328,0.0006,3.2388801183529776,3.3229866
LM_m1.0_d250,lightmed,1000,250.0,4.9839644,0.9693614864590927,0.00918,2.3582767407932854,2.2324793
LM_m1.0_d260,lightmed,1000,260.0,5.2404737,0.9726105092340731,0.00862,2.3815489356905544,2.2892082
LM_m1.0_d270,lightmed,1000,270.0,5.441892,0.9751962361406186,0.00816,2.401679501313419,2.3327863
LM_m1.0_d280,lightmed,1000,280.0,5.630905,0.9774715152525459,0.00778,2.419075739634786,2.372953
LM_m1.0_d290,lightmed,1000,290.0,5.8274937,0.979623498969886,0.0074,2.437236408210091,2.4140203
LM_m1.0_d300,lightmed,1000,300.0,6.0677295,0.9819721552412375,0.00684,2.465558066970587,2.4632761
LM_m1.0_d310,lightmed,1000,310.0,6.378846,0.9846099382775719,0.00628,2.4960073472490767,2.5256379
LM_m1.0_d320,lightmed,1000,320.0,6.781885,0.9874545496495557,0.00536,2.551696029361697,2.6042054
LM_m1.0_d330,lightmed,1000,330.0,7.3030934,0.9903607061642106,0.00444,2.616639772184736,2.7024236
LM_m1.0_d340,lightmed,1000,340.0,7.997567,0.9932078760539298,0.00358,2.689309503405921,2.827997
LM_m1.0_d350,lightmed,1000,350.0,8.842045,0.9955576868742355,0.0022,2.847963287487918,2.9735577
LM_m1.0_d360,lightmed,1000,360.0,9.851259,0.9973227160298848,0.00102,3.084346281712671,3.1386716
LM_m1.0_d370,lightmed,1000,370.0,10.852183,0.9983786078009871,0.0006,3.2388801183529776,3.2942653
LM_m1.0_d380,lightmed,1000,380.0,11.27022,0.9986848368498613,0.0006,3.2388801183529776,3.3571148
LM_m1.0_d390,lightmed,1000,390.0,11.038827,0.9985232873077621,0.0006,3.2388801183529776,3.322473
ISO_r-1.00_m1000,isospin,1000,0.0,1.6595086,1.8992348388928804,0.08206,1.3913477521952577,1.2882191
ISO_r-0.95_m1000,isospin,1000,0.0,2.262448,2.036548250580381,0.05572,1.5917539541024273,1.5041436
ISO_r-0.90_m1000,isospin,1000,0.0,3.072298,2.132266488370078,0.03308,1.837338090951616,1.7527972
ISO_r-0.85_m1000,isospin,1000,0.0,4.109729,2.1421641683627968,0.01722,2.114882066735169,2.0272467
ISO_r-0.80_m1000,isospin,1000,0.0,5.1662855,1.9249502559614484,0.00878,2.374767650887934,2.2729464
ISO_r-0.75_m1000,isospin,1000,0.0,5.354571,1.4235555465347716,0.0067,2.4729577066243884,2.3139946
ISO_r-0.70_m1000,isospin,1000,0.0,4.637917,1.508609236589109,0.01112,2.2862437944318748,2.1535823
ISO_r-0.65_m1000,isospin,1000,0.0,3.7103562,1.795976566245372,0.02042,2.045150732009672,1.9262285
ISO_r-0.60_m1000,isospin,1000,0.0,2.8506505,1.8832562015086296,0.03564,1.8036894777574382,1.6883869
ISO_r-0.55_m1000,isospin,1000,0.0,2.1680758,1.85909609132068,0.05712,1.579418922063185,1.4724387
ISO_r-0.50_m1000,isospin,1000,0.0,1.6498564,1.7805096430311096,0.08148,1.3951851961735204,1.2844673
ISO_r-0.45_m1000,isospin,1000,0.0,1.2617029,1.673982450774929,0.1083,1.235619588352256,1.1232555
ISO_r-0.40_m1000,isospin,1000,0.0,0.9725042,1.554509151574166,0.13688,1.0944446735535551,0.9861563
ISO_r-0.35_m1000,isospin,1000,0.0,0.7575116,1.4319535524191451,0.16438,0.9766145764082682,0.87035143
ISO_r-0.30_m1000,isospin,1000,0.0,0.5976649,1.3130508693211596,0.19008,0.8776015276000503,0.7730879
ISO_r-0.25_m1000,isospin,1000,0.0,0.47850034,1.2021361984443502,0.21322,0.7952983038032958,0.6917372
ISO_r-0.20_m1000,isospin,1000,0.0,0.3891864,1.1015913389928755,0.2335,0.7273689013011686,0.6238481
ISO_r-0.15_m1000,isospin,1000,0.0,0.3217179,1.0122925621908507,0.251,0.6713462148778053,0.5672018
ISO_r-0.10_m1000,isospin,1000,0.0,0.27024636,0.9340743766006199,0.26532,0.627029344490499,0.5198522
ISO_r-0.05_m1000,isospin,1000,0.0,0.23053403,0.8661473291067523,0.27654,0.5931511522387489,0.48013958
ISO_r+0.00_m1000,isospin,1000,0.0,0.19952282,0.8074210945414961,0.28602,0.5650496410619228,0.44667977
ISO_r+0.05_m1000,isospin,1000,0.0,0.17500596,0.756721685793309,0.29442,0.5405177838191486,0.41833714
ISO_r+0.10_m1000,isospin,1000,0.0,0.15538546,0.7129188027829514,0.30176,0.5193452553103537,0.39418963
ISO_r+0.15_m1000,isospin,1000,0.0,0.13949697,0.6749890406717896,0.30892,0.4989139586112999,0.37349293
ISO_r+0.20_m1000,isospin,1000,0.0,0.12648514,0.6420388431070023,0.31494,0.4818957575804185,0.3556475
ISO_r+0.25_m1000,isospin,1000,0.0,0.11571571,0.6133049228446907,0.32008,0.46747510401803705,0.34017012
ISO_r+0.30_m1000,isospin,1000,0.0,0.106713586,0.5881436409617891,0.32466,0.45470706147010903,0.32667047
ISO_r+0.35_m1000,isospin,1000,0.0,0.09911914,0.5660160944171366,0.32814,0.44505501080973725,0.3148319
ISO_r+0.40_m1000,isospin,1000,0.0,0.092657335,0.546472535970679,0.3316,0.435499364748375,0.30439666
ISO_r+0.45_m1000,isospin,1000,0.0,0.08711562,0.529137872690626,0.33496,0.426257805855844,0.29515356
ISO_r+0.50_m1000,isospin,1000,0.0,0.08232812,0.5136989362290478,0.33782,0.41842009072355335,0.28692877
ISO_r+0.55_m1000,isospin,1000,0.0,0.078164116,0.49989367344096536,0.34064,0.41071708179906696,0.27957845
ISO_r+0.60_m1000,isospin,1000,0.0,0.07451967,0.4875021439147531,0.34332,0.4034190158292495,0.27298293
ISO_r+0.65_m1000,isospin,1000,0.0,0.07131141,0.476339106571686,0.34582,0.39663044274408604,0.26704195
ISO_r+0.70_m1000,isospin,1000,0.0,0.0684719,0.46624795391835505,0.34838,0.38969783178438533,0.26167136
ISO_r+0.75_m1000,isospin,1000,0.0,0.06594618,0.4570957629402983,0.35054,0.3838629879372173,0.25679988
ISO_r+0.80_m1000,isospin,1000,0.0,0.06368911,0.4487692604379845,0.35276,0.377879650660585,0.25236702
ISO_r+0.85_m1000,isospin,1000,0.0,0.06166339,0.44117153109255014,0.35488,0.37217843641621545,0.24832115
ISO_r+0.90_m1000,isospin,1000,0.0,0.059837934,0.4342193266711547,0.35698,0.36654290936948125,0.24461794
ISO_r+0.95_m1000,isospin,1000,0.0,0.058186747,0.4278408614118234,0.3583,0.36300653850713926,0.2412193
ISO_r+1.00_m1000,isospin,1000,0.0,0.056687906,0.42197399936412694,0.35986,0.3588330321671772,0.23809223
ISO_r-0.70_m1000_d300,isospin,1000,300.0,9.901858,0.9973898315001861,0.00034,3.39751845977858,3.1467218
ISO_r+0.00_m1000_d300,isospin,1000,300.0,7.3423734,0.9905499683009111,0.00472,2.5956943449277463,2.7096815
ISO_r+0.50_m1000_d300,isospin,1000,300.0,6.5134006,0.9856258938452811,0.00622,2.499410834743791,2.5521364
ISO_r-0.70_m1000_d350,isospin,1000,350.0,10.620192,0.9981788274671999,4e-05,3.9444000841594518,3.2588634
ISO_r+0.00_m1000_d350,isospin,1000,350.0,9.445369,0.996718328933639,0.00146,2.976036611451482,3.0733318
ISO_r+0.50_m1000_d350,isospin,1000,350.0,9.026288,0.9959502263882314,0.00198,2.881330629572674,3.004378
HALO_vesc500_d300,halo,1000,300.0,6.9342933,0.9883858659668476,0.00498,2.577214924221592,2.6333046
HALO_vesc500_d350,halo,1000,350.0,11.2873745,0.9986960840251413,0.0006,3.2388801183529776,3.3596687
HALO_vesc528_d300,halo,1000,300.0,6.316963,0.9841185022014542,0.0064,2.4892858647872385,2.513357
HALO_vesc528_d350,halo,1000,350.0,9.955113,0.9974585365489474,0.0008,3.155906757921816,3.1551726
HALO_vesc560_d300,halo,1000,300.0,5.986176,0.9812074949513772,0.00714,2.450141713617395,2.4466662
HALO_vesc560_d350,halo,1000,350.0,8.067911,0.9934441653240356,0.00354,2.6930577709256784,2.840407
HALO_vesc560_d380,halo,1000,380.0,10.737972,0.9982831585875829,0.0006,3.2388801183529776,3.2768846
HALO_vesc600_d300,halo,1000,300.0,5.782837,0.9791570894958568,0.00758,2.4285340861213056,2.404753
HALO_vesc600_d350,halo,1000,350.0,6.946812,0.988459183172381,0.00508,2.570335726309084,2.6356807
HALO_vesc600_d380,halo,1000,380.0,8.477785,0.9946654879968264,0.00284,2.765704378134547,2.9116635
HALO_v0_220_d300,halo,1000,300.0,6.3823557,0.9846373426626087,0.00628,2.4960073472490767,2.5263324
HALO_v0_220_d350,halo,1000,350.0,10.111571,0.9976502250719932,0.00042,3.339266288950924,3.1798697
HALO_v0_250_d300,halo,1000,300.0,5.9807725,0.9811556685235701,0.00714,2.450141713617395,2.445562
HALO_v0_250_d350,halo,1000,350.0,8.243454,0.9939983761069016,0.00326,2.720415162108801,2.8711417
HALO_v0_250_d380,halo,1000,380.0,10.955986,0.9984607406295254,0.0006,3.2388801183529776,3.3099828
HALO_june_d300,halo,1000,300.0,5.976584,0.981115409922495,0.00714,2.450141713617395,2.4447052
HALO_june_d350,halo,1000,350.0,8.099678,0.993548142396321,0.00346,2.7006698162556817,2.8459933
HALO_june_d380,halo,1000,380.0,10.780239,0.9983191211722442,0.0006,3.2388801183529776,3.2833273
HALO_december_d300,halo,1000,300.0,6.2685275,0.9837227507887292,0.00656,2.48049528218665,2.5037026
HALO_december_d350,halo,1000,350.0,9.726867,0.997150419971149,0.00126,3.0209295324904373,3.1187925
HALO_december_d380,halo,1000,380.0,11.043208,0.9985265231443918,0.0006,3.2388801183529776,3.3231323
