m_GeV,delta_keV,sigma_unit_cm2,E_lo_keV,Nunit_LZ_LZlike,Nunit_XENONnT_LZlike,Nunit_PandaX-4T_LZlike,Nunit_LZ_hiedge,Nunit_XENONnT_hiedge,Nunit_PandaX-4T_hiedge
4000.0,280.0,2.968572591569772e-38,73.68648245400327,13721.19969848804,14977.365868067933,7440.368850588587,12292.466668895247,13417.83333576594,6665.63333454179
4000.0,290.0,2.968572591569772e-38,81.22903339903867,9511.899364301857,10382.707052583013,5157.860922896078,8535.873922144161,9317.32716853764,4628.607690176764
4000.0,300.0,2.968572591569772e-38,89.46455762483498,6403.237090461817,6989.448936771703,3472.1778589123946,5758.601575486068,6285.797494368596,3122.6219810734315
4000.0,305.0,2.968572591569772e-38,93.86982518061596,5174.519660303464,5648.243291176316,2805.9015059392023,4659.973238397338,5086.590506701319,2526.8868968774295
4000.0,310.0,2.968572591569772e-38,98.48397807808034,4125.030670073887,4502.674322967976,2236.812405603446,3721.219824377758,4061.8948787222007,2017.844552655545
4000.0,315.0,2.968572591569772e-38,103.32182964487696,3243.859108392219,3540.8321253577037,1758.9940235647948,2932.163849174963,3200.601384662812,1589.9761717357196
4000.0,320.0,2.968572591569772e-38,108.40003149518844,2505.8532158162843,2735.2623130389024,1358.8077297031966,2270.6384526502893,2478.51380394926,1231.2616961554386
4000.0,325.0,2.968572591569772e-38,113.73740970133964,1897.9398406009514,2071.694896430616,1029.1645614526287,1725.2420151406113,1883.1867066675688,935.5185575058246
4000.0,330.0,2.968572591569772e-38,119.35538439570776,1408.891650271245,1537.874688676359,763.9764582456751,1285.8039650391404,1403.5184125427236,697.231727521224
4000.0,335.0,2.968572591569772e-38,125.27849959822845,1020.396284913257,1113.8128462081327,553.3134784388789,936.0704655779757,1021.7670574970863,507.5875059824235
4000.0,340.0,2.968572591569772e-38,131.53510087122635,716.7659555276964,782.3853739914997,388.6688632086805,662.1170740266292,722.7334258741375,359.0353147890877
4000.0,345.0,2.968572591569772e-38,138.15821457397897,486.3519826498847,530.8771641600855,263.72607509888115,453.5560953132654,495.078836433494,245.94238971212283
4000.0,350.0,2.968572591569772e-38,145.18670725805868,318.55717439799406,347.7208593780921,172.73874949750382,300.98477504715635,328.5397192416143,163.21005407486646
4000.0,355.0,2.968572591569772e-38,152.66684269149422,198.46454404625834,216.6338332899299,107.61809782790066,191.16138899755006,208.6620795395793,103.65793628740391
4000.0,360.0,2.968572591569772e-38,160.65441709193584,117.52989271592955,128.28967162654283,63.73099816286321,116.4481231548625,127.10886682396963,63.14440480932685
4000.0,365.0,2.968572591569772e-38,169.217758897968,64.54830289354962,70.45765456690276,35.00154452678395,66.92224015781629,73.04892411592624,36.28882036726659
4000.0,370.0,2.968572591569772e-38,178.44206378117826,32.962288570550385,35.979962876305,17.87391704177732,36.72119890500768,40.08299880476191,19.91219940623656
4000.0,375.0,2.968572591569772e-38,188.43587225086918,15.062662863070688,16.441639040675753,8.167781975045374,18.99110800486939,20.729730568695462,10.297995185739035
4000.0,380.0,2.968572591569772e-38,199.3411466012874,5.9897641261579615,6.538122813763973,3.247970688127909,9.390159793113993,10.249822309384992,5.091847211758997
4000.0,385.0,2.968572591569772e-38,211.34974284952895,2.044736421427352,2.2319306008538,1.1087655242951133,4.6433570095640935,5.068453073819962,2.517876688284755
4000.0,390.0,2.968572591569772e-38,224.73207140365227,0.5971495611092432,0.6518181829009345,0.3238064521507868,2.3721649070640503,2.5893349337670974,1.286314773548816
4000.0,395.0,2.968572591569772e-38,239.89120209025916,0.17156979229767938,0.18727688595873457,0.09303432399240362,1.2521170523230405,1.3667474866906428,0.678964880485029
4000.0,400.0,2.968572591569772e-38,257.4770610260873,0.05887946649273622,0.0642698401857332,0.03192759802775133,0.6314882805688214,0.6893005879448404,0.34242674368872716
4000.0,405.0,2.968572591569772e-38,278.6704299806724,0.021322287457538235,0.02327432785858047,0.011562085452327071,0.2744650693229003,0.2995921531341518,0.14882965026664313
4000.0,410.0,2.968572591569772e-38,306.1111390182499,0.005513407156086134,0.0060181556985447245,0.0029896644437931857,0.0929819015533839,0.10149432916038384,0.05041976351838423
4000.0,415.0,2.968572591569772e-38,349.55465192168685,0.0005464128936214551,0.000596436609234687,0.0002962943155552961,0.02044957024696611,0.022321714001970052,0.011088851471946413
4000.0,420.0,2.968572591569772e-38,,4.553283291197721e-06,4.970133169969343e-06,2.4690338973396094e-06,0.0014850148747006947,0.0016209669406944203,0.0008052545447320669
4000.0,425.0,2.968572591569772e-38,,1.2402076549518038e-10,1.3537477923769688e-10,6.72506967825978e-11,2.8871550155707287e-06,3.1514720240384714e-06,1.565569973232015e-06
4000.0,430.0,2.968572591569772e-38,,0.0,0.0,0.0,3.656288549129338e-15,3.991019190951038e-15,1.9826353400208384e-15
