m_GeV,delta_keV,sigma_p_N1_cm2,eps2alphaD_over_mA4_GeV_m4,m_A_GeV,S_propagator,alpha_D_label,alpha_D,eps_required,eps_over_babar
1000.0,365.0,2.2865355596375624e-39,1.8219099700616553e-11,1.0,0.8974979773787514,alpha_D=0.1,0.1,1.424776413464811e-05,0.01424776413464811
1000.0,365.0,2.2865355596375624e-39,1.8219099700616553e-11,1.0,0.8974979773787514,alpha_D=thermal,0.024492864645139615,2.8789022937619484e-05,0.028789022937619483
1000.0,365.0,2.2865355596375624e-39,1.8219099700616553e-11,3.0,0.99168498905883,alpha_D=0.1,0.1,0.00012198855752167639,0.1219885575216764
1000.0,365.0,2.2865355596375624e-39,1.8219099700616553e-11,3.0,0.99168498905883,alpha_D=thermal,0.024492864645139615,0.00024648999993467344,0.24648999993467344
1000.0,365.0,2.2865355596375624e-39,1.8219099700616553e-11,10.0,0.9987870275780603,alpha_D=0.1,0.1,0.0013506008220218043,1.3506008220218042
1000.0,365.0,2.2865355596375624e-39,1.8219099700616553e-11,10.0,0.9987870275780603,alpha_D=thermal,0.024492864645139615,0.0027290231419677953,2.729023141967795
1000.0,380.0,5.59525205528925e-38,4.4582930108269586e-10,0.3,0.3619634389222065,alpha_D=0.1,0.1,9.988366298265291e-06,0.009988366298265291
1000.0,380.0,5.59525205528925e-38,4.4582930108269586e-10,0.3,0.3619634389222065,alpha_D=thermal,0.024492864645139615,2.0182486441561718e-05,0.020182486441561717
1000.0,380.0,5.59525205528925e-38,4.4582930108269586e-10,1.0,0.8904955987066195,alpha_D=0.1,0.1,7.075683776850905e-05,0.07075683776850905
1000.0,380.0,5.59525205528925e-38,4.4582930108269586e-10,1.0,0.8904955987066195,alpha_D=thermal,0.024492864645139615,0.00014297122034448513,0.14297122034448512
1000.0,380.0,5.59525205528925e-38,4.4582930108269586e-10,3.0,0.9876205930191647,alpha_D=0.1,0.1,0.0006046885498171722,0.6046885498171721
1000.0,380.0,5.59525205528925e-38,4.4582930108269586e-10,3.0,0.9876205930191647,alpha_D=thermal,0.024492864645139615,0.0012218332902120563,1.2218332902120563
1000.0,380.0,5.59525205528925e-38,4.4582930108269586e-10,10.0,0.9987870275780603,alpha_D=0.1,0.1,0.006681098236637462,6.681098236637462
1000.0,380.0,5.59525205528925e-38,4.4582930108269586e-10,10.0,0.9987870275780603,alpha_D=thermal,0.024492864645139615,0.013499822748700733,13.499822748700733
3000.0,250.0,2.363021207867251e-42,1.8805011204262868e-14,0.3,0.4950126603212958,alpha_D=0.1,0.1,5.54716589829357e-08,5.54716589829357e-05
