m_GeV,delta_keV,halo,eff_sigma_keV,N_p,N_p_lo,N_p_hi,N_p_noeff,N_iso,N_iso_lo,N_iso_hi,N_iso_noeff,N_hig,N_hig_lo,N_hig_hi,N_hig_noeff
300.0,230.0,june16,8.0,55389.3208730631,298.2438322753864,6231.286570841206,57836.45132136901,237775.8612594473,1363.2216714415563,15417.952216330887,249441.59661032996,15062.255618217558,84.19497782968253,496.0986061437042,16009.667874836648
300.0,230.0,june16,11.5,55365.768354356755,298.2438322753864,6205.535258857638,57836.45132136901,237776.03301960535,1363.2216714415563,15397.754482076945,249441.59661032996,15066.44595311622,84.19497782968253,493.65151041560085,16009.667874836648
300.0,230.0,june16,15.0,55330.556373623076,298.2438322753864,6168.661271203302,57836.45132136901,237761.97281368764,1363.2216714415563,15357.392664656674,249441.59661032996,15071.431521145767,84.19497782968253,491.56699445233136,16009.667874836648
300.0,230.0,annual,8.0,38844.80636479732,88.37209674799355,4698.876709277643,40561.93264865343,167992.31494030688,402.899648863489,11643.345388764175,176225.84898145823,10766.787631966332,24.819301352510212,374.5556061683289,11441.265343275807
300.0,230.0,annual,11.5,38827.4282975649,88.37209674799355,4679.920165657667,40561.93264865343,167992.20130942445,402.899648863489,11628.484736148856,176225.84898145823,10769.772237921492,24.819301352510212,372.7420103143629,11441.265343275807
300.0,230.0,annual,15.0,38801.328980090606,88.37209674799355,4652.630366716478,40561.93264865343,167981.2151429284,402.899648863489,11598.596517810376,176225.84898145823,10773.306766356627,24.819301352510212,371.19372676461967,11441.265343275807
300.0,230.0,sun,8.0,35791.39985051452,14.785685786462489,4457.057178610768,37374.524704774965,155132.09116343144,66.42516606400527,11048.503254811376,162741.70872513528,9984.394131535493,4.030685602514928,355.39814093546516,10610.58012395885
300.0,230.0,sun,11.5,35775.013934098555,14.785685786462489,4439.194800153636,37374.524704774965,155131.91889380087,66.42516606400527,11034.50236761825,162741.70872513528,9987.179374311592,4.030685602514928,353.6859763622507,10610.58012395885
300.0,230.0,sun,15.0,35750.37342556758,14.785685786462489,4413.441509294242,37374.524704774965,155121.39444524268,66.42516606400527,11006.292362987853,162741.70872513528,9990.473019713376,4.030685602514928,352.22339224651637,10610.58012395885
300.0,235.0,june16,8.0,41338.64751071723,27.093048550074986,5301.870742535355,43179.10158964153,178568.19622731683,122.16840049107394,13105.136693273313,187498.13353180396,11449.929277933952,7.441561485861849,421.4782336761243,12198.178424601778
300.0,235.0,june16,11.5,41318.558031783265,27.093048550074986,5279.92063383882,43179.10158964153,178568.4061594959,122.16840049107394,13087.941648022032,187498.13353180396,11453.493896416676,7.441561485861849,419.3818881970325,12198.178424601778
300.0,235.0,june16,15.0,41288.52650451433,27.093048550074986,5248.482055051482,43179.10158964153,178556.4679598096,122.16840049107394,13053.5839542062,187498.13353180396,11457.730903440874,7.441561485861849,417.5971586721075,12198.178424601778
300.0,235.0,annual,8.0,28820.836188006724,6.6247780535121175,3937.5964056177663,30103.552963675473,125682.00861590264,29.8104145990339,9747.329176635969,131941.78964637773,8157.311475875564,1.8119365516168486,313.3898059187125,8684.759590970985
300.0,235.0,annual,11.5,28806.258643498255,6.6247780535121175,3921.709367634934,30103.552963675473,125681.94875873615,29.8104145990339,9734.892501912725,131941.78964637773,8159.800492999507,1.8119365516168486,311.8605993186707,8684.759590970985
300.0,235.0,annual,15.0,28784.35987008195,6.6247780535121175,3898.822643895889,30103.552963675473,125672.73819328552,29.8104145990339,9709.869710950572,131941.78964637773,8162.743828333057,1.8119365516168486,310.5557025810416,8684.759590970985
300.0,235.0,sun,8.0,26494.87255287416,0.13085222000929653,3719.4970913978686,27674.53745396395,115921.40419970592,0.5826506609394723,9211.269835922794,121694.69034630053,7559.859116129198,0.03502810960448192,296.1299911678501,8048.196391280145
