m_GeV,delta_keV,halo,eff_sigma_keV,N_p_unit,N_iso_unit,N_hig,N_lo_per_event,frac_hi,N_lo_per_hi_event,delta_max_248keV_june,sigma_p_N1_cm2,sigma_p_N0p3_cm2,sigma_p_N3_cm2,sigma_p_N0p105_cm2,sigma_p_N3p65_cm2,sigma_p_higgsino_equiv_cm2,effective_A_over_Z_sq
300.0,295.0,june16,15.0,781.0297571694883,2987.930399663133,165.86022382887683,0.0,0.2944868429346125,0.0,315.7939536557191,3.778752683260523e-41,1.1336258049781568e-41,1.133625804978157e-40,3.967690317423549e-42,1.3792447293900908e-40,6.267447658395592e-39,3.8256293979010754
300.0,300.0,june16,15.0,397.0581422829526,1440.4084686396898,75.59117323173014,0.0,0.3302745946604919,0.0,315.7939536557191,7.432962521915349e-41,2.2298887565746047e-41,2.229888756574605e-40,7.804610648011116e-42,2.713031320499102e-40,5.6186635761906086e-39,3.627701626663085
300.0,305.0,june16,15.0,165.9255713478959,559.4186811395876,27.172908847097,0.0,0.39088131787360525,0.0,315.7939536557191,1.778700092237437e-40,5.336100276712311e-41,5.336100276712312e-40,1.8676350968493087e-41,6.492255336666645e-40,4.8332455472690906e-39,3.3715037205847875
300.0,310.0,june16,15.0,50.774617874404015,155.23236551667617,6.816614512814722,0.0,0.469778359587818,0.0,315.7939536557191,5.812585922184374e-40,1.7437757766553122e-40,1.7437757766553125e-39,6.103215218293592e-41,2.1215938615972964e-39,3.962215755414455e-39,3.057282792371941
300.0,315.0,june16,15.0,9.739922315783565,25.915899827156014,0.9935677291440212,0.0,0.5645046443753996,0.0,315.7939536557191,3.030125082032637e-39,9.09037524609791e-40,9.090375246097913e-39,3.1816313361342688e-40,1.1059956549419125e-38,3.0106344967775085e-39,2.6607912247060987
300.0,320.0,june16,15.0,0.9508235663174016,2.0190634013648983,0.0620736824360306,0.0,0.7405049727810729,0.0,315.7939536557191,3.10395997234393e-38,9.311879917031789e-39,9.31187991703179e-38,3.259157970961126e-39,1.1329453899055343e-37,1.9267422561742743e-39,2.1234890182464192
300.0,200.0,annual,8.0,256829.75981644457,1112123.8565665605,68282.97433806238,0.20431787790082886,0.045532236023733456,4.487323613853033,315.7939536557191,1.1491340772657408e-43,3.4474022317972226e-44,3.447402231797223e-43,1.2065907811290277e-44,4.194339382019954e-43,7.846629270892957e-39,4.3301985617297305
300.0,205.0,annual,8.0,187534.10066525295,806932.4602389372,49561.927913800566,0.1500264581542828,0.05431120760443064,2.762348045121424,315.7939536557191,1.5737502033715997e-43,4.721250610114799e-44,4.7212506101148e-43,1.6524377135401795e-44,5.7441882423063385e-43,7.79980941338322e-39,4.30285722637349
300.0,210.0,annual,8.0,136224.64108992586,583716.272584177,35974.447847821524,0.10029876588106827,0.06476315984055296,1.548700930096741,315.7939536557191,2.1665083989190085e-43,6.499525196757025e-44,6.499525196757027e-43,2.274833818864959e-44,7.90775565605438e-43,7.793894340877918e-39,4.284953646520154
300.0,215.0,annual,8.0,99118.22913997449,423822.15202844096,26275.881849795303,0.05876504832571842,0.07682531013459626,0.7649178144906065,315.7939536557191,2.9775736675467388e-43,8.932721002640216e-44,8.932721002640217e-43,3.1264523509240754e-44,1.0868143886545597e-42,7.82383738875198e-39,4.275925384319775
