UTC_hour,apex_alt_deg,apex_az_deg
1.858333333333333215e+01,1.285670651723521019e+01,3.202388149765247363e+02
1.866666666666666430e+01,1.228781083485609749e+01,3.209605974679875544e+02
1.875000000000000000e+01,1.172771913673953570e+01,3.216880088218258607e+02
1.883333333333333215e+01,1.117659045069488677e+01,3.224210635709882808e+02
1.891666666666666430e+01,1.063458459491054064e+01,3.231597717325874441e+02
1.900000000000000000e+01,1.010186227141240067e+01,3.239041383190297552e+02
1.908333333333333215e+01,9.578584433736217818e+00,3.246541638452006282e+02
1.916666666666666430e+01,9.064912724007696099e+00,3.254098433428562771e+02
1.925000000000000000e+01,8.561008769768269744e+00,3.261711669799616971e+02
1.933333333333333215e+01,8.067034585321385620e+00,3.269381190675657081e+02
1.941666666666666430e+01,7.583151874052176389e+00,3.277106786977229262e+02
1.950000000000000000e+01,7.109522393432001763e+00,3.284888187467097964e+02
1.958333333333333215e+01,6.646307325166632474e+00,3.292725064300095710e+02
1.966666666666666430e+01,6.193667296512889386e+00,3.300617028334248175e+02
1.975000000000000000e+01,5.751762369299098232e+00,3.308563624387733171e+02
1.983333333333333215e+01,5.320751424947448349e+00,3.316564337221323058e+02
1.991666666666666430e+01,4.900792438055749933e+00,3.324618581673452695e+02
2.000000000000000000e+01,4.492041807437086476e+00,3.332725710016832750e+02
2.008333333333333215e+01,4.094654593882593119e+00,3.340885002219979469e+02
2.016666666666666430e+01,3.708783863608585030e+00,3.349095673683811469e+02
2.025000000000000000e+01,3.334580891250492840e+00,3.357356865680453097e+02
2.033333333333333215e+01,2.972194566232640334e+00,3.365667652393764797e+02
2.041666666666666430e+01,2.621771323008576626e+00,3.374027037185713880e+02
2.050000000000000000e+01,2.283455040769840405e+00,3.382433948899214329e+02
2.058333333333333215e+01,1.957386480612983037e+00,3.390887249640564960e+02
2.066666666666666430e+01,1.643703409204676058e+00,3.399385725872722901e+02
2.075000000000000000e+01,1.342540008731510470e+00,3.407928097811057455e+02
2.083333333333333215e+01,1.054026972749972479e+00,3.416513010858377015e+02
2.091666666666666430e+01,7.782909432855037446e-01,3.425139045548395984e+02
2.100000000000000000e+01,5.154545819013564012e-01,3.433804709353450448e+02
2.108333333333333215e+01,2.656360707499799689e-01,3.442508446024037312e+02
2.116666666666666430e+01,2.894899895837026171e-02,3.451248633641983474e+02
2.125000000000000000e+01,-1.944977779605372992e-01,3.460023582827349742e+02
2.133333333333333215e+01,-4.046005783414723389e-01,3.468831546945720561e+02
2.141666666666666430e+01,-6.012608708023707837e-01,3.477670714932472151e+02
2.150000000000000000e+01,-7.843857082015889270e-01,3.486539223218399002e+02
2.158333333333333215e+01,-9.538877169360772124e-01,3.495435148963860001e+02
2.166666666666666430e+01,-1.109685484137072908e+00,3.504356522516877703e+02
2.175000000000000000e+01,-1.251703556346231094e+00,3.513301321039476761e+02
2.183333333333333215e+01,-1.379872759538158133e+00,3.522267480253743202e+02
2.191666666666666430e+01,-1.494130285149352311e+00,3.531252894447401900e+02
2.200000000000000000e+01,-1.594419796568943948e+00,3.540255416615556783e+02
2.208333333333333215e+01,-1.680691662073869885e+00,3.549272870842593761e+02
2.216666666666666430e+01,-1.752902963214680421e+00,3.558303046744924814e+02
2.225000000000000000e+01,-1.811017688210679877e+00,3.567343713380747090e+02
2.233333333333333215e+01,-1.855006739761817069e+00,3.576392613922326973e+02
2.241666666666666430e+01,-1.884848066530229627e+00,3.585447479811077187e+02
2.250000000000000000e+01,-1.900526668639567429e+00,3.594506025589557794e+02
2.258333333333333215e+01,-1.902034666319943890e+00,3.565961994395719925e-01
2.266666666666666430e+01,-1.889371298265034582e+00,1.262499694622453594e+00
2.275000000000000000e+01,-1.862542937096659079e+00,2.168083654988999243e+00
2.283333333333333215e+01,-1.821563057452192824e+00,3.073119823296921460e+00
2.291666666666666430e+01,-1.766452232462084826e+00,3.977380563784125744e+00
2.300000000000000000e+01,-1.697238040676758430e+00,4.880640288081512956e+00
2.308333333333333215e+01,-1.613955059489724508e+00,5.782674933005740314e+00
2.316666666666666430e+01,-1.516644709045393835e+00,6.683263367478696537e+00
2.325000000000000000e+01,-1.405355244001198933e+00,7.582186851198099653e+00
2.333333333333333215e+01,-1.280141553946240407e+00,8.479230294684118263e+00
2.341666666666666430e+01,-1.141065067022400514e+00,9.374182291667683131e+00
2.350000000000000000e+01,-9.881936728832008132e-01,1.026683514219167925e+01
2.358333333333333215e+01,-8.216014331989698327e-01,1.115698605383033204e+01
2.366666666666666430e+01,-6.413685789185110675e-01,1.204443652667437270e+01
2.375000000000000000e+01,-4.475811534737054731e-01,1.292899362953109588e+01
2.383333333333333215e+01,-2.403310173876174460e-01,1.381046934741877230e+01
2.391666666666666430e+01,-1.971544216265417454e-02,1.468868180682709124e+01
2.400000000000000000e+01,2.141628743767155230e-01,1.556345458313524688e+01
