m_chi_GeV,r,N_lo,N_L2,N_M,Z,s_hat,lo_events_hat,Z_LZ_O1v,Z_LZ_L1v,Z_LZ_L5v
4000.0,0.7,2075.669873258664,66.85275471202384,8.270702419442632,0.6973674841733342,0.0006528125707305894,1.3550233859500254,,,
4000.0,0.8,2185.6355437970064,69.24099358170596,8.67128612250712,0.6580399518046587,0.0005943957597088079,1.299132499501795,,,
4000.0,0.9,2288.5820585637493,71.45437304365636,9.045857722482562,0.6225202093042523,0.0005447780561733045,1.246769285257459,,,
4000.0,1.0,2385.0120031051515,73.5087757590369,9.396346135239654,0.5902984660293981,0.0005021553527011052,1.1976465436156367,0.0,0.0,0.0
4000.0,1.1,2475.4089245248138,75.41864788824331,9.724590721478766,0.5609501963522017,0.0004652131596423319,1.1515928071850154,,,
4000.0,1.2,2560.230072949789,77.19705914926321,10.032319144239144,0.5341192220245573,0.00043290279999037997,1.1083307671995384,,,
4000.0,1.3,2639.902806309357,78.85579406578645,10.321137615974294,0.5095046594140772,0.00040444543457558246,1.0676966377350876,,,
4000.0,1.4,2714.8233513217187,80.40545712372088,10.592528992983357,0.48685073263871675,0.0003792055092523909,1.0294759714682349,,,
4000.0,1.5,2785.357045354032,81.85558135046684,10.84785569686635,0.4659387443795061,0.00035667076788504284,0.9934554362004366,,,
4000.0,1.6,2851.839475696812,83.21473417479139,11.088365466512426,0.44658068902306775,0.00033646040948254283,0.9595310777714295,,,
4000.0,1.7,2914.5781299546647,84.49061717746197,11.315198632143872,0.4286141298150451,0.000318226349006246,0.927495557188925,,,
4000.0,1.8,2973.854304317966,85.69015806543011,11.529396064610456,0.41189805961743986,0.00030170355546714104,0.8972224170539916,,,
4000.0,1.9,3029.9251061489604,86.81959426085302,11.731907262221327,0.39630953202683344,0.0002866762336908487,0.868607517796129,,,
4000.0,2.0,3083.025447587487,87.88454812836335,11.923598243593672,0.3817409016710573,0.0002729455087104155,0.8414979491589232,,,
