m_chi_GeV,r,R_lo,R_55_125,R_125_200,R_hi,N_lo,N_L2,N_M,N_55_200,rho_lo,rho_hi,rho_248,rho_q0,node1_keV,node2_keV,dRdE_248,R_hi_per_cp2
400.0,-0.7,4902238579793858.0,3014222604962623.0,123399404737015.56,204395521773046.12,23.984080166086702,14.747009028453734,0.6037285145319088,15.350737542985643,0.0010642257410493205,0.17089701719077585,0.9565691914893394,1.7005513664596018e-06,143.68177066503637,,2704006869111.749,204395521773046.12
400.0,-0.68,8158124064814662.0,3349872428343416.5,136858787870091.45,209625017930176.8,38.91770240674241,15.9803083688189,0.6528743048965521,16.633182673715453,0.0017710451025855143,0.17526944808804668,0.9548985959495148,0.00010974648729272734,141.1533887056783,,2699284469670.7217,209625017930176.8
400.0,-0.66,1.2625420551977568e+16,3712800206105295.5,153641090808816.56,215007767039895.34,58.720764955597545,17.268214340444615,0.7145839098003748,17.982798250244986,0.0027408493740736406,0.17977001521964275,0.9532799419865514,0.0004953314694080426,138.72254839120407,,2694708897434.5376,215007767039895.34
400.0,-0.64,1.830412804128255e+16,4103005938248257.0,173746313553190.8,220543769102201.75,82.99544401456326,18.60404379117549,0.7878087613197332,19.391852552495223,0.003973638555513695,0.1843987185855641,0.9517132296004498,0.0011584554977124054,136.4117672541177,,2690280152403.1978,220543769102201.75
400.0,-0.62,2.519424653272959e+16,4520489624772302.0,197174456103214.2,226233024117096.0,111.36414160157845,19.981563887120835,0.8715547028233978,20.85311858994423,0.005469412646905671,0.18915555818581067,0.9501984587912096,0.002099118572205821,134.2351868826934,,2685998234576.701,226233024117096.0
400.0,-0.6,3.3295776026318716e+16,4965251265677429.0,223925518458886.66,232075532084578.2,143.4695666847995,21.39497956151569,0.9648820642465604,22.359861625762253,0.007228171648249577,0.1940405340203826,0.9487356295588312,0.00331732069288828,132.18789213929333,,2681863143955.0493,232075532084578.2
400.0,-0.58,4.2608716522049896e+16,5437290860963640.0,253999500620208.22,238071293004648.16,178.97460875813363,22.838918511932814,1.0669052005999273,23.90582371253274,0.009249915559545406,0.19905364608927972,0.9473247419033142,0.004813061859759788,130.27216221403762,,2677874880538.2407,238071293004648.16
400.0,-0.56,5.313306801992314e+16,5936608410630931.0,287396402587178.9,244220306877306.0,217.56203937052905,24.308414343338892,1.1767915873251447,25.485205930664037,0.011534644380793158,0.2041948943925021,0.9459657958246586,0.006586342072820333,128.48414690639154,,2674033444326.276,244220306877306.0
400.0,-0.54,6.486883051993842e+16,6463203914679306.0,324116224359798.5,250522573702551.7,258.9340735296689,25.798888376235276,1.2937605564623704,27.092648932697646,0.01408235811199283,0.2094642789300497,0.9446587913228646,0.008637161332069935,126.84240070100886,,2670338835319.155,250522573702551.7
400.0,-0.52,7.78160040220958e+16,7017077373108767.0,364158965938067.5,256978093480385.38,302.81181935858416,27.30613056573387,1.417081748121316,28.723212313855186,0.016893056753144436,0.21486179970192273,0.9434037283979324,0.010965519637508594,125.30783577208611,,2666791053516.8784,256978093480385.38
400.0,-0.5,9.197458852639526e+16,7598228785919308.0,407524627321985.5,263586866210806.88,348.93464097273136,28.82627990972255,1.546073342653054,30.372353252375607,0.019966740304247967,0.22038745670812093,0.9422006070498615,0.013571416989136293,123.89733095491327,,2663390098919.4453,263586866210806.88
400.0,-0.48,1.0734458403283682e+17,8206658153110934.0,454213208511552.7,270348891893816.2,397.0594563228249,30.35580466271794,1.680100130352863,32.035904793070806,0.02330340876530343,0.22604124994864438,0.9410494272786524,0.016454853386953038,122.5851279581756,,2660135971526.8564,270348891893816.2
400.0,-0.46,1.2392599054142042e+17,8842365474683642.0,504224709506768.94,277264170529413.44,446.95998875294197,31.891482616740067,1.81857146757907,33.71005408431913,0.026903062136310812,0.23182317942349315,0.9399501890843047,0.01961582883095883,121.37719652626258,,2657028671339.1113,277264170529413.44
400.0,-0.44,1.4171880805214608e+17,9505350750637432.0,557559130307634.25,284332702117598.56,498.42598827598766,33.43038166150184,1.9609391609025353,35.391320822404374,0.030765700417270118,0.2377332451326672,0.9389028924668186,0.02305434332115367,120.26205708416028,,2654068198356.21,284332702117598.56
400.0,-0.42,1.6072303656501382e+17,1.0195613980972308e+16,614216470914148.9,291554486658371.56,551.2624360788546,34.96984079315164,2.1066953143268066,37.07653610747845,0.034891323608181354,0.2437714470761665,0.9379075374261941,0.026770396857537557,119.23163177091432,,2651254552578.153,291554486658371.56
400.0,-0.4,1.8093867608002355e+17,1.091315516568826e+16,674196731326312.2,298929524151732.4,605.2887435373618,36.50745170339514,2.2553701687361585,38.7628218721313,0.0392799317090445,0.24993778525399102,0.936964123962431,0.03076398944011049,118.27321855621175,,2648587734004.939,298929524151732.4
400.0,-0.38,2.023657265971755e+17,1.1657974304785302e+16,737499911544125.0,306457814597681.06,660.3379550390711,38.04104104863481,2.4065299575157435,40.44757100615056,0.043931524719859595,0.2562322596661408,0.9360726520755296,0.035035121068872487,117.38570374776963,,2646067742636.5693,306457814597681.06
400.0,-0.36,2.2500418811646938e+17,1.2430071398263424e+16,804126011567586.8,314139357996217.6,716.2559621681614,39.56865347134595,2.5597747977102214,42.128428269056165,0.048846102640626596,0.2626548703126159,0.9352331217654897,0.03958379174382352,116.5576667028388,,2643694578473.0435,314139357996217.6
400.0,-0.34,2.4885406063790525e+17,1.3229446446122624e+16,874075031396697.2,321974154347342.06,772.9007352852437,41.08853542278691,2.714736632101703,43.803272054888616,0.0540236654713455,0.26920561719341624,0.9344455330323117,0.04441000146496359,115.79837090747942,,2641468241514.3623,321974154347342.06
400.0,-0.32,2.7391534416148333e+17,1.4056099448362916e+16,947346971031457.4,329962203651054.4,830.1415772188187,42.59911981684937,2.8710772341468154,45.470197050996184,0.059464213212016365,0.2758845003085419,0.9337098858759948,0.04951375023229272,115.08866659760929,,2639388731760.524,329962203651054.4
400.0,-0.3,3.0018803868720346e+17,1.4910030404984288e+16,1023941830471866.5,338103505907354.56,887.8584026557224,44.09901152894244,3.028486284766423,47.127497813708864,0.06516774586263914,0.2826915196579928,0.9330261802965396,0.05489503804581091,114.41767023049428,,2637456049211.53,338103505907354.56
400.0,-0.28,3.276721442150657e+17,1.5791239315986744e+16,1103859609717925.0,346398061116242.6,945.9410458567984,45.5869737408478,3.186679527480083,48.773653268327884,0.07113426342321387,0.28962667524176894,0.932394416293946,0.060553864905518104,113.80120956742519,,2635670193867.38,346398061116242.6
400.0,-0.26,3.5636766074506995e+17,1.669972618137028e+16,1187100308769632.2,354845869277718.6,1004.288598513064,47.061915122084486,3.3453970062719067,50.40731212835639,0.0773637658937405,0.2966899670598704,0.9318145938682141,0.0664902308114144,113.21858647463002,,2634031165728.0737,354845869277718.6
400.0,-0.24,3.862745882772163e+17,1.76354910011349e+16,1273663927626988.8,363446930391782.4,1062.8087788795644,48.522877830126376,3.5044013888190664,52.02727921894544,0.08385625327421907,0.30388139511229706,0.9312867130193436,0.07270413576349972,112.66936518577688,,2632538964793.6113,363446930391782.4
400.0,-0.22,4.1739292681150483e+17,1.8598533775280604e+16,1363550466289994.5,372201244458434.1,1121.4173327626193,49.969026305492676,3.6634763762652334,53.63250268175791,0.09061172556464957,0.31120095939904907,0.9308107737473345,0.07919557976177409,112.16442250983829,,2631193591063.992,372201244458434.1
400.0,-0.2,4.4972267634793536e+17,1.958885450380739e+16,1456759924758649.5,381108811477673.6,1180.0374664763722,51.399636832996606,3.8224251995390834,55.22206203253568,0.09763018276503199,0.31864865992012625,0.9303867760521871,0.0859645628062375,111.68267630156478,,2629995044539.218,381108811477673.6
400.0,-0.18,4.832638368865079e+17,2.060645318671526e+16,1553292303032953.2,390169631449501.06,1238.5993115126794,52.8140878370292,3.9810692012660986,56.795157038295294,0.10491162487536633,0.3262244966755288,0.9300147199339014,0.09301108489688996,111.23291595061528,,2628943325219.287,390169631449501.06
400.0,-0.16,5.180164084272223e+17,2.1651329824004204e+16,1653147601112905.5,399383704373916.25,1297.0394203721396,54.21185087645317,4.139246501567761,58.351097378020924,0.11245605189565254,0.33392846966525647,0.929694605392477,0.10033514603373146,110.80511475779187,,2628038433104.1997,399383704373916.25
