E_MeV,dNdE_prod,J_wall,lam_rem_cm,S,N_tank_perMeV,N_lxe_perMeV
66.01525235595068,0.0007031020648600434,7.091515491721951e-14,70.0,0.028115659748972035,1.5609201351326942,0.0017518836220265248
66.99904573818533,0.0006826053923093006,6.917730760373691e-14,70.0,0.028115659748972035,1.522668214699498,0.0017089519489641607
67.99750011745309,0.0006627062341261705,6.748051741716864e-14,70.0,0.028115659748972035,1.48532000654284,0.0016670345486378946
69.0108339795029,0.0006433871717067998,6.582386744905139e-14,70.0,0.028115659748972035,1.448855328504419,0.0016261087697974868
70.03926906607134,0.0006246312942305363,6.420645935852714e-14,70.0,0.028115659748972035,1.4132544071192386,0.001586152419885677
71.08303042340475,0.000606422183857153,6.2627413068999e-14,70.0,0.028115659748972035,1.3784978709386688,0.0015471437575443866
72.14234645150484,0.0005887439013555923,6.10858664666931e-14,70.0,0.028115659748972035,1.3445667438954647,0.0015090614851680122
73.21744895410814,0.0005715809721516588,5.95809751012742e-14,70.0,0.028115659748972035,1.3114424387139878,0.0014718847415074502
74.30857318941011,0.0005549183727824482,5.81119118886512e-14,70.0,0.028115659748972035,1.2791067503686302,0.0014355930943282238
75.4159579215455,0.0005387415177456515,5.667786681609923e-14,70.0,0.028115659748972035,1.2475418495932298,0.001400166533125837
76.53984547283521,0.000523036246732231,5.527804664981618e-14,70.0,0.028115659748972035,1.2167302764440686,0.001365585461901268
77.6804817768128,0.0005077888122312754,5.3911674645021354e-14,70.0,0.028115659748972035,1.186654933918828,0.0013318306919992652
78.83811643204017,0.0004929858674962078,5.257799025869809e-14,70.0,0.028115659748972035,1.1572990816337394,0.0012988834350119599
80.0130027567259,0.0004786144548617922,5.12762488650711e-14,70.0,0.028115659748972035,1.1286463295609286,0.0012667252957500323
81.2053978441575,0.00046466199440172004,5.000572147390382e-14,70.0,0.028115659748972035,1.1006806318278328,0.0012353382652835504
82.41556261895914,0.00045111627291685616,4.876569445169388e-14,70.0,0.028115659748972035,1.073386280580408,0.001204704714054398
83.64376189418876,0.0004379654332444837,4.7555469245835056e-14,70.0,0.028115659748972035,1.0467478999116315,0.0011748073850619892
84.89026442928507,0.0004251979638792169,4.637436211181243e-14,70.0,0.028115659748972035,1.0207504398567693,0.0011456293871239139
86.15534298887877,0.00041280268889647354,4.52217038434859e-14,70.0,0.028115659748972035,0.9953791704566204,0.0011171541882128786
87.43927440247994,0.0004007687581697003,4.409683950651525e-14,70.0,0.028115659748972035,0.970619675889912,0.001089365608871256
88.74233962505508,0.0003890856378727809,4.299912817497224e-14,70.0,0.028115659748972035,0.9464578486758429,0.0010622478157043661
90.06482379850655,0.00037774310125931966,4.192794267118087e-14,70.0,0.028115659748972035,0.9228798839476828,0.0010357853149535051
91.40701631406868,0.0003667312197107202,4.08826693088207e-14,70.0,0.028115659748972035,0.8998722737981962,0.001009962946149588
92.76921087563338,0.00035604035404523325,3.986270763932503e-14,70.0,0.028115659748972035,0.8774218016975879,0.0009847658758481816
94.15170556401958,0.0003456611460803582,3.886747020159935e-14,70.0,0.028115659748972035,0.8555155369845333,0.0009601795914465677
95.5548029022007,0.0003355845104412152,3.789638227508224e-14,70.0,0.028115659748972035,0.834140829430778,0.0009361898950833729
96.97880992150355,0.00032580162660772206,3.6948881636167085e-14,70.0,0.028115659748972035,0.8132853038797138,0.0009127828976212258
98.42403822879439,0.0003163039311936044,3.602441831799742e-14,70.0,0.028115659748972035,0.7929368549592105,0.0008899450127127565
99.89080407466594,0.00030708311045049005,3.512245437364726e-14,70.0,0.028115659748972035,0.7730836418689574,0.0008676629509502176
101.37942842264043,0.0002981310929905217,4.565661819025676e-14,100.0,0.0820849986238988,1.0049521109899262,0.0032929523986607394
102.89023701940467,0.00028944004272111535,4.4511908694903275e-14,100.0,0.0820849986238988,0.9797558027782245,0.0032103910082663363
104.42356046609032,0.0002810023519856901,4.33951396466349e-14,100.0,0.0820849986238988,0.95517449437144,0.0031298448035316593
105.97973429061797,0.0002728106349043505,4.2305654822063277e-14,100.0,0.0820849986238988,0.9311937415749397,0.003051266454793092
107.5590990211187,0.00026485772090870243,4.124281251343531e-14,100.0,0.0820849986238988,0.9077994196991023,0.0029746096793172977
109.16200026044972,0.0002571366484651411,4.020598523999596e-14,100.0,0.0820849986238988,0.8849777172060962,0.0028998292204834544
110.78878876182011,0.00024964065898111867,3.919455946384389e-14,100.0,0.0820849986238988,0.862715129455553,0.002826880827289541
112.43982050554477,0.0002423631908890487,3.8207935310262624e-14,100.0,0.0820849986238988,0.8409984525487483,0.002755721234181408
114.1154567769411,0.00023529787390268045,3.7245526292508945e-14,100.0,0.0820849986238988,0.8198147772708956,0.002686308141203334
115.8160642453866,0.00022843852344091016,3.63067590410359e-14,100.0,0.0820849986238988,0.7991514831310468,0.002618600194468418
117.54201504455524,0.00022177913521414472,3.5391073037125085e-14,100.0,0.0820849986238988,0.7789962324990479,0.002552556966946988
119.29368685384937,0.00021531387996848427,3.449792035090207e-14,100.0,0.0820849986238988,0.7593369648389721,0.002488138939571145
121.07146298104486,0.0002090370983831214,3.362676538370547e-14,100.0,0.0820849986238988,0.740161891038381,0.0024253074826533078
122.87573244616765,0.00020294329611649168,3.2777084614778736e-14,100.0,0.0820849986238988,0.721459487832734,0.0023640248376165305
124.70689006662134,0.00019702713899683358,3.194836635225074e-14,100.0,0.0820849986238988,0.703218492324198,0.002304254099034147
126.5653365435824,0.00019128344835295558,3.114011048837142e-14,100.0,0.0820849986238988,0.6854278965941174,0.002245959196976312
128.45147854968278,0.00018570719648111988,3.035182825896564e-14,100.0,0.0820849986238988,0.6680769424083287,0.0021891048796607694
130.36572881800035,0.00018029350224407116,2.958304200706671e-14,100.0,0.0820849986238988,0.6511551160144777,0.002133656696405089
132.30850623237453,0.00017503762679836455,2.883328495069138e-14,100.0,0.0820849986238988,0.6346521430304917,0.0020795809808775907
134.28023591906768,0.0001699349694462496,2.810210095471512e-14,100.0,0.0820849986238988,0.6185579834233045,0.002026844834644005
136.28134933979334,0.0001649810636084769,2.73890443068057e-14,100.0,0.0820849986238988,0.6028628265769113,0.001975416111006839
138.31228438613053,0.00016017157291450598,2.6693679497372943e-14,100.0,0.0820849986238988,0.5875570864488199,0.0019252633991344004
140.37348547534478,0.0001555022874066904,2.6015581003490507e-14,100.0,0.0820849986238988,0.5726313968139343,0.001876356008476305
142.46540364763675,0.00015096911985511909,2.5354333076745535e-14,100.0,0.0820849986238988,0.5580766065948926,0.0018286639534622747
144.58849666484153,0.00014656810217988282,2.470952953496992e-14,100.0,0.0820849986238988,0.5438837752778445,0.001782157938480901
146.7432291105975,0.00014229538197764167,2.4080773557808244e-14,100.0,0.0820849986238988,0.530044168412678,0.0017368093431351188
148.93007249200787,0.00013814721914944816,2.3467677486075117e-14,100.0,0.0820849986238988,0.5165492531966552,0.0016925902077709952
151.14950534281866,0.0001341199826268737,2.2869862624854477e-14,100.0,0.0820849986238988,0.5033906941404123,0.0016494732192763976
153.40201332813288,0.0001302101471935762,2.2286959050293818e-14,100.0,0.0820849986238988,0.49056034881528876,0.0016074316971461608
155.68808935068546,0.00012641429039952432,2.1718605420044858e-14,100.0,0.0820849986238988,0.47805026368092,0.0015664395798102506
158.00823365870235,0.00012272908956517713,2.1164448787302292e-14,100.0,0.0820849986238988,0.46585266999202624,0.0015264714112214347
160.3629539553673,0.00011915131887299619,2.0624144418391755e-14,100.0,0.0820849986238988,0.453959979783324,0.0014875023276989387
162.752765509919,0.00011567784654374741,2.009735561385868e-14,100.0,0.0820849986238988,0.44236478193149653,0.0014495080450246036
165.17819127040403,0.00011230563209511799,1.958375353300842e-14,100.0,0.0820849986238988,0.43105983829312966,0.0014124648457879607
167.63976197811127,0.00010903172368024802,1.9083017021848432e-14,100.0,0.0820849986238988,0.4200380799175312,0.0013763495669766805
170.13801628371039,0.00010585325550385023,1.859483244438367e-14,100.0,0.0820849986238988,0.40929260333335804,0.0013411395878088666
172.67350086512113,0.00010276744531365474,1.8118893517215763e-14,100.0,0.0820849986238988,0.3988166669079629,0.0013068128178036357
175.24677054713982,9.977159196498134e-05,1.7654901147396486e-14,100.0,0.0820849986238988,0.388603687278372,0.0012733476850864095
177.85838842284937,9.68630730563081e-05,1.720256327348636e-14,100.0,0.0820849986238988,0.378647235852811,0.001240723124925374
180.50892597683566,9.403934263377106e-05,1.676159470977005e-14,100.0,0.0820849986238988,0.3689410353817155,0.0012089185684956239
183.19896321024302,9.12979289625779e-05,1.6331716993578447e-14,100.0,0.0820849986238988,0.3594789565971227,0.0011779139318673674
185.9290887676929,8.863643236339014e-05,1.5912658235669377e-14,100.0,0.0820849986238988,0.3502550149193879,0.0011476896052147433
188.6999000660927,8.605252311177931e-05,1.5504152973618365e-14,100.0,0.0820849986238988,0.34126336723015394,0.0011182264422417247
191.51200342536472,8.354393939891763e-05,1.5105942028170958e-14,100.0,0.0820849986238988,0.3324983087105094,0.0010895057498216314
194.36601420112427,8.110848535171677e-05,1.4717772362508312e-14,100.0,0.0820849986238988,0.3239542697432699,0.0010615092778467551
197.26255691933392,7.874402911068462e-05,1.4339396944378743e-14,100.0,0.0820849986238988,0.3156258128783427,0.0010342192092846927
200.2022654129642,7.644850096381565e-05,1.3970574611047445e-14,100.0,0.0820849986238988,0.3075076298601222,0.0010076181504379354
203.18578296069177,7.421989153488124e-05,1.361106993701721e-14,100.0,0.0820849986238988,0.2995945387158786,0.0009816891214033177
206.21376242766544,7.205625002453385e-05,1.326065310447333e-14,100.0,0.0820849986238988,0.2918814809041083,0.0009564155467279444
209.28686640836648,6.995568250268851e-05,1.291909977640674e-14,100.0,0.0820849986238988,0.2843635185218352,0.0009317812462582821
212.40576737160146,6.791635025068224e-05,1.2586190972368632e-14,100.0,0.0820849986238988,0.2770358315698344,0.0009077704261790476
215.5711478076548,6.59364681517627e-05,1.2261712946811319e-14,100.0,0.0820849986238988,0.269893715274781,0.0008843676702386246
218.78370037763358,6.401430312849793e-05,1.1945457069970269e-14,100.0,0.0820849986238988,0.2629325774673337,0.0008615579311577626
222.04412806503782,6.214817262573806e-05,1.1637219711242358e-14,100.0,0.0820849986238988,0.2561479360151624,0.0008393265222183127
